date,county_name,avg_day,pollutant,units,avg_year
2012,Baix Camp,18.055925666199162,PM10,µg/m3,18.055925666199162
2012,Baix Llobregat,32.908249158249156,PM10,µg/m3,32.908249158249156
2012,Barcelonès,30.097539015606248,PM10,µg/m3,30.097539015606248
2012,Berguedà,13.019007304116874,PM10,µg/m3,13.019007304116874
2012,Cerdanya,23.373029279279272,PM10,µg/m3,23.373029279279272
2012,Garraf,24.939078282828284,PM10,µg/m3,24.939078282828284
2012,Maresme,22.0892361111111,PM10,µg/m3,22.0892361111111
2012,Montsià,22.450840643274855,PM10,µg/m3,22.450840643274855
2012,Segrià,29.14759615384614,PM10,µg/m3,29.14759615384614
2012,Tarragonès,21.114622057001263,PM10,µg/m3,21.114622057001263
2012,Vallès Occidental,30.99834656084655,PM10,µg/m3,30.99834656084655
