,Season End Year,League,Nº Teams,Total Stadiums Capacity,TSC_%,Average Stadiums Capacity,ASC_%,Total Attendance,TA_%,Average Attendance,AA_%,Average Capacity Ocupation,ACO_%
27,2000,Premier League,20,852848.0,0.0077705513121077985,42642.0,0.007751571583872963,11677585,0.004686524169557726,30730,0.004675188805701724,0.7206,-0.003181629547655218
28,2001,Premier League,20,873115.0,0.023763906346734757,43656.0,0.02377937244969752,12503039,0.0706870470221368,32903,0.07071265863976572,0.7537,0.045933943935609234
29,2002,Premier League,20,842036.0,-0.03559554010640065,42102.0,-0.035596481583287536,13091502,0.04706559741195715,34451,0.04704738169771749,0.8183,0.08571049489186677
30,2003,Premier League,20,857131.0,0.017926786978228915,42857.0,0.017932639779582926,13476455,0.029404800152037506,35464,0.029404081158747264,0.8275,0.01124282048148606
31,2004,Premier League,20,806585.0,-0.05897114910089585,40329.0,-0.05898686328954428,13297348,-0.013290364565458844,34993,-0.013281073764944695,0.8677,0.0485800604229607
32,2005,Premier League,20,784513.0,-0.02736475386970993,39226.0,-0.027350045872697067,12882140,-0.031224872809224813,33900,-0.031234818392249838,0.8642,-0.004033652183934589
33,2006,Premier League,20,832678.0,0.06139477612225664,41634.0,0.06138785499413646,12876213,-0.0004600943632036003,33885,-0.0004424778761061843,0.8139,-0.0582041194168017
34,2007,Premier League,20,806152.0,-0.03185625175638118,40308.0,-0.031848969592160215,13058755,0.014176683781170762,34365,0.014165559982292962,0.8526,0.04754883892370088
35,2008,Premier League,20,836711.0,0.03790724329903039,41836.0,0.037908107571697824,13708885,0.049784990988803964,36076,0.04978902953586495,0.8623,0.011376964578934999
36,2009,Premier League,20,831466.0,-0.006268592142328665,41573.0,-0.006286451859642384,13524978,-0.013415168337906349,35592,-0.013416121521232949,0.8561,-0.007190073060419744
37,2010,Premier League,20,801985.0,-0.03545665126415276,40099.0,-0.035455704423544177,12977252,-0.04049736716762131,34151,-0.0404866262081367,0.8517,-0.0051395864969044905
38,2011,Premier League,20,829728.0,0.03459291632636518,41486.0,0.034589391256639734,13403792,0.032868283670533634,35273,0.032854089192117415,0.8502,-0.0017611835153223954
39,2012,Premier League,20,790791.0,-0.04692742681939144,39540.0,-0.04690739044496939,13148465,-0.019048863187372644,34601,-0.019051399087120502,0.8751,0.029287226534933094
40,2013,Premier League,20,815196.0,0.030861504493602032,40760.0,0.030854830551340306,13649868,0.0381339570816821,35921,0.038149186439698335,0.8813,0.007084904582333351
41,2014,Premier League,20,831852.0,0.0204318961329546,41593.0,0.02043670264965658,13919810,0.01977616193797616,36631,0.019765596726148967,0.8807,-0.0006808124361737944
42,2015,Premier League,20,824955.0,-0.008291138327490954,41248.0,-0.008294664967662846,13746753,-0.012432425442588602,36176,-0.01242117332314163,0.877,-0.004201203588054979
43,2016,Premier League,20,819768.0,-0.006287615688128412,40988.0,-0.00630333591931731,13851829,0.007643695933141403,36452,0.007629367536488241,0.8893,0.014025085518814208
44,2017,Premier League,20,778227.0,-0.05067409315806426,38911.0,-0.050673367814970234,13612316,-0.01729107398019425,35822,-0.017283002304400275,0.9206,0.03519622174744175
45,2018,Premier League,20,778295.0,8.737810433201432e-05,38915.0,0.00010279869445661838,14552748,0.06908684752837058,38297,0.06909161967505995,0.9841,0.06897675429068006
46,2019,Premier League,20,784598.0,0.008098471659203854,39230.0,0.00809456507773354,14503954,-0.003352906268974109,38168,-0.003368410058229077,0.9729,-0.011380957219794707
47,2020,Premier League,20,810446.0,0.03294425935319745,40522.0,0.032933979097629296,11332096,-0.21868919330549447,29821,-0.21869105009431988,0.7359,-0.2436016034535924
48,1997,Ligue 1,20,649019.0,,32451.0,,5189199,,13764,,0.4241,
49,1998,Ligue 1,20,572290.0,-0.11822304123608095,28615.0,-0.11820899201873593,4666430,-0.10074175224345804,15872,0.15315315315315314,0.5547,0.3079462390945531
50,1999,Ligue 1,20,583400.0,0.019413234548917524,29170.0,0.019395421981478256,6028330,0.2918505152761319,19765,0.24527469758064524,0.6776,0.22156120425455209
51,2000,Ligue 1,20,598301.0,0.025541652382584882,29915.0,0.025539938292766573,6824113,0.1320072059757844,22301,0.1283076144700228,0.7455,0.10020661157024803
52,2001,Ligue 1,20,621553.0,0.038863381475210616,31078.0,0.038876817650008284,7004878,0.026489156905813216,22967,0.02986413165328905,0.7390000000000001,-0.00871898054996656
53,2002,Ligue 1,20,589357.0,-0.051799283407851004,29468.0,-0.051805135465602725,6660825,-0.049116201595516766,21767,-0.05224887882614182,0.7387,-0.0004059539918809252
54,2003,Ligue 1,20,644449.0,0.0934781465223964,32222.0,0.093457309623999,7522509,0.12936595691975095,19796,-0.09054991500895848,0.6144,-0.1682685799377286
55,2004,Ligue 1,20,659119.0,0.02276363218811728,32956.0,0.02277946744460313,7618240,0.012725940241480549,20048,0.012729844413012836,0.6083,-0.00992838541666663
56,2005,Ligue 1,20,662666.0,0.005381425812334362,33133.0,0.005370797426872187,8105429,0.0639503349855084,21330,0.0639465283320031,0.6438,0.058359362156830574
57,2006,Ligue 1,20,675544.0,0.019433621160584558,33777.0,0.01943681525971086,8163872,0.0072103524686972795,21484,0.007219878105954036,0.6361,-0.01196023609816721
58,2007,Ligue 1,20,676597.0,0.0015587437679855931,33830.0,0.0015691150783077035,8286414,0.015010279436032281,21806,0.014987897970582862,0.6446,0.013362678824084151
59,2008,Ligue 1,20,670268.0,-0.009354165034725305,33513.0,-0.009370381318356436,8267332,-0.0023028055320432057,21756,-0.002292946895349868,0.6492,0.00713620850139618
60,2009,Ligue 1,20,659054.0,-0.016730621184362082,32953.0,-0.016709933458657792,8286414,0.002308120685125425,21806,0.002298216583930923,0.6617,0.019254467036352363
61,2010,Ligue 1,20,662079.0,0.004589912207497493,33104.0,0.004582283858829196,8267332,-0.0023028055320432057,21756,-0.002292946895349868,0.6572,-0.006800664953906521
