,year,league_name,fee_converted,pct_change
99,2015,Serie A,980.4307954475806,0.7971995483746175
100,2016,Bundesliga,799.3039590073356,0.28172403713167204
101,2016,La Liga,616.6040301007135,-0.23355287991933882
102,2016,Ligue 1,429.0009820104558,-0.10352375691080651
103,2016,Premier League,1930.974333576501,0.00897927183250724
104,2016,Serie A,1022.5146514691173,0.04292384145514805
105,2017,Bundesliga,776.0322882388124,-0.0291149199328683
106,2017,La Liga,986.9879012630631,0.6006835068882903
107,2017,Ligue 1,800.3582189115748,0.8656326033586286
108,2017,Premier League,2333.716398615558,0.20856935177025804
109,2017,Serie A,1124.6016364394402,0.09983914149655204
110,2018,Bundesliga,591.7349039585213,-0.2374867477467334
111,2018,La Liga,1066.7498821741876,0.08081353460265506
112,2018,Ligue 1,723.1594733945053,-0.09645524178167841
113,2018,Premier League,1729.7225014359997,-0.2588120379742236
