,Year,Country,Anual GDP (M.€),Var. GDP(%),GDP Per Capita (m.€),Var. GDPxC(%),Total Debt (M.€),Var. TDebt(%),Debt (% GDP),Var. Debt (% GDP),Debt Per Capita (m.€),Var. DebtxC (%)
59,2007,UK,2264695000000.0,0.04677374624451125,36930.0,0.03823446724768065,877421000000.0,-0.012706014202560343,41.5,0.024691358024691468,14250.0,-0.020753161077515125
60,2008,UK,1996698000000.0,-0.11833690629422501,32300.0,-0.12537232602220416,824108000000.0,-0.060761025778959026,49.4,0.1903614457831324,13283.0,-0.06785964912280706
61,2009,UK,1737000000000.0,-0.13006373522685954,27900.0,-0.13622291021671828,1103251000000.0,0.33872138117819506,63.3,0.2813765182186234,17649.0,0.3286908077994428
62,2010,UK,1867396000000.0,0.07506966033390894,29750.0,0.06630824372759858,1387555000000.0,0.25769657131514045,74.6,0.17851500789889418,22017.0,0.24749277579466256
63,2011,UK,1912458000000.0,0.02413092884423018,30220.0,0.015798319327731125,1590781000000.0,0.14646338343344945,80.1,0.07372654155495972,25054.0,0.13793886542217382
64,2012,UK,2111708000000.0,0.10418529452672942,33150.0,0.09695565850430188,1745862000000.0,0.09748733483741634,83.2,0.03870162297128599,27320.0,0.09044463957851034
65,2013,UK,2098426000000.0,-0.0062896953556078605,32730.0,-0.012669683257918507,1798955000000.0,0.030410765570245468,84.2,0.012019230769230838,27955.0,0.023243045387994155
66,2014,UK,2309785000000.0,0.10072263687163607,35760.0,0.09257561869844187,2060438000000.0,0.14535271866166746,86.2,0.023752969121140218,31771.0,0.1365050974780897
67,2015,UK,2640935000000.0,0.14336832215985473,40560.0,0.13422818791946312,2270219000000.0,0.10181378910697636,86.9,0.008120649651972123,34724.0,0.09294639765824186
68,2016,UK,2435055000000.0,-0.07795723862950055,37090.0,-0.08555226824457596,2022759000000.0,-0.10900269973954058,86.8,-0.0011507479861910808,30720.0,-0.1153092961640364
69,2017,UK,2363109000000.0,-0.029545944547453736,35780.0,-0.03531949312483152,2013812000000.0,-0.004423166575948989,86.2,-0.006912442396313279,30386.0,-0.010872395833333326
70,2018,UK,2423737000000.0,0.025656031947743463,36480.0,0.019564002235886058,2054922000000.0,0.020414020772544728,85.7,-0.005800464037122977,30833.0,0.014710722043046244
71,2019,UK,2523313000000.0,0.041083665430696525,37760.0,0.035087719298245716,2223544000000.0,0.08205761581218174,85.4,-0.003500583430571691,33175.0,0.07595757791976121
72,1996,France,1265105000000.0,,21180.0,,751070000000.0,,60.0,,12575.0,
73,1997,France,1282410000000.0,0.013678706510526828,21390.0,0.009915014164305845,787775000000.0,0.048870278402811884,61.4,0.02333333333333321,13144.0,0.04524850894632215
74,1998,France,1343327000000.0,0.047501968949088084,22320.0,0.04347826086956519,829353000000.0,0.05277902954523817,61.3,-0.0016286644951140072,13786.0,0.04884357881923318
75,1999,France,1400999000000.0,0.042932212335492485,23160.0,0.03763440860215049,847555000000.0,0.02194722874336974,60.5,-0.013050570962479524,13999.0,0.015450456985347529
76,2000,France,1478585000000.0,0.05537905451752634,24280.0,0.04835924006908465,870626000000.0,0.02722065234704529,58.9,-0.02644628099173552,14277.0,0.01985856132580888
77,2001,France,1538200000000.0,0.040318953594145716,25070.0,0.03253706754530472,897446000000.0,0.03080542046757162,58.3,-0.01018675721561968,14611.0,0.02339427050500809
78,2002,France,1587829000000.0,0.032264334936939365,25690.0,0.02473075388911039,956794000000.0,0.06612988413787567,60.3,0.03430531732418518,15466.0,0.05851755526657997
79,2003,France,1630666000000.0,0.02697834590500614,26200.0,0.01985208252238224,1050356000000.0,0.09778698445015332,64.4,0.06799336650082942,16862.0,0.09026251131514296
80,2004,France,1704019000000.0,0.04498346074548687,27180.0,0.03740458015267168,1123615000000.0,0.06974682869427129,65.9,0.02329192546583858,17900.0,0.061558533981734165
81,2005,France,1765905000000.0,0.0363176701668233,27960.0,0.02869757174392928,1189919000000.0,0.0590095361845473,67.4,0.022761760242792084,18819.0,0.05134078212290505
82,2006,France,1848151000000.0,0.0465744193487192,29050.0,0.03898426323319026,1194106000000.0,0.0035187269049405945,64.6,-0.04154302670623167,18762.0,-0.003028853817949928
83,2007,France,1941360000000.0,0.05043364963144237,30330.0,0.04406196213425129,1252867000000.0,0.049209199183322117,64.5,-0.0015479876160989778,19574.0,0.04327896812706533
84,2008,France,1992380000000.0,0.026280545596901076,30960.0,0.020771513353115667,1370326000000.0,0.09375217002283563,68.8,0.06666666666666665,21295.0,0.08792275467456823
85,2009,France,1936422000000.0,-0.02808600768929625,29930.0,-0.033268733850129184,1607983000000.0,0.17343099379271787,83.0,0.20639534883720945,24869.0,0.16783282460671511
86,2010,France,1995289000000.0,0.030399881843936823,30690.0,0.025392582692950198,1701122000000.0,0.05792287605030655,85.3,0.027710843373493832,26180.0,0.052716233061240965
87,2011,France,2058369000000.0,0.03161446787908928,31510.0,0.02671880091234935,1807957000000.0,0.06280266788625387,87.8,0.02930832356389224,27697.0,0.05794499618029025
88,2012,France,2088804000000.0,0.014785978607334329,31820.0,0.009838146620120504,1892540000000.0,0.04678374540987429,90.6,0.031890660592255086,28850.0,0.04162905729862443
89,2013,France,2117189000000.0,0.013589116068333906,32080.0,0.008170961659333729,1977734000000.0,0.04501569319538823,93.4,0.030905077262693318,29891.0,0.036083188908145665
90,2014,France,2149765000000.0,0.015386439283408437,32420.0,0.010598503740648413,2039884000000.0,0.03142485288719321,94.9,0.016059957173447437,30694.0,0.026864273527148708
91,2015,France,2198432000000.0,0.022638288371054527,33020.0,0.01850709438618137,2101255000000.0,0.030085534275478443,95.6,0.007376185458377148,31532.0,0.0273017527855608
92,2016,France,2234129000000.0,0.0162374819871618,33430.0,0.012416717141126687,2188481000000.0,0.04151138248332553,98.0,0.02510460251046021,32757.0,0.0388494228085754
93,2017,France,2297242000000.0,0.028249487831723208,34250.0,0.0245288662877654,2258617000000.0,0.032047799364033784,98.3,0.003061224489795844,33752.0,0.030375186982934958
94,2018,France,2360687000000.0,0.027617900073218186,35100.0,0.02481751824817513,2314883000000.0,0.024911704817594197,98.1,-0.0020345879959308144,34544.0,0.02346527613178484
95,2019,France,2425708000000.0,0.02754325329872187,35960.0,0.02450142450142456,2380106000000.0,0.02817550606229346,98.1,0.0,35472.0,0.026864289022695772
96,1996,Italy,1033760000000.0,,18180.0,,1260410000000.0,,119.1,,22161.0,
97,1997,Italy,1096302000000.0,0.060499535675591964,19270.0,0.059955995599559886,1271894000000.0,0.00911132091938338,116.8,-0.01931150293870698,22351.0,0.008573620323992559
98,1998,Italy,1134535000000.0,0.03487451450421508,19940.0,0.03476907109496618,1299741000000.0,0.021894120107493142,114.1,-0.023116438356164396,22839.0,0.021833475012303705
99,1999,Italy,1175150000000.0,0.03579880744093389,20650.0,0.035606820461384185,1331321000000.0,0.024297148431879908,113.3,-0.007011393514461006,23388.0,0.024037830027584303
100,2000,Italy,1241513000000.0,0.05647193975237207,21800.0,0.0556900726392251,1353569000000.0,0.016711221410914412,109.0,-0.0379523389232127,23763.0,0.016033863519753666
101,2001,Italy,1304137000000.0,0.05044167882253348,22890.0,0.05000000000000005,1420028000000.0,0.049099085454823437,108.9,-0.0009174311926605226,24918.0,0.04860497411942944
102,2002,Italy,1350259000000.0,0.03536591631093966,23650.0,0.03320227173438184,1436142000000.0,0.011347663567197186,106.4,-0.022956841138659367,25138.0,0.008828958985472424
103,2003,Italy,1394693000000.0,0.032907760659251384,24290.0,0.027061310782241055,1471326000000.0,0.024498970157547092,105.5,-0.008458646616541388,25590.0,0.017980746280531482
104,2004,Italy,1452319000000.0,0.04131805350711582,25110.0,0.03375874845615478,1526401000000.0,0.03743222100336707,105.1,-0.0037914691943128354,26374.0,0.0306369675654552
105,2005,Italy,1493635000000.0,0.02844829545024208,25670.0,0.02230187176423737,1591581000000.0,0.04270175399518217,106.6,0.014272121788772685,27411.0,0.03931902631379392
106,2006,Italy,1552687000000.0,0.03953576342279064,26570.0,0.03506038176860149,1657384000000.0,0.04134442419204554,106.7,0.0009380863039401,28466.0,0.03848819816861848
107,2007,Italy,1614840000000.0,0.04002931691963663,27470.0,0.0338727888596162,1677700000000.0,0.012257871440776613,103.9,-0.026241799437675684,28604.0,0.0048478887093375
108,2008,Italy,1637699000000.0,0.014155581977161713,27640.0,0.00618856934838008,1738520000000.0,0.03625201168266079,106.2,0.02213666987487972,29466.0,0.030135645364284706
