"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2018","218.40","219.75","220.67","217.04","1.37M","-0.64%"
"Oct 19, 2018","219.80","217.65","220.74","216.97","1.69M","1.16%"
"Oct 18, 2018","217.29","222.50","223.43","216.09","1.91M","-2.76%"
"Oct 17, 2018","223.46","226.00","226.00","222.44","1.38M","-1.20%"
"Oct 16, 2018","226.18","222.92","226.35","221.69","1.72M","2.33%"
"Oct 15, 2018","221.02","220.93","221.66","219.10","2.28M","0.01%"
"Oct 12, 2018","221.00","224.14","224.76","217.65","2.87M","1.65%"
"Oct 11, 2018","217.42","220.51","224.70","216.81","2.74M","-1.82%"
"Oct 10, 2018","221.46","229.15","229.55","221.35","2.58M","-3.61%"
"Oct 09, 2018","229.75","234.40","234.75","229.15","1.67M","-2.23%"
"Oct 08, 2018","234.99","234.92","238.60","232.78","1.53M","-0.45%"
"Oct 05, 2018","236.06","239.01","239.60","232.93","1.52M","-1.26%"
"Oct 04, 2018","239.07","240.81","242.39","237.67","1.10M","-0.78%"
"Oct 03, 2018","240.94","239.34","243.36","239.33","1.27M","0.81%"
"Oct 02, 2018","239.00","239.48","240.94","238.81","1.22M","-0.39%"
"Oct 01, 2018","239.93","242.48","243.55","239.37","1.43M","-0.36%"
"Sep 28, 2018","240.79","239.92","241.18","237.51","1.84M","0.04%"
"Sep 27, 2018","240.70","241.44","242.18","239.25","1.42M","-0.17%"
"Sep 26, 2018","241.11","239.57","243.19","238.90","2.27M","0.80%"
"Sep 25, 2018","239.20","244.32","244.52","238.80","2.92M","-1.90%"
"Sep 24, 2018","243.84","246.54","247.12","242.63","1.72M","-1.41%"
"Sep 21, 2018","247.32","249.23","250.95","246.83","2.39M","0.21%"
"Sep 20, 2018","246.81","244.65","247.57","244.15","2.38M","1.62%"
"Sep 19, 2018","242.88","241.30","243.51","238.64","3.29M","0.54%"
"Sep 18, 2018","241.58","249.74","250.00","241.22","6.94M","-5.53%"
"Sep 17, 2018","255.73","257.27","259.25","253.67","2.23M","0.11%"
"Sep 14, 2018","255.44","253.40","256.91","253.31","1.25M","0.90%"
"Sep 13, 2018","253.17","254.48","257.33","252.78","1.72M","0.08%"
"Sep 12, 2018","252.98","249.36","254.27","248.59","1.56M","1.45%"
"Sep 11, 2018","249.36","248.89","250.14","247.30","1.15M","-0.04%"
"Sep 10, 2018","249.45","246.08","250.98","245.53","1.23M","1.41%"
"Sep 07, 2018","245.97","245.00","248.33","244.05","1.22M","-0.09%"
"Sep 06, 2018","246.19","244.14","247.13","243.05","1.07M","0.58%"
"Sep 05, 2018","244.76","241.06","245.19","240.38","1.89M","1.44%"
"Sep 04, 2018","241.29","243.90","243.93","240.83","1.89M","-1.09%"
"Aug 31, 2018","243.95","246.42","246.65","243.44","1.48M","-1.13%"
"Aug 30, 2018","246.74","247.46","247.93","245.85","1.17M","-0.35%"
"Aug 29, 2018","247.60","248.12","248.38","246.80","981.70K","-0.01%"
"Aug 28, 2018","247.63","249.46","249.67","247.26","857.93K","-0.51%"
"Aug 27, 2018","248.90","246.34","249.84","246.34","1.65M","1.58%"
"Aug 24, 2018","245.02","245.66","246.07","244.48","1.07M","0.22%"
"Aug 23, 2018","244.47","246.86","247.66","243.81","1.21M","-1.00%"
"Aug 22, 2018","246.94","250.14","250.76","246.60","1.17M","-1.66%"
"Aug 21, 2018","251.11","248.79","252.29","248.79","1.26M","0.93%"
"Aug 20, 2018","248.79","247.34","249.92","247.34","1.03M","0.75%"
"Aug 17, 2018","246.94","246.04","247.45","245.48","803.78K","0.28%"
"Aug 16, 2018","246.25","245.02","248.66","244.50","1.03M","1.14%"
"Aug 15, 2018","243.48","243.07","244.03","239.90","915.45K","-0.09%"
"Aug 14, 2018","243.70","241.55","246.05","241.55","1.04M","1.12%"
"Aug 13, 2018","240.99","242.00","242.67","240.16","900.14K","-0.32%"
"Aug 10, 2018","241.76","244.19","244.19","240.34","1.48M","-1.24%"
"Aug 09, 2018","244.80","246.00","247.07","244.79","1.12M","-0.28%"
"Aug 08, 2018","245.49","247.80","248.28","245.39","888.69K","-0.95%"
"Aug 07, 2018","247.85","245.85","249.69","244.69","1.14M","1.11%"
"Aug 06, 2018","245.13","242.36","245.53","242.36","1.21M","0.74%"
"Aug 03, 2018","243.32","240.63","244.07","240.19","962.32K","0.91%"
"Aug 02, 2018","241.12","240.00","241.92","238.78","1.03M","0.01%"
"Aug 01, 2018","241.10","245.70","245.70","240.68","1.10M","-1.94%"
"Jul 31, 2018","245.87","242.52","248.62","242.44","1.89M","2.26%"
"Jul 30, 2018","240.44","240.77","244.35","240.02","1.21M","-0.17%"
"Jul 27, 2018","240.84","241.98","244.13","240.07","1.22M","-0.17%"
"Jul 26, 2018","241.24","241.20","243.02","239.68","1.51M","0.42%"
"Jul 25, 2018","240.24","237.18","240.55","236.44","1.91M","1.44%"
"Jul 24, 2018","236.83","237.69","240.31","236.30","1.93M","0.18%"
"Jul 23, 2018","236.40","234.86","236.87","234.24","1.21M","0.63%"
"Jul 20, 2018","234.93","235.45","236.03","233.53","1.73M","-0.68%"
"Jul 19, 2018","236.55","235.12","237.35","234.00","1.55M","0.15%"
"Jul 18, 2018","236.19","231.59","236.84","231.28","1.89M","2.18%"
"Jul 17, 2018","231.15","229.73","231.44","229.46","1.80M","0.42%"
"Jul 16, 2018","230.18","232.32","233.97","229.05","1.94M","-1.53%"
"Jul 13, 2018","233.75","232.00","234.89","231.81","983.46K","0.46%"
"Jul 12, 2018","232.69","231.78","233.75","229.61","1.33M","1.07%"
"Jul 11, 2018","230.22","233.24","233.47","229.61","1.39M","-2.31%"
"Jul 10, 2018","235.66","235.40","237.20","234.32","1.20M","0.31%"
"Jul 09, 2018","234.94","229.21","235.46","228.98","1.73M","2.92%"
"Jul 06, 2018","228.27","228.58","229.29","225.35","1.58M","-0.14%"
"Jul 05, 2018","228.58","228.34","229.13","225.51","1.62M","0.43%"
"Jul 03, 2018","227.61","230.59","231.45","227.28","922.02K","-0.78%"
"Jul 02, 2018","229.39","225.37","229.63","225.26","1.59M","1.03%"
"Jun 29, 2018","227.06","228.17","230.75","227.00","2.54M","0.17%"
"Jun 28, 2018","226.67","226.17","228.06","222.44","4.07M","-1.34%"
"Jun 27, 2018","229.75","236.85","238.64","229.64","2.60M","-3.00%"
"Jun 26, 2018","236.85","235.60","237.93","233.70","1.95M","0.99%"
