"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2018","161.51","159.65","161.83","159.21","2.99M","1.90%"
"Mar 08, 2018","158.50","159.01","159.42","158.04","3.09M","-0.03%"
"Mar 07, 2018","158.55","156.98","158.96","156.52","3.18M","0.33%"
"Mar 06, 2018","158.03","159.17","160.15","156.98","2.35M","-0.52%"
"Mar 05, 2018","158.85","157.17","159.66","156.99","1.94M","0.86%"
"Mar 02, 2018","157.50","155.21","157.63","154.69","2.96M","0.86%"
"Mar 01, 2018","156.15","161.28","161.59","155.88","3.01M","-3.02%"
"Feb 28, 2018","161.01","162.90","164.39","160.95","2.00M","-0.95%"
"Feb 27, 2018","162.55","164.80","165.58","162.55","1.82M","-1.33%"
"Feb 26, 2018","164.74","163.82","164.83","162.91","1.78M","1.10%"
"Feb 23, 2018","162.95","161.10","163.05","160.32","1.58M","1.64%"
"Feb 22, 2018","160.32","161.08","162.00","159.91","1.51M","-0.09%"
"Feb 21, 2018","160.46","161.59","163.76","160.42","1.63M","-0.61%"
"Feb 20, 2018","161.44","162.38","162.72","161.07","1.43M","-0.75%"
"Feb 16, 2018","162.66","160.96","163.60","160.84","2.00M","0.99%"
"Feb 15, 2018","161.06","160.39","161.11","158.11","1.85M","0.79%"
"Feb 14, 2018","159.79","156.01","160.12","155.15","2.58M","1.88%"
"Feb 13, 2018","156.84","154.20","156.99","153.99","2.06M","1.22%"
"Feb 12, 2018","154.95","154.67","156.47","153.90","2.27M","0.72%"
"Feb 09, 2018","153.84","151.69","154.99","148.79","3.66M","2.21%"
"Feb 08, 2018","150.51","155.31","155.47","150.37","2.90M","-2.99%"
"Feb 07, 2018","155.15","154.22","158.93","153.07","2.92M","0.30%"
"Feb 06, 2018","154.69","150.29","155.18","149.43","4.26M","1.88%"
"Feb 05, 2018","151.83","156.12","159.27","150.73","3.73M","-3.23%"
"Feb 02, 2018","156.90","159.98","160.27","156.63","2.18M","-2.22%"
"Feb 01, 2018","160.46","160.16","161.13","159.54","1.69M","-0.15%"
"Jan 31, 2018","160.70","160.09","160.94","159.73","1.88M","0.63%"
"Jan 30, 2018","159.70","160.96","161.16","159.11","1.70M","-0.92%"
"Jan 29, 2018","161.19","162.33","162.60","160.97","1.31M","-0.84%"
"Jan 26, 2018","162.55","161.25","162.58","160.33","1.95M","1.09%"
"Jan 25, 2018","160.79","161.12","161.75","160.62","1.33M","0.12%"
"Jan 24, 2018","160.60","161.20","161.99","160.54","1.95M","-0.17%"
"Jan 23, 2018","160.88","161.29","162.05","160.64","1.64M","-0.34%"
"Jan 22, 2018","161.43","161.21","161.88","160.82","1.72M","-0.20%"
"Jan 19, 2018","161.75","161.60","162.50","160.20","2.25M","0.50%"
"Jan 18, 2018","160.94","160.13","161.08","159.82","1.72M","0.46%"
"Jan 17, 2018","160.21","159.10","160.47","158.81","2.14M","1.42%"
"Jan 16, 2018","157.96","160.25","160.37","157.91","2.86M","-1.34%"
"Jan 12, 2018","160.11","159.50","160.63","158.57","2.05M","0.63%"
"Jan 11, 2018","159.11","158.90","159.40","158.05","1.81M","0.13%"
"Jan 10, 2018","158.90","158.95","159.15","157.73","1.62M","-0.35%"
"Jan 09, 2018","159.46","158.50","159.49","157.45","3.20M","0.33%"
"Jan 08, 2018","158.93","157.37","159.01","156.84","2.62M","0.80%"
"Jan 05, 2018","157.67","156.61","157.72","156.13","1.60M","0.82%"
"Jan 04, 2018","156.38","155.00","156.86","154.77","1.78M","1.18%"
"Jan 03, 2018","154.55","152.99","154.99","152.99","2.06M","0.46%"
"Jan 02, 2018","153.84","153.50","154.10","152.78","3.06M","0.49%"
