"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2018","65.94","66.99","67.50","65.51","14.32M","-3.03%"
"May 01, 2018","68.00","69.23","69.75","68.00","9.57M","-2.62%"
"Apr 30, 2018","69.83","70.14","70.63","69.00","18.38M","-0.17%"
"Apr 27, 2018","69.95","68.82","71.08","68.61","7.49M","1.83%"
"Apr 26, 2018","68.69","67.76","69.38","67.70","10.66M","1.42%"
"Apr 25, 2018","67.73","66.25","68.09","66.18","7.38M","1.70%"
"Apr 24, 2018","66.60","65.86","67.25","65.76","10.20M","1.40%"
"Apr 23, 2018","65.68","65.51","65.93","64.95","6.28M","0.86%"
"Apr 20, 2018","65.12","65.66","66.29","64.69","6.17M","-1.12%"
"Apr 19, 2018","65.86","66.65","66.84","65.12","6.37M","-1.13%"
"Apr 18, 2018","66.61","67.07","67.91","66.56","6.05M","-0.75%"
"Apr 17, 2018","67.11","66.91","67.38","65.24","11.06M","1.53%"
"Apr 16, 2018","66.10","63.78","68.92","63.25","19.01M","4.21%"
"Apr 13, 2018","63.43","64.23","64.40","62.66","5.83M","-0.89%"
"Apr 12, 2018","64.00","63.71","64.34","63.48","5.50M","1.47%"
"Apr 11, 2018","63.07","63.88","64.30","62.91","7.49M","-1.41%"
"Apr 10, 2018","63.97","63.72","64.32","63.04","6.42M","1.04%"
"Apr 09, 2018","63.31","63.64","64.53","62.77","6.10M","-0.11%"
"Apr 06, 2018","63.38","64.37","64.77","62.86","5.11M","-1.98%"
"Apr 05, 2018","64.66","64.49","65.16","64.20","5.47M","0.59%"
"Apr 04, 2018","64.28","62.38","64.99","62.12","10.28M","2.72%"
"Apr 03, 2018","62.58","61.57","62.72","61.13","7.79M","2.52%"
"Apr 02, 2018","61.04","62.06","62.20","60.45","7.86M","-1.88%"
"Mar 29, 2018","62.21","62.69","63.40","61.34","8.10M","-0.80%"
"Mar 28, 2018","62.71","60.88","62.97","60.81","10.25M","3.48%"
"Mar 27, 2018","60.60","61.73","61.87","60.14","7.84M","-1.62%"
"Mar 26, 2018","61.60","61.28","61.83","61.05","7.50M","1.22%"
"Mar 23, 2018","60.86","62.00","62.45","60.78","6.98M","-1.51%"
"Mar 22, 2018","61.79","62.06","63.26","61.74","8.59M","-1.01%"
"Mar 21, 2018","62.42","62.96","63.24","62.40","7.53M","-0.83%"
"Mar 20, 2018","62.94","63.97","64.09","61.87","9.70M","-1.08%"
"Mar 19, 2018","63.63","65.72","65.88","63.31","8.88M","-3.08%"
"Mar 16, 2018","65.65","66.09","66.45","65.65","15.28M","-0.32%"
"Mar 15, 2018","65.86","67.23","67.58","65.66","9.49M","-1.77%"
"Mar 14, 2018","67.05","68.31","68.50","66.63","7.62M","-1.76%"
