Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_situacio;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2017S002183    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0281 0281;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;9;No és causa del  vianant;Motocicleta;Home;34;Conductor;Presentado;Ferit lleu;431814,65;4584562,43;218.307;41.407.869
2017S002184    ;4;Les Corts;19;les Corts;187207;Madrid;0193 0193;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;10;No és causa del  vianant;Motocicleta;Home;28;Conductor;Presentado;Ferit lleu;427657,3;4581656,64;2.133.687;41.381.332
2017S002185    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;72908;Castellnou;0013 0013;Divendres;Dv;Laboral;2017;3;Març;17;Tarda;19;No és causa del  vianant;Bicicleta;Home;27;Conductor;Presentado;Ferit lleu;427431,34;4583123,08;2.130.808;41.394.524
2017S002186    ;9;Sant Andreu;57;la Trinitat Vella;34400;Bàrcino;0035 0035;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;10;No és causa del  vianant;Turismo;Dona;37;Conductor;Presentado;Ferit lleu;432744,06;4589482,17;2.193.648;4.145.226
2017S002186    ;9;Sant Andreu;57;la Trinitat Vella;34400;Bàrcino;0035 0035;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;10;No és causa del  vianant;Turismo;Home;52;Conductor;Presentado;Ferit lleu;432744,06;4589482,17;2.193.648;4.145.226
2017S002187    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;128503;Folgueroles;0015 0015;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;12;No és causa del  vianant;Turismo;Dona;40;Conductor;Presentado;Ferit lleu;427862,71;4584657,58;213.578;41.408.379
2017S002187    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;128503;Folgueroles;0015 0015;Dissabte;Ds;Laboral;2017;3;Març;18;Matí;12;No és causa del  vianant;Turismo;Home;33;Conductor;Presentado;Ferit lleu;427862,71;4584657,58;213.578;41.408.379
2017S002188    ;9;Sant Andreu;59;el Bon Pastor;10955;Almirall Okendo;0014 0014;Divendres;Dv;Laboral;2017;3;Març;17;Tarda;18;Altres;Turismo;Home;9;Vianant;Desconegut;Ferit lleu;433833,28;4586838,28;2.206.975;41.428.537
2017S002189    ;7;Horta-Guinardó;35;el Guinardó;11732;Alt del Turó;0018 0018;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;16;No és causa del  vianant;Turismo;Home;48;Conductor;Presentado;Ferit lleu;430867,89;4585866,4;2.171.592;41.419.533
2017S002191    ;3;Sants-Montjuïc;18;Sants;88001;Comtes de Bell-lloc;0076 0078;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;15;No és causa del  vianant;Ciclomotor;Home;41;Passatger;Desconegut;Ferit lleu;428007,18;4581484,34;2.137.893;41.379.814
2017S002192    ;9;Sant Andreu;59;el Bon Pastor;92938;Costa Brava;0000 0000;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;18;No és causa del  vianant;Turismo;Dona;10;Passatger;Desconegut;Ferit lleu;433404,54;4587801,39;2.201.735;41.437.175
2017S002192    ;9;Sant Andreu;59;el Bon Pastor;92938;Costa Brava;0000 0000;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;18;No és causa del  vianant;Turismo;Home;45;Conductor;Presentado;Ferit lleu;433404,54;4587801,39;2.201.735;41.437.175
2017S002193    ;3;Sants-Montjuïc;15;Hostafrancs;246703;Rector Triadó;0086 0086;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;18;No és causa del  vianant;Motocicleta;Dona;38;Conductor;Presentado;Ferit lleu;428426,74;4581308,17;2.142.924;41.378.266
2017S002193    ;3;Sants-Montjuïc;15;Hostafrancs;246703;Rector Triadó;0086 0086;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;18;No és causa del  vianant;Motocicleta;Home;9;Passatger;Desconegut;Ferit lleu;428426,74;4581308,17;2.142.924;41.378.266
2017S002194    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;32700;Balmes;0436 0436;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;19;No és causa del  vianant;Motocicleta;Home;52;Conductor;Presentado;Ferit lleu;428066,18;4584601,66;2.138.228;41.407.893
2017S002195    ;5;Sarrià-Sant Gervasi;23;Sarrià;59604;Canet;0022 0022;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;19;No és causa del  vianant;Turismo;Dona;89;Vianant;Desconegut;Ferit lleu;426761,3;4583557,13;2.122.742;41.398.372
2017S002196    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;107809;Eguilaz;0005 0005;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;19;No és causa del  vianant;Autobús;Dona;Desconegut;Passatger;Desconegut;Ferit lleu;427507,88;4583093,69;2.131.721;41.394.261
2017S002197    ;3;Sants-Montjuïc;14;la Font de la Guatlla;221101;Morabos;0012 0012;Diumenge;Dg;Laboral;2017;3;Març;19;Nit;2;No és causa del  vianant;Autobús;Dona;48;Conductor;Presentado;Ferit lleu;428886,54;4580538,51;2.148.515;41.371.372
2017S002197    ;3;Sants-Montjuïc;14;la Font de la Guatlla;221101;Morabos;0012 0012;Diumenge;Dg;Laboral;2017;3;Març;19;Nit;2;No és causa del  vianant;Autobús;Dona;66;Passatger;Desconegut;Ferit lleu;428886,54;4580538,51;2.148.515;41.371.372
2017S002197    ;3;Sants-Montjuïc;14;la Font de la Guatlla;221101;Morabos;0012 0012;Diumenge;Dg;Laboral;2017;3;Març;19;Nit;2;No és causa del  vianant;Autobús;Home;23;Passatger;Desconegut;Ferit lleu;428886,54;4580538,51;2.148.515;41.371.372
2017S002197    ;3;Sants-Montjuïc;14;la Font de la Guatlla;221101;Morabos;0012 0012;Diumenge;Dg;Laboral;2017;3;Març;19;Nit;2;No és causa del  vianant;Autobús;Home;32;Passatger;Desconegut;Ferit lleu;428886,54;4580538,51;2.148.515;41.371.372
2017S002197    ;3;Sants-Montjuïc;14;la Font de la Guatlla;221101;Morabos;0012 0012;Diumenge;Dg;Laboral;2017;3;Març;19;Nit;2;No és causa del  vianant;Autobús;Home;39;Passatger;Desconegut;Ferit lleu;428886,54;4580538,51;2.148.515;41.371.372
