"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2018","108.10","107.77","108.97","105.11","43.77M","-1.40%"
"Oct 22, 2018","109.63","109.32","110.54","108.24","26.55M","0.89%"
"Oct 19, 2018","108.66","108.93","110.86","108.21","32.79M","0.15%"
"Oct 18, 2018","108.50","110.10","110.53","107.83","32.51M","-2.00%"
"Oct 17, 2018","110.71","111.68","111.81","109.55","26.55M","-0.26%"
"Oct 16, 2018","111.00","109.54","111.41","108.95","31.61M","3.16%"
"Oct 15, 2018","107.60","108.91","109.48","106.95","32.07M","-1.80%"
"Oct 12, 2018","109.57","109.01","111.24","107.12","47.74M","3.46%"
"Oct 11, 2018","105.91","105.35","108.93","104.20","63.90M","-0.24%"
"Oct 10, 2018","106.16","111.24","111.50","105.79","61.38M","-5.43%"
"Oct 09, 2018","112.26","111.14","113.08","110.80","26.20M","1.27%"
"Oct 08, 2018","110.85","111.66","112.03","109.34","29.64M","-1.14%"
"Oct 05, 2018","112.13","112.63","113.17","110.64","29.07M","-0.59%"
"Oct 04, 2018","112.79","114.61","114.76","111.63","34.82M","-2.07%"
"Oct 03, 2018","115.17","115.42","116.18","114.93","16.65M","0.02%"
"Oct 02, 2018","115.15","115.30","115.84","114.44","20.79M","-0.40%"
"Oct 01, 2018","115.61","114.75","115.68","114.73","18.88M","1.08%"
"Sep 28, 2018","114.37","114.19","114.57","113.68","21.65M","-0.03%"
"Sep 27, 2018","114.41","114.78","114.91","114.20","19.09M","0.38%"
"Sep 26, 2018","113.98","114.47","115.06","113.74","19.35M","-0.41%"
"Sep 25, 2018","114.45","114.80","115.10","113.75","22.67M","-0.19%"
"Sep 24, 2018","114.67","113.03","114.90","112.22","27.33M","0.36%"
"Sep 21, 2018","114.26","114.00","115.29","113.51","71.23M","0.61%"
"Sep 20, 2018","113.57","112.28","113.80","111.93","23.71M","1.67%"
"Sep 19, 2018","111.70","113.05","113.32","111.03","21.73M","-1.33%"
"Sep 18, 2018","113.21","112.19","113.69","111.72","22.17M","0.95%"
"Sep 17, 2018","112.14","113.69","113.70","111.86","20.74M","-1.08%"
"Sep 14, 2018","113.37","113.36","113.73","112.44","19.12M","0.41%"
"Sep 13, 2018","112.91","112.12","113.72","112.12","26.06M","1.07%"
"Sep 12, 2018","111.71","111.43","111.85","110.51","18.89M","0.42%"
"Sep 11, 2018","111.24","108.90","111.59","108.89","24.30M","1.70%"
"Sep 10, 2018","109.38","108.84","109.64","108.36","20.73M","1.08%"
"Sep 07, 2018","108.21","108.23","108.72","107.23","22.50M","-0.49%"
"Sep 06, 2018","108.74","108.25","108.99","107.51","23.48M","0.23%"
"Sep 05, 2018","108.49","111.01","111.42","108.10","32.87M","-2.88%"
"Sep 04, 2018","111.71","110.85","111.95","110.22","22.63M","-0.55%"
"Aug 31, 2018","112.33","111.69","112.78","111.52","23.22M","0.34%"
"Aug 30, 2018","111.95","111.67","112.61","111.44","22.80M","-0.06%"
"Aug 29, 2018","112.02","110.45","112.03","110.27","20.82M","1.60%"
"Aug 28, 2018","110.26","109.94","110.50","109.79","19.15M","0.60%"
"Aug 27, 2018","109.60","109.27","109.64","108.51","19.66M","1.11%"
"Aug 24, 2018","108.40","107.67","108.56","107.56","17.23M","0.78%"
"Aug 23, 2018","107.56","107.15","108.18","106.87","18.17M","0.47%"
"Aug 22, 2018","107.06","105.85","107.34","105.78","18.00M","1.02%"
"Aug 21, 2018","105.98","106.92","107.35","105.85","22.88M","-0.83%"
"Aug 20, 2018","106.87","107.51","107.90","106.48","17.91M","-0.66%"
"Aug 17, 2018","107.58","107.36","107.90","106.69","18.06M","-0.06%"
"Aug 16, 2018","107.64","108.30","108.86","107.30","21.38M","-0.02%"
"Aug 15, 2018","107.66","108.49","108.98","106.82","29.98M","-1.73%"
"Aug 14, 2018","109.56","108.56","109.75","108.04","16.79M","1.25%"
"Aug 13, 2018","108.21","109.24","109.58","108.10","18.47M","-0.72%"
"Aug 10, 2018","109.00","109.42","109.69","108.38","18.18M","-0.61%"
"Aug 09, 2018","109.67","109.71","110.16","109.60","13.68M","0.16%"
"Aug 08, 2018","109.49","109.33","109.75","108.76","15.49M","0.56%"
"Aug 07, 2018","108.88","108.56","109.10","108.17","16.08M","0.69%"
"Aug 06, 2018","108.13","108.12","108.42","107.56","20.27M","0.08%"
"Aug 03, 2018","108.04","107.80","108.05","106.82","18.66M","0.44%"
"Aug 02, 2018","107.57","105.40","108.09","104.84","26.10M","1.21%"
"Aug 01, 2018","106.28","106.03","106.45","105.42","23.63M","0.19%"
"Jul 31, 2018","106.08","106.49","106.72","105.38","27.66M","0.67%"
"Jul 30, 2018","105.37","107.19","107.53","104.76","34.67M","-2.15%"
"Jul 27, 2018","107.68","110.18","110.18","106.14","37.01M","-1.77%"
"Jul 26, 2018","109.62","110.74","111.00","109.50","31.37M","-1.09%"
"Jul 25, 2018","110.83","107.95","111.15","107.60","30.80M","2.94%"
"Jul 24, 2018","107.66","108.57","108.82","107.26","26.32M","-0.29%"
"Jul 23, 2018","107.97","106.30","108.14","106.13","29.71M","1.60%"
"Jul 20, 2018","106.27","108.08","108.20","106.08","56.04M","1.79%"
"Jul 19, 2018","104.40","104.93","105.31","103.89","40.17M","-0.68%"
"Jul 18, 2018","105.12","105.94","106.05","104.72","29.49M","-0.78%"
"Jul 17, 2018","105.95","104.61","106.50","104.32","25.90M","0.99%"
"Jul 16, 2018","104.91","105.40","105.82","104.52","21.79M","-0.49%"
"Jul 13, 2018","105.43","104.37","105.60","104.09","24.65M","1.19%"
"Jul 12, 2018","104.19","102.77","104.41","102.73","24.34M","2.17%"
"Jul 11, 2018","101.98","101.15","102.34","101.10","19.64M","-0.14%"
"Jul 10, 2018","102.12","102.00","102.51","101.86","19.29M","0.27%"
"Jul 09, 2018","101.85","101.65","102.25","101.25","18.21M","0.68%"
"Jul 06, 2018","101.16","99.89","101.43","99.67","19.23M","1.40%"
"Jul 05, 2018","99.76","99.50","99.92","99.03","18.98M","0.72%"
"Jul 03, 2018","99.05","100.48","100.63","98.94","14.67M","-0.96%"
"Jul 02, 2018","100.01","98.10","100.06","98.00","19.56M","1.42%"
"Jun 29, 2018","98.61","98.93","99.91","98.33","28.05M","-0.02%"
"Jun 28, 2018","98.63","97.38","99.11","97.26","26.65M","1.12%"
"Jun 27, 2018","97.54","99.58","100.02","97.40","31.30M","-1.55%"
"Jun 26, 2018","99.08","98.82","100.08","98.75","26.90M","0.70%"
"Jun 25, 2018","98.39","100.00","100.11","97.30","35.43M","-2.01%"
"Jun 22, 2018","100.41","100.41","100.77","99.62","38.92M","-0.72%"
"Jun 21, 2018","101.14","102.08","102.46","100.88","23.20M","-0.72%"
"Jun 20, 2018","101.87","101.37","102.52","101.12","26.18M","1.00%"
"Jun 19, 2018","100.86","99.65","101.00","99.50","28.65M","0.00%"
"Jun 18, 2018","100.86","100.01","101.11","99.42","23.59M","0.73%"
"Jun 15, 2018","100.13","101.51","101.53","100.07","65.74M","-1.27%"
"Jun 14, 2018","101.42","101.65","102.03","101.00","25.69M","0.57%"
"Jun 13, 2018","100.85","101.72","102.01","100.56","29.49M","-0.45%"
"Jun 12, 2018","101.31","101.10","101.45","100.75","18.33M","0.26%"
"Jun 11, 2018","101.05","101.37","101.59","100.67","23.49M","-0.57%"
"Jun 08, 2018","101.63","101.09","101.95","100.54","22.17M","0.74%"
"Jun 07, 2018","100.88","102.65","102.69","100.38","28.23M","-1.57%"
"Jun 06, 2018","102.49","102.48","102.60","101.90","21.12M","0.29%"
"Jun 05, 2018","102.19","102.00","102.33","101.53","23.51M","0.51%"
"Jun 04, 2018","101.67","101.26","101.86","100.85","27.28M","0.87%"
"Jun 01, 2018","100.79","99.28","100.86","99.17","28.66M","1.97%"
"May 31, 2018","98.84","99.29","99.99","98.61","34.14M","-0.11%"
"May 30, 2018","98.95","98.31","99.25","97.91","22.16M","0.96%"
"May 29, 2018","98.01","97.84","98.88","97.23","28.67M","-0.36%"
"May 25, 2018","98.36","98.30","98.98","97.86","18.36M","0.05%"
"May 24, 2018","98.31","98.72","98.94","96.81","26.65M","-0.35%"
"May 23, 2018","98.66","96.71","98.73","96.32","21.25M","1.19%"
"May 22, 2018","97.50","97.68","98.17","97.20","15.44M","-0.10%"
"May 21, 2018","97.60","97.00","98.01","96.80","19.42M","1.29%"
"May 18, 2018","96.36","96.01","96.93","96.01","17.87M","0.19%"
"May 17, 2018","96.18","96.76","97.54","95.83","17.25M","-1.00%"
"May 16, 2018","97.15","97.36","97.40","96.61","17.38M","-0.17%"
"May 15, 2018","97.32","97.24","97.85","96.34","24.59M","-0.72%"
"May 14, 2018","98.03","97.92","98.69","97.31","19.45M","0.34%"
"May 11, 2018","97.70","97.80","97.87","97.04","16.78M","-0.21%"
"May 10, 2018","97.91","97.46","97.95","97.05","22.39M","1.00%"
"May 09, 2018","96.94","96.01","96.97","95.05","27.33M","1.18%"
"May 08, 2018","95.81","95.85","96.16","95.06","23.48M","-0.43%"
"May 07, 2018","96.22","95.17","96.71","95.10","24.24M","1.11%"
"May 04, 2018","95.16","93.32","95.37","92.92","22.53M","1.16%"
"May 03, 2018","94.07","92.96","94.92","92.45","31.14M","0.60%"
"May 02, 2018","93.51","94.99","95.17","93.19","27.47M","-1.57%"
"May 01, 2018","95.00","93.21","95.29","92.79","31.41M","1.58%"
"Apr 30, 2018","93.52","96.33","96.40","93.15","41.52M","-2.40%"
"Apr 27, 2018","95.82","97.60","97.90","93.91","48.27M","1.65%"
"Apr 26, 2018","94.26","93.55","95.15","93.10","42.53M","2.11%"
"Apr 25, 2018","92.31","93.30","93.30","90.28","33.73M","-0.87%"
"Apr 24, 2018","93.12","96.24","96.47","92.41","34.52M","-2.34%"
"Apr 23, 2018","95.35","95.74","96.29","94.63","22.33M","0.37%"
"Apr 20, 2018","95.00","95.91","96.11","94.05","31.15M","-1.15%"
"Apr 19, 2018","96.11","96.44","97.07","95.34","23.55M","-0.34%"
"Apr 18, 2018","96.44","96.22","96.72","95.52","21.04M","0.39%"
"Apr 17, 2018","96.07","95.00","96.54","94.88","26.77M","2.02%"
"Apr 16, 2018","94.17","94.07","94.66","93.42","20.29M","1.17%"
"Apr 13, 2018","93.08","94.05","94.18","92.44","23.35M","-0.53%"
"Apr 12, 2018","93.58","92.43","94.16","92.43","26.76M","1.87%"
"Apr 11, 2018","91.86","92.01","93.29","91.48","24.87M","-1.10%"
"Apr 10, 2018","92.88","92.39","93.28","91.64","26.94M","2.32%"
"Apr 09, 2018","90.77","91.04","93.17","90.62","31.53M","0.60%"
"Apr 06, 2018","90.23","91.49","92.46","89.48","38.03M","-2.33%"
"Apr 05, 2018","92.38","92.44","93.06","91.40","29.77M","0.05%"
"Apr 04, 2018","92.33","87.85","92.76","87.73","35.56M","2.92%"
"Apr 03, 2018","89.71","89.58","90.05","87.89","37.21M","1.34%"
"Apr 02, 2018","88.52","90.47","90.88","87.51","48.52M","-3.01%"
"Mar 29, 2018","91.27","90.18","92.29","88.40","45.87M","2.10%"
"Mar 28, 2018","89.39","89.82","91.23","88.87","52.50M","-0.09%"
"Mar 27, 2018","89.47","94.94","95.14","88.51","56.57M","-4.60%"
"Mar 26, 2018","93.78","90.61","94.00","90.40","56.40M","7.57%"
"Mar 23, 2018","87.18","89.50","90.46","87.08","44.07M","-2.91%"
"Mar 22, 2018","89.79","91.27","91.75","89.66","38.60M","-2.91%"
"Mar 21, 2018","92.48","92.93","94.05","92.21","24.46M","-0.70%"
"Mar 20, 2018","93.13","93.05","93.77","93.00","23.08M","0.26%"
"Mar 19, 2018","92.89","93.74","93.90","92.11","33.34M","-1.81%"
"Mar 16, 2018","94.60","94.68","95.38","93.92","49.08M","0.45%"
"Mar 15, 2018","94.18","93.53","94.58","92.83","27.61M","0.35%"
"Mar 14, 2018","93.85","95.12","95.41","93.50","32.13M","-0.59%"
"Mar 13, 2018","94.41","97.00","97.24","93.97","35.39M","-2.44%"
"Mar 12, 2018","96.77","96.50","97.21","96.04","26.07M","0.24%"
"Mar 09, 2018","96.54","95.29","96.54","95.00","36.94M","2.23%"
"Mar 08, 2018","94.43","94.27","95.10","93.77","25.89M","0.61%"
"Mar 07, 2018","93.86","93.16","93.94","92.43","26.72M","0.58%"
"Mar 06, 2018","93.32","94.34","94.49","92.94","22.18M","-0.34%"
"Mar 05, 2018","93.64","92.34","94.27","92.26","23.90M","0.63%"
"Mar 02, 2018","93.05","91.58","93.15","90.86","32.83M","0.22%"
"Mar 01, 2018","92.85","93.99","94.57","91.84","37.14M","-0.98%"
"Feb 28, 2018","93.77","94.84","95.70","93.63","31.17M","-0.46%"
"Feb 27, 2018","94.20","95.74","95.84","94.20","25.87M","-1.28%"
"Feb 26, 2018","95.42","94.40","95.45","94.25","30.20M","1.45%"
"Feb 23, 2018","94.06","92.75","94.07","92.36","26.33M","2.54%"
"Feb 22, 2018","91.73","92.05","92.73","91.36","24.39M","0.26%"
"Feb 21, 2018","91.49","92.98","93.36","91.49","26.92M","-1.33%"
"Feb 20, 2018","92.72","91.47","93.06","91.01","30.91M","0.78%"
"Feb 16, 2018","92.00","92.45","93.50","91.80","30.60M","-0.71%"
"Feb 15, 2018","92.66","91.21","92.72","90.62","27.82M","2.04%"
"Feb 14, 2018","90.81","88.51","90.99","88.41","34.96M","1.09%"
"Feb 13, 2018","89.83","88.93","90.00","87.80","26.41M","0.79%"
"Feb 12, 2018","89.13","88.73","89.78","87.93","35.72M","1.08%"
"Feb 09, 2018","88.18","86.30","88.93","83.83","63.50M","3.73%"
"Feb 08, 2018","85.01","89.71","89.88","84.76","55.63M","-5.13%"
"Feb 07, 2018","89.61","90.49","91.77","89.20","41.11M","-1.88%"
"Feb 06, 2018","91.33","86.89","91.47","85.25","68.00M","3.78%"
"Feb 05, 2018","88.00","90.56","93.24","88.00","51.03M","-4.12%"
"Feb 02, 2018","91.78","93.64","93.97","91.50","47.87M","-2.63%"
"Feb 01, 2018","94.26","94.79","96.07","93.58","47.23M","-0.79%"
"Jan 31, 2018","95.01","93.75","95.40","93.51","48.76M","2.45%"
"Jan 30, 2018","92.74","93.30","93.66","92.10","38.64M","-1.26%"
"Jan 29, 2018","93.92","95.14","95.45","93.72","31.57M","-0.15%"
"Jan 26, 2018","94.06","93.12","94.06","92.58","29.17M","1.87%"
"Jan 25, 2018","92.33","92.47","93.24","91.93","26.38M","0.56%"
"Jan 24, 2018","91.82","92.55","93.43","91.58","33.28M","-0.09%"
"Jan 23, 2018","91.90","91.90","92.30","91.54","23.41M","0.32%"
"Jan 22, 2018","91.61","90.00","91.62","89.74","23.60M","1.79%"
"Jan 19, 2018","90.00","90.14","90.61","89.66","36.88M","-0.11%"
"Jan 18, 2018","90.10","89.80","90.67","89.66","24.16M","-0.04%"
"Jan 17, 2018","90.14","89.08","90.28","88.75","25.62M","2.03%"
"Jan 16, 2018","88.35","90.10","90.79","88.01","36.60M","-1.40%"
"Jan 12, 2018","89.60","88.67","89.78","88.45","24.27M","1.73%"
"Jan 11, 2018","88.08","88.13","88.13","87.24","17.81M","0.30%"
"Jan 10, 2018","87.82","87.86","88.19","87.41","18.65M","-0.45%"
"Jan 09, 2018","88.22","88.65","88.73","87.86","19.48M","-0.07%"
"Jan 08, 2018","88.28","88.20","88.58","87.60","22.11M","0.10%"
"Jan 05, 2018","88.19","87.66","88.41","87.43","23.41M","1.24%"
"Jan 04, 2018","87.11","86.59","87.66","86.57","21.91M","0.88%"
"Jan 03, 2018","86.35","86.06","86.51","85.97","26.06M","0.47%"
"Jan 02, 2018","85.95","86.12","86.31","85.50","22.48M","0.48%"
