Season End Year;League;Nº Teams;Total Stadiums Capacity;Average Stadiums Capacity;Total Attendance;Average Attendance;Average Capacity Ocupation
2016;Premier League;20;819768;40988;13851829;36452;0,8893
2017;Premier League;20;778227;38911;13612316;35822;0,9206
2018;Premier League;20;778295;38915;14552748;38297;0,9841
2019;Premier League;20;784598;39230;14503954;38168;0,9729
2020;Premier League;20;810446;40522;11332096;29821;0,7359
1997;Serie A;18;724753;40264;9156866;29924;0,7432
1998;Serie A;18;748768;41598;9424350;30799;0,7404
1999;Serie A;18;703563;39087;9419805;30784;0,7876
2000;Serie A;18;722059;40114;9218788;30127;0,7510
2001;Serie A;18;758516;42140;8917603;29142;0,6916
2002;Serie A;18;700080;38893;8087497;26430;0,6796
2003;Serie A;18;649602;36089;7831250;25592;0,7091
2004;Serie A;18;661401;36745;7893451;25796;0,7020
2005;Serie A;20;758627;37931;9839475;25893;0,6826
2006;Serie A;20;729935;36497;8346825;21965;0,6018
2007;Serie A;20;721140;36057;6947227;18282;0,5070
2008;Serie A;20;763655;38183;8869341;23340;0,6113
2009;Serie A;20;801284;40064;9615547;25371;0,6333
2010;Serie A;20;821191;41060;9607335;25282;0,6157
2011;Serie A;20;839037;41952;9171514;24136;0,5753
2012;Serie A;20;780629;39031;8547310;22493;0,5763
2013;Serie A;20;792153;39608;8818695;23268;0,5875
2014;Serie A;20;799988;39999;8886213;23385;0,5846
2015;Serie A;20;801144;40057;8440903;22213;0,5545
2016;Serie A;20;796715;39836;8604537;22644;0,5684
2017;Serie A;20;789299;39465;8422378;22164;0,5616
2018;Serie A;20;784839;39242;9411539;24767;0,6311
2019;Serie A;20;770547;38527;9590166;25237;0,6550
2020;Serie A;20;793748;39687;6820745;17949;0,4523
