dates,prices
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 21 2020,1875
April 21 2020,2487
April 18 2020,175
April 17 2020,22
April 16 2020,2098
April 15 2020,233
April 13 2020,18
April 11 2020,2301
April 10 2020,198
April 10 2020,2265
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
April 9 2020,1634
April 9 2020,201
April 9 2020,155
April 8 2020,25
April 8 2020,215
April 6 2020,2
April 5 2020,217
March 29 2020,238
March 26 2020,169
March 24 2020,2008
March 23 2020,215
March 19 2020,2
March 17 2020,26
March 16 2020,21
March 14 2020,191
March 9 2020,2052
March 9 2020,1711
March 7 2020,1765
March 6 2020,2195
March 4 2020,2494
March 4 2020,19
March 3 2020,22
March 3 2020,1799
March 2 2020,2192
February 28 2020,1575
February 28 2020,225
February 25 2020,1625
February 25 2020,2849
February 22 2020,1605
February 22 2020,22
March 4 2020,19
March 3 2020,22
March 3 2020,1799
March 2 2020,2192
February 28 2020,1575
February 28 2020,225
February 25 2020,1625
February 25 2020,2849
February 22 2020,1605
February 22 2020,22
March 4 2020,19
March 3 2020,22
March 3 2020,1799
March 2 2020,2192
February 28 2020,1575
February 28 2020,225
February 25 2020,1625
February 25 2020,2849
February 22 2020,1605
February 22 2020,22
March 4 2020,19
March 3 2020,22
March 3 2020,1799
March 2 2020,2192
February 28 2020,1575
February 28 2020,225
February 25 2020,1625
February 25 2020,2849
February 22 2020,1605
February 22 2020,22
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 9 2020,2498
February 7 2020,245
February 6 2020,2148
February 6 2020,2555
February 5 2020,225
February 5 2020,1965
February 2 2020,195
February 2 2020,185
January 31 2020,235
January 31 2020,2709
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 19 2020,2775
February 14 2020,22
February 14 2020,1705
February 14 2020,175
February 13 2020,2499
February 12 2020,2898
February 12 2020,2775
February 11 2020,2402
February 11 2020,3225
February 11 2020,1975
February 11 2020,1975
February 9 2020,2498
February 7 2020,245
February 6 2020,2148
February 6 2020,2555
February 5 2020,225
February 5 2020,1965
February 2 2020,195
February 2 2020,185
January 31 2020,235
February 11 2020,1975
February 9 2020,2498
February 7 2020,245
February 6 2020,2148
February 6 2020,2555
February 5 2020,225
February 5 2020,1965
February 2 2020,195
February 2 2020,185
January 31 2020,235
January 31 2020,2709
January 30 2020,1775
January 30 2020,24
January 28 2020,2555
January 24 2020,25
January 22 2020,241
January 22 2020,1799
January 22 2020,22
January 21 2020,225
January 21 2020,1785
January 20 2020,2
January 14 2020,22
January 13 2020,2325
January 11 2020,245
January 11 2020,2019
January 8 2020,21
January 7 2020,192
January 7 2020,21
January 6 2020,22
January 4 2020,164
January 4 2020,1675
January 3 2020,205
January 2 2020,205
January 1 2020,2362
December 31 2019,17
December 31 2019,2693
December 30 2019,172
December 29 2019,1812
December 27 2019,2075
December 26 2019,1875
December 26 2019,2005
December 25 2019,23
December 25 2019,1943
December 18 2019,149
December 16 2019,197
December 16 2019,19
December 15 2019,2524
December 12 2019,1992
December 11 2019,1974
December 10 2019,24
December 9 2019,24
December 7 2019,146
December 6 2019,1706
December 5 2019,23
December 5 2019,1975
December 4 2019,2102
December 4 2019,21
December 4 2019,1917
December 3 2019,23
December 3 2019,243
December 3 2019,1866
December 3 2019,1865
December 2 2019,217
December 2 2019,225
December 2 2019,1605
December 2 2019,141
November 30 2019,2204
November 30 2019,1969
November 29 2019,1442
November 28 2019,1901
November 28 2019,198
November 22 2019,2706
November 21 2019,1996
November 18 2019,144
November 15 2019,2427
November 14 2019,1571
November 11 2019,225
November 11 2019,2847
November 10 2019,27
November 9 2019,21
November 9 2019,2221
November 7 2019,14
November 4 2019,249
November 1 2019,2016
October 31 2019,2575
October 31 2019,2205
October 27 2019,165
October 22 2019,2415
October 21 2019,17
October 18 2019,17
October 17 2019,1799
October 17 2019,1953
October 17 2019,225
October 16 2019,179
October 16 2019,1435
October 16 2019,1775
October 16 2019,285
October 16 2019,246
October 12 2019,16
October 10 2019,2249
October 17 2019,1799
October 17 2019,1953
October 17 2019,225
October 16 2019,179
October 16 2019,1435
October 16 2019,1775
October 16 2019,285
October 16 2019,246
October 12 2019,16
October 10 2019,2249
October 9 2019,2249
October 7 2019,188
October 5 2019,25
October 4 2019,29
October 4 2019,165
October 2 2019,1721
October 2 2019,2766
October 2 2019,16
October 1 2019,125
September 30 2019,196
September 29 2019,28
September 27 2019,1778
September 27 2019,1695
September 26 2019,285
September 25 2019,143
September 23 2019,165
September 22 2019,1666
September 22 2019,2286
September 21 2019,2548
September 20 2019,1795
September 20 2019,2551
September 16 2019,26
September 14 2019,26
September 13 2019,2
September 11 2019,22
September 10 2019,2845
September 10 2019,2486
September 10 2019,2
September 8 2019,2019
September 7 2019,1775
September 6 2019,26
September 5 2019,285
September 4 2019,2999
September 2 2019,2775
September 2 2019,188
September 2 2019,2595
September 2 2019,1825
September 1 2019,168
August 31 2019,1799
August 30 2019,1585
August 30 2019,22
August 30 2019,22
August 28 2019,1495
August 28 2019,169
August 25 2019,214
August 25 2019,1999
August 23 2019,18
August 23 2019,15
August 22 2019,25
August 22 2019,25
August 22 2019,186
August 21 2019,175
August 20 2019,1895
August 19 2019,235
August 18 2019,1933
August 18 2019,1925
August 17 2019,2499
August 17 2019,2999
August 16 2019,2213
August 16 2019,22
August 15 2019,23
August 15 2019,215
August 14 2019,2498
August 14 2019,1451
August 13 2019,192
August 12 2019,215
August 12 2019,1389
August 12 2019,2151
August 11 2019,1385
August 9 2019,2388
August 9 2019,215
August 7 2019,175
August 7 2019,2185
August 7 2019,23
August 6 2019,18
August 6 2019,2285
August 6 2019,165
August 6 2019,2062
August 5 2019,235
August 5 2019,167
August 4 2019,1726
August 3 2019,16
August 2 2019,206
August 2 2019,2088
July 31 2019,2016
July 30 2019,21
July 30 2019,23
July 30 2019,18
July 29 2019,18
July 29 2019,2299
July 28 2019,1257
July 26 2019,1875
July 24 2019,179
July 23 2019,202
July 23 2019,2339
July 22 2019,151
July 21 2019,1933
July 20 2019,233
July 20 2019,1862
July 19 2019,1861
July 19 2019,21
July 19 2019,2095
July 18 2019,205
July 18 2019,122
July 17 2019,2185
July 16 2019,2136
July 16 2019,1725
July 15 2019,2141
July 15 2019,201
July 14 2019,1887
July 19 2019,21
July 19 2019,2095
July 18 2019,205
July 18 2019,122
July 17 2019,2185
July 16 2019,2136
July 16 2019,1725
July 15 2019,2141
July 15 2019,201
July 14 2019,1887
July 10 2019,1904
July 10 2019,2181
July 9 2019,183
July 9 2019,1878
July 9 2019,1638
July 9 2019,1617
July 9 2019,1565
July 9 2019,2025
July 8 2019,1313
July 7 2019,1486
July 7 2019,21
July 6 2019,15
July 6 2019,2063
July 5 2019,175
July 5 2019,1569
July 5 2019,1565
July 5 2019,2295
July 4 2019,22
July 4 2019,1951
July 3 2019,192
July 3 2019,1899
July 2 2019,2
July 2 2019,2049
July 1 2019,17
July 1 2019,2245
July 1 2019,2
June 27 2019,215
June 27 2019,1851
June 27 2019,18
June 26 2019,2285
June 26 2019,197
June 26 2019,225
June 25 2019,155
June 24 2019,2248
June 24 2019,1816
June 24 2019,2049
June 24 2019,1594
June 22 2019,1593
June 22 2019,1357
June 20 2019,2
June 20 2019,1742
June 19 2019,182
June 19 2019,18
June 19 2019,1839
June 18 2019,1725
June 17 2019,185
June 16 2019,1999
June 15 2019,185
June 15 2019,2248
June 14 2019,145
June 14 2019,2
June 12 2019,1966
June 12 2019,1894
June 11 2019,1925
June 10 2019,192
June 10 2019,175
June 10 2019,17
June 10 2019,1806
June 10 2019,2046
June 9 2019,1989
June 7 2019,182
June 7 2019,179
June 6 2019,195
June 6 2019,1835
June 6 2019,18
June 5 2019,176
June 4 2019,181
June 3 2019,181
June 3 2019,1805
June 2 2019,1625
June 1 2019,18
June 1 2019,15
May 31 2019,1775
May 30 2019,1695
May 29 2019,15
May 29 2019,16
May 29 2019,18
May 28 2019,1456
May 28 2019,1972
May 27 2019,1695
May 26 2019,1692
May 25 2019,16
May 24 2019,1869
May 24 2019,1451
May 24 2019,154
May 23 2019,194
May 23 2019,167
May 23 2019,1879
May 22 2019,165
May 22 2019,1302
May 22 2019,1838
May 22 2019,161
May 22 2019,178
May 21 2019,176
May 20 2019,2
May 18 2019,17
May 17 2019,1999
May 16 2019,17
May 15 2019,1951
May 15 2019,1611
May 14 2019,17
May 14 2019,1898
May 14 2019,194
May 14 2019,2047
May 14 2019,1875
May 13 2019,1753
May 12 2019,1491
May 11 2019,19
May 10 2019,165
May 10 2019,144
May 7 2019,2013
May 6 2019,1841
May 5 2019,17
May 5 2019,18
May 3 2019,1445
May 2 2019,183
May 2 2019,18
May 2 2019,1636
May 1 2019,1642
April 30 2019,1801
May 7 2019,2013
May 6 2019,1841
May 5 2019,17
May 5 2019,18
May 3 2019,1445
May 2 2019,183
May 2 2019,18
May 2 2019,1636
May 1 2019,1642
April 30 2019,1801
April 30 2019,199
April 28 2019,1898
April 27 2019,175
April 24 2019,1425
April 24 2019,176
April 23 2019,184
April 23 2019,131
April 23 2019,18
April 23 2019,1825
April 23 2019,18
April 30 2019,199
April 28 2019,1898
April 27 2019,175
April 24 2019,1425
April 24 2019,176
April 23 2019,184
April 23 2019,131
April 23 2019,18
April 23 2019,1825
April 23 2019,18
April 22 2019,1851
April 22 2019,229
April 22 2019,1848
April 22 2019,17
April 20 2019,165
April 20 2019,158
April 20 2019,1562
April 20 2019,16
April 20 2019,15
April 20 2019,161
April 20 2019,16
April 20 2019,161
April 20 2019,165
April 20 2019,1581
April 20 2019,16
April 20 2019,1788
April 19 2019,1699
