dates,prices
"December 10, 2019",105
"December 10, 2019",965
"December 10, 2019",970
"December 10, 2019",780
"December 9, 2019",675
"December 9, 2019",750
"December 9, 2019",1
"December 9, 2019",550
"December 8, 2019",727
"December 8, 2019",553
"December 6, 2019",1031
"December 6, 2019",699
"December 6, 2019",300
"December 6, 2019",1319
"December 6, 2019",800
"December 6, 2019",780
"December 6, 2019",800
"December 5, 2019",926
"December 5, 2019",875
"December 5, 2019",102
"December 5, 2019",720
"December 4, 2019",703
"December 4, 2019",680
"December 4, 2019",693
"December 4, 2019",600
"December 4, 2019",697
"December 3, 2019",695
"December 3, 2019",725
"December 3, 2019",730
"December 3, 2019",710
"December 3, 2019",850
"December 2, 2019",725
"December 2, 2019",701
"December 2, 2019",870
"December 2, 2019",855
"December 2, 2019",763
"December 2, 2019",780
"November 30, 2019",999
"November 30, 2019",675
"November 29, 2019",801
"November 29, 2019",800
"November 29, 2019",699
"November 28, 2019",820
"November 28, 2019",690
"November 27, 2019",1
"November 27, 2019",799
"November 27, 2019",779
"November 26, 2019",640
"November 26, 2019",680
"November 25, 2019",950
"November 25, 2019",734
"November 24, 2019",850
"November 24, 2019",720
"November 24, 2019",801
"November 23, 2019",685
"November 23, 2019",735
"November 22, 2019",802
"November 22, 2019",845
"November 22, 2019",780
"November 21, 2019",776
"November 21, 2019",715
"November 21, 2019",890
"November 21, 2019",680
"November 20, 2019",900
"November 20, 2019",900
"November 20, 2019",950
"November 20, 2019",1
"November 20, 2019",876
"November 19, 2019",680
"November 18, 2019",850
"November 18, 2019",640
"November 16, 2019",775
"November 15, 2019",760
"November 15, 2019",775
"November 14, 2019",900
"November 14, 2019",575
"November 14, 2019",735
"November 14, 2019",570
"November 14, 2019",799
"November 13, 2019",849
"November 13, 2019",768
"November 13, 2019",800
"November 12, 2019",830
"November 11, 2019",1015
"November 11, 2019",563
"November 11, 2019",990
"November 10, 2019",531
"November 10, 2019",880
"November 9, 2019",749
"November 8, 2019",665
"November 8, 2019",875
"November 8, 2019",12
"November 7, 2019",781
"November 7, 2019",948
"November 7, 2019",920
"November 7, 2019",753
"November 6, 2019",782
"November 6, 2019",850
"November 6, 2019",769
"November 6, 2019",780
"November 6, 2019",750
"November 5, 2019",775
"November 4, 2019",739
"November 4, 2019",300
"November 4, 2019",681
"November 3, 2019",800
"November 3, 2019",800
"November 2, 2019",775
"November 2, 2019",559
"November 1, 2019",726
"November 1, 2019",700
"November 1, 2019",615
"November 1, 2019",725
"October 31, 2019",690
"October 31, 2019",680
"October 31, 2019",505
"October 31, 2019",684
"October 30, 2019",928
"October 30, 2019",927
"October 30, 2019",995
"October 29, 2019",665
"October 27, 2019",798
"October 27, 2019",690
"October 26, 2019",750
"October 25, 2019",647
"October 25, 2019",545
"October 24, 2019",733
"October 24, 2019",760
"October 24, 2019",805
"October 23, 2019",756
"October 23, 2019",530
"October 23, 2019",850
"October 23, 2019",191
"October 23, 2019",606
"October 21, 2019",690
"October 21, 2019",227
"October 20, 2019",551
"October 18, 2019",642
"October 18, 2019",650
"October 18, 2019",651
"October 18, 2019",750
"October 17, 2019",505
"October 17, 2019",751
"October 17, 2019",730
"October 17, 2019",640
"October 17, 2019",530
"October 16, 2019",651
"October 15, 2019",700
"October 11, 2019",727
"October 11, 2019",105
"October 11, 2019",650
"October 11, 2019",800
"October 10, 2019",966
"October 10, 2019",790
"October 10, 2019",849
"October 9, 2019",420
"October 9, 2019",835
"October 9, 2019",759
"October 8, 2019",990
"October 8, 2019",790
"October 8, 2019",750
"October 8, 2019",999
"October 7, 2019",841
"October 7, 2019",955
"October 7, 2019",988
"October 7, 2019",879
"October 7, 2019",829
"October 7, 2019",834
"October 6, 2019",750
"October 6, 2019",725
"October 6, 2019",675
"October 5, 2019",650
"October 5, 2019",675
"October 4, 2019",532
"October 4, 2019",515
"October 4, 2019",669
"October 4, 2019",745
"October 4, 2019",945
"October 3, 2019",820
"October 3, 2019",920
"October 3, 2019",839
"October 3, 2019",718
"October 2, 2019",924
"October 2, 2019",500
"September 30, 2019",755
"September 30, 2019",651
"September 30, 2019",708
"September 29, 2019",829
"September 29, 2019",779
"September 29, 2019",664
"September 29, 2019",950
"September 29, 2019",900
"September 29, 2019",949
"September 29, 2019",450
"September 28, 2019",900
"September 28, 2019",491
"September 27, 2019",705
"September 27, 2019",815
"September 27, 2019",678
"September 27, 2019",490
"September 27, 2019",800
"September 25, 2019",801
"September 25, 2019",665
"September 24, 2019",783
"September 23, 2019",775
"September 22, 2019",780
"September 20, 2019",780
"September 20, 2019",950
"September 20, 2019",945
"September 20, 2019",787
"September 19, 2019",700
"September 19, 2019",785
"September 19, 2019",349
"September 19, 2019",726
"September 18, 2019",782
"September 18, 2019",950
"September 17, 2019",756
"September 17, 2019",800
"September 17, 2019",667
"September 16, 2019",900
"September 19, 2019",700
"September 19, 2019",785
"September 19, 2019",349
"September 19, 2019",726
"September 18, 2019",782
"September 18, 2019",950
"September 17, 2019",756
"September 17, 2019",800
"September 17, 2019",667
"September 16, 2019",900
"September 19, 2019",700
"September 19, 2019",785
"September 19, 2019",349
"September 19, 2019",726
"September 18, 2019",782
"September 18, 2019",950
"September 17, 2019",756
"September 17, 2019",800
"September 17, 2019",667
"September 16, 2019",900
"September 16, 2019",740
"September 16, 2019",641
"September 15, 2019",671
"September 14, 2019",750
"September 14, 2019",675
"September 14, 2019",720
"September 14, 2019",824
"September 13, 2019",840
"September 13, 2019",765
"September 12, 2019",692
"September 16, 2019",740
"September 16, 2019",641
"September 15, 2019",671
"September 14, 2019",750
"September 14, 2019",675
"September 14, 2019",720
"September 14, 2019",824
"September 13, 2019",840
"September 13, 2019",765
"September 12, 2019",692
"September 16, 2019",740
"September 16, 2019",641
"September 15, 2019",671
"September 14, 2019",750
"September 14, 2019",675
"September 14, 2019",720
"September 14, 2019",824
"September 13, 2019",840
"September 13, 2019",765
"September 12, 2019",692
"September 12, 2019",770
"September 11, 2019",855
"September 11, 2019",927
"September 11, 2019",928
"September 10, 2019",650
"September 10, 2019",890
"September 9, 2019",695
"September 8, 2019",567
"September 7, 2019",880
"September 7, 2019",789
"September 12, 2019",770
"September 11, 2019",855
"September 11, 2019",927
"September 11, 2019",928
"September 10, 2019",650
"September 10, 2019",890
"September 9, 2019",695
"September 8, 2019",567
"September 7, 2019",880
"September 7, 2019",789
"September 7, 2019",789
"September 7, 2019",785
"September 6, 2019",750
"September 6, 2019",846
"September 6, 2019",693
"September 6, 2019",788
"September 5, 2019",840
"September 5, 2019",630
"September 5, 2019",565
"September 4, 2019",799
"September 4, 2019",850
"September 4, 2019",695
"September 3, 2019",1049
"September 2, 2019",490
"September 2, 2019",973
"September 2, 2019",895
"September 1, 2019",865
"September 1, 2019",936
"September 1, 2019",789
"September 1, 2019",750
"September 1, 2019",750
"August 31, 2019",750
"August 31, 2019",926
"August 31, 2019",675
"August 31, 2019",1044
"August 30, 2019",500
"August 30, 2019",850
"August 30, 2019",750
"August 30, 2019",978
"August 29, 2019",700
"August 29, 2019",485
"August 29, 2019",999
"August 29, 2019",735
"August 29, 2019",750
"August 28, 2019",859
"August 28, 2019",845
"August 28, 2019",970
"August 27, 2019",734
"August 26, 2019",815
"August 25, 2019",665
"August 24, 2019",1275
"August 23, 2019",701
"August 23, 2019",528
"August 22, 2019",700
"August 22, 2019",802
"August 22, 2019",1199
"August 22, 2019",930
"August 21, 2019",840
"August 21, 2019",680
"August 21, 2019",635
"August 24, 2019",1275
"August 23, 2019",701
"August 23, 2019",528
"August 22, 2019",700
"August 22, 2019",802
"August 22, 2019",1199
"August 22, 2019",930
"August 21, 2019",840
"August 21, 2019",680
"August 21, 2019",635
"August 20, 2019",490
"August 20, 2019",735
"August 19, 2019",650
"August 19, 2019",985
"August 19, 2019",985
"August 18, 2019",710
"August 18, 2019",961
"August 18, 2019",833
"August 18, 2019",715
"August 17, 2019",960
"August 20, 2019",490
"August 20, 2019",735
"August 19, 2019",650
"August 19, 2019",985
"August 19, 2019",985
"August 18, 2019",710
"August 18, 2019",961
"August 18, 2019",833
"August 18, 2019",715
"August 17, 2019",960
"August 17, 2019",839
"August 16, 2019",560
"August 15, 2019",881
"August 15, 2019",825
"August 15, 2019",555
"August 14, 2019",730
"August 13, 2019",800
"August 13, 2019",659
"August 13, 2019",945
"August 13, 2019",820
"August 17, 2019",839
"August 16, 2019",560
"August 15, 2019",881
"August 15, 2019",825
"August 15, 2019",555
"August 14, 2019",730
"August 13, 2019",800
"August 13, 2019",659
"August 13, 2019",945
"August 13, 2019",820
"August 13, 2019",500
"August 13, 2019",744
"August 12, 2019",945
"August 12, 2019",610
"August 12, 2019",985
"August 12, 2019",660
"August 11, 2019",105
"August 10, 2019",821
"August 10, 2019",912
"August 10, 2019",900
"August 13, 2019",500
"August 13, 2019",744
"August 12, 2019",945
"August 12, 2019",610
"August 12, 2019",985
"August 12, 2019",660
"August 11, 2019",105
"August 10, 2019",821
"August 10, 2019",912
"August 10, 2019",900
"August 13, 2019",500
"August 13, 2019",744
"August 12, 2019",945
"August 12, 2019",610
"August 12, 2019",985
"August 12, 2019",660
"August 11, 2019",105
"August 10, 2019",821
"August 10, 2019",912
"August 10, 2019",900
"August 10, 2019",899
"August 10, 2019",740
"August 9, 2019",800
"August 9, 2019",950
"August 9, 2019",680
"August 9, 2019",520
"August 8, 2019",759
"August 7, 2019",565
"August 6, 2019",685
"August 6, 2019",505
"August 10, 2019",899
"August 10, 2019",740
"August 9, 2019",800
"August 9, 2019",950
"August 9, 2019",680
"August 9, 2019",520
"August 8, 2019",759
"August 7, 2019",565
"August 6, 2019",685
"August 6, 2019",505
"August 10, 2019",899
"August 10, 2019",740
"August 9, 2019",800
"August 9, 2019",950
"August 9, 2019",680
"August 9, 2019",520
"August 8, 2019",759
"August 7, 2019",565
"August 6, 2019",685
"August 6, 2019",505
"August 10, 2019",899
"August 10, 2019",740
"August 9, 2019",800
"August 9, 2019",950
"August 9, 2019",680
"August 9, 2019",520
"August 8, 2019",759
"August 7, 2019",565
"August 6, 2019",685
"August 6, 2019",505
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 10, 2019",899
"August 10, 2019",740
"August 9, 2019",800
"August 9, 2019",950
"August 9, 2019",680
"August 9, 2019",520
"August 8, 2019",759
"August 7, 2019",565
"August 6, 2019",685
"August 6, 2019",505
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 6, 2019",909
"August 5, 2019",475
"August 5, 2019",661
"August 5, 2019",670
"August 4, 2019",720
"August 4, 2019",925
"August 4, 2019",900
"August 3, 2019",684
"August 3, 2019",506
"August 2, 2019",114
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
