,dates,prices
369,"April 10, 2020","$2,265"
370,"April 21, 2020","$1,875"
371,"April 21, 2020","$2,487"
372,"April 18, 2020","$1,750"
373,"April 17, 2020","$2,200"
374,"April 16, 2020","$2,098"
375,"April 15, 2020","$2,330"
376,"April 13, 2020","$1,800"
377,"April 11, 2020","$2,301"
378,"April 10, 2020","$1,980"
379,"April 10, 2020","$2,265"
380,"April 21, 2020","$1,875"
381,"April 21, 2020","$2,487"
382,"April 18, 2020","$1,750"
383,"April 17, 2020","$2,200"
384,"April 16, 2020","$2,098"
385,"April 15, 2020","$2,330"
386,"April 13, 2020","$1,800"
387,"April 11, 2020","$2,301"
388,"April 10, 2020","$1,980"
389,"April 10, 2020","$2,265"
390,"April 21, 2020","$1,875"
391,"April 21, 2020","$2,487"
392,"April 18, 2020","$1,750"
393,"April 17, 2020","$2,200"
394,"April 16, 2020","$2,098"
395,"April 15, 2020","$2,330"
396,"April 13, 2020","$1,800"
397,"April 11, 2020","$2,301"
398,"April 10, 2020","$1,980"
399,"April 10, 2020","$2,265"
400,"April 21, 2020","$1,875"
401,"April 21, 2020","$2,487"
402,"April 18, 2020","$1,750"
403,"April 17, 2020","$2,200"
404,"April 16, 2020","$2,098"
405,"April 15, 2020","$2,330"
406,"April 13, 2020","$1,800"
407,"April 11, 2020","$2,301"
408,"April 10, 2020","$1,980"
409,"April 10, 2020","$2,265"
410,"April 21, 2020","$1,875"
411,"April 21, 2020","$2,487"
412,"April 18, 2020","$1,750"
413,"April 17, 2020","$2,200"
414,"April 16, 2020","$2,098"
415,"April 15, 2020","$2,330"
416,"April 13, 2020","$1,800"
417,"April 11, 2020","$2,301"
418,"April 10, 2020","$1,980"
419,"April 10, 2020","$2,265"
420,"April 21, 2020","$1,875"
421,"April 21, 2020","$2,487"
422,"April 18, 2020","$1,750"
423,"April 17, 2020","$2,200"
424,"April 16, 2020","$2,098"
425,"April 15, 2020","$2,330"
426,"April 13, 2020","$1,800"
427,"April 11, 2020","$2,301"
428,"April 10, 2020","$1,980"
429,"April 10, 2020","$2,265"
430,"April 9, 2020","$1,634"
431,"April 9, 2020","$2,010"
432,"April 9, 2020","$1,550"
433,"April 8, 2020","$2,500"
434,"April 8, 2020","$2,150"
435,"April 6, 2020","$2,000"
436,"April 5, 2020","$2,170"
437,"March 29, 2020","$2,380"
438,"March 26, 2020","$1,690"
439,"March 24, 2020","$2,008"
440,"April 21, 2020","$1,875"
441,"April 21, 2020","$2,487"
442,"April 18, 2020","$1,750"
443,"April 17, 2020","$2,200"
444,"April 16, 2020","$2,098"
445,"April 15, 2020","$2,330"
446,"April 13, 2020","$1,800"
447,"April 11, 2020","$2,301"
448,"April 10, 2020","$1,980"
449,"April 10, 2020","$2,265"
450,"April 9, 2020","$1,634"
451,"April 9, 2020","$2,010"
452,"April 9, 2020","$1,550"
453,"April 8, 2020","$2,500"
454,"April 8, 2020","$2,150"
455,"April 6, 2020","$2,000"
456,"April 5, 2020","$2,170"
457,"March 29, 2020","$2,380"
458,"March 26, 2020","$1,690"
459,"March 24, 2020","$2,008"
460,"April 9, 2020","$1,634"
461,"April 9, 2020","$2,010"
462,"April 9, 2020","$1,550"
463,"April 8, 2020","$2,500"
464,"April 8, 2020","$2,150"
465,"April 6, 2020","$2,000"
466,"April 5, 2020","$2,170"
467,"March 29, 2020","$2,380"
468,"March 26, 2020","$1,690"
469,"March 24, 2020","$2,008"
470,"April 21, 2020","$1,875"
471,"April 21, 2020","$2,487"
472,"April 18, 2020","$1,750"
473,"April 17, 2020","$2,200"
474,"April 16, 2020","$2,098"
475,"April 15, 2020","$2,330"
476,"April 13, 2020","$1,800"
477,"April 11, 2020","$2,301"
478,"April 10, 2020","$1,980"
479,"April 10, 2020","$2,265"
480,"April 9, 2020","$1,634"
481,"April 9, 2020","$2,010"
482,"April 9, 2020","$1,550"
483,"April 8, 2020","$2,500"
484,"April 8, 2020","$2,150"
485,"April 6, 2020","$2,000"
486,"April 5, 2020","$2,170"
487,"March 29, 2020","$2,380"
488,"March 26, 2020","$1,690"
489,"March 24, 2020","$2,008"
490,"April 21, 2020","$1,875"
491,"April 21, 2020","$2,487"
492,"April 18, 2020","$1,750"
493,"April 17, 2020","$2,200"
494,"April 16, 2020","$2,098"
495,"April 15, 2020","$2,330"
496,"April 13, 2020","$1,800"
497,"April 11, 2020","$2,301"
498,"April 10, 2020","$1,980"
499,"April 10, 2020","$2,265"
500,"April 9, 2020","$1,634"
501,"April 9, 2020","$2,010"
502,"April 9, 2020","$1,550"
