date,value
2015-02-14,668752.3
2015-02-15,747890.7
2015-02-16,766536.4
2015-02-17,759204.2
2015-02-18,744869.0
2015-02-19,733962.5
2015-02-20,690114.2
2015-02-21,699163.8
2015-02-22,772883.6
2015-02-23,798430.6
2015-02-24,793515.4
2015-02-25,768953.5
2015-02-26,767857.6
2015-02-27,676785.1
2015-02-28,643510.9
2015-03-01,707183.8
2015-03-02,681503.6
2015-03-03,733294.5
2015-03-04,740492.5
2015-03-05,688121.5
2015-03-06,613486.3
2015-03-07,573135.3
2015-03-08,693898.9
2015-03-09,705228.8
2015-03-10,696746.4
2015-03-11,680001.9
2015-03-12,686482.8
2015-03-13,618509.6
2015-03-14,560674.1
2015-03-15,671237.5
2015-03-16,696018.1
2015-03-17,683072.7
2015-03-18,671167.6
2015-03-19,682010.5
2015-03-20,629607.7
2015-03-21,564876.7
2015-03-22,666087.1
2015-03-23,723272.9
2015-03-24,739732.7
2015-03-25,739988.0
2015-03-26,751339.7
2015-03-27,642434.2
2015-03-28,578376.4
2015-03-29,703997.4
2015-03-30,684257.0
2015-03-31,686514.3
2015-04-01,593281.8
2015-04-02,532976.2
2015-04-03,594019.3
2015-04-04,573390.4
2015-04-05,585694.4
2015-04-06,657753.5
2015-04-07,665044.7
2015-04-08,651392.5
2015-04-09,647208.2
2015-04-10,583846.4
2015-04-11,552531.2
2015-04-12,656445.0
2015-04-13,692119.9
2015-04-14,655343.6
2015-04-15,674413.1
2015-04-16,652222.4
2015-04-17,582684.2
2015-04-18,544164.9
2015-04-19,650355.0
2015-04-20,688571.9
2015-04-21,669779.2
2015-04-22,631926.0
2015-04-23,649809.3
2015-04-24,544885.1
2015-04-25,537269.1
2015-04-26,658670.1
2015-04-27,664730.3
2015-04-28,654753.9
2015-04-29,670199.1
2015-04-30,535135.1
2015-05-01,538269.9
2015-05-02,522006.3
2015-05-03,603652.0
2015-05-04,665077.1
2015-05-05,650046.2
2015-05-06,652761.1
2015-05-07,658968.6
2015-05-08,582889.3
2015-05-09,549302.8
2015-05-10,657588.6
2015-05-11,677061.3
2015-05-12,688629.7
2015-05-13,676602.2
2015-05-14,654742.0
2015-05-15,603875.7
2015-05-16,582956.0
2015-05-17,652485.0
2015-05-18,660408.7
2015-05-19,652895.2
2015-05-20,672107.2
2015-05-21,649847.5
2015-05-22,586765.2
2015-05-23,542660.7
2015-05-24,617888.3
2015-05-25,659318.3
2015-05-26,661880.5
2015-05-27,671802.3
2015-05-28,641008.5
2015-05-29,565095.8
2015-05-30,520310.3
2015-05-31,623573.8
2015-06-01,663120.9
2015-06-02,684300.7
2015-06-03,669019.7
2015-06-04,690155.5
2015-06-05,634302.7
2015-06-06,575336.0
2015-06-07,665625.5
2015-06-08,688068.1
2015-06-09,682909.9
2015-06-10,670124.9
2015-06-11,667669.0
2015-06-12,608869.8
2015-06-13,561568.5
2015-06-14,668966.4
2015-06-15,676504.7
2015-06-16,693168.5
2015-06-17,685546.7
2015-06-18,685349.0
2015-06-19,626919.9
2015-06-20,564611.9
2015-06-21,666924.1
2015-06-22,691056.7
2015-06-23,662985.0
2015-06-24,698871.0
2015-06-25,709663.7
2015-06-26,650308.1
2015-06-27,596489.9
2015-06-28,709363.2
2015-06-29,733525.4
2015-06-30,751363.0
2015-07-01,755924.9
2015-07-02,755975.6
2015-07-03,669517.7
2015-07-04,614496.5
2015-07-05,750472.1
2015-07-06,756531.1
2015-07-07,770991.7
2015-07-08,791827.8
2015-07-09,766280.5
2015-07-10,680495.5
2015-07-11,635988.6
2015-07-12,769467.1
2015-07-13,786336.4
2015-07-14,787509.0
2015-07-15,793867.5
2015-07-16,770610.7
2015-07-17,676770.8
2015-07-18,627260.0
2015-07-19,765898.5
2015-07-20,772812.4
2015-07-21,790597.7
2015-07-22,771271.8
2015-07-23,758025.7
2015-07-24,685079.6
2015-07-25,630921.2
2015-07-26,733647.4
2015-07-27,730821.7
2015-07-28,736037.1
2015-07-29,773256.7
2015-07-30,747295.2
2015-07-31,658861.2
2015-08-01,617316.6
2015-08-02,699370.3
2015-08-03,714694.4
2015-08-04,713860.8
2015-08-05,708110.6
2015-08-06,696062.1
2015-08-07,625426.6
2015-08-08,599555.3
2015-08-09,671914.5
2015-08-10,686410.8
2015-08-11,692725.4
2015-08-12,702086.0
2015-08-13,656336.0
2015-08-14,575907.6
2015-08-15,550979.3
2015-08-16,657138.1
2015-08-17,674906.0
2015-08-18,683788.4
2015-08-19,682399.4
2015-08-20,686394.0
2015-08-21,623208.1
2015-08-22,595299.8
2015-08-23,669840.5
2015-08-24,692498.3
2015-08-25,712031.9
2015-08-26,710671.6
2015-08-27,711247.2
2015-08-28,638392.5
2015-08-29,605823.0
2015-08-30,716793.1
2015-08-31,720828.5
2015-09-01,716282.1
2015-09-02,720801.1
2015-09-03,704892.3
2015-09-04,642719.5
2015-09-05,578320.4
2015-09-06,680037.9
2015-09-07,689188.7
2015-09-08,698454.5
2015-09-09,688896.0
2015-09-10,663486.1
2015-09-11,586928.8
2015-09-12,573770.3
2015-09-13,675908.2
2015-09-14,672028.3
2015-09-15,689933.3
2015-09-16,685049.6
2015-09-17,658074.1
2015-09-18,598111.3
2015-09-19,556376.5
2015-09-20,646319.6
2015-09-21,676995.5
2015-09-22,687877.6
2015-09-23,671311.2
2015-09-24,653908.4
2015-09-25,571646.1
2015-09-26,524329.7
2015-09-27,638906.6
2015-09-28,652577.9
2015-09-29,646017.5
2015-09-30,662224.3
2015-10-01,639066.2
2015-10-02,564859.1
2015-10-03,514728.7
2015-10-04,627674.1
2015-10-05,661439.6
2015-10-06,649594.6
2015-10-07,646834.7
2015-10-08,614536.8
2015-10-09,506382.1
2015-10-10,457837.6
2015-10-11,533711.1
2015-10-12,618087.5
2015-10-13,666722.8
2015-10-14,666846.4
2015-10-15,640155.0
2015-10-16,516392.7
2015-10-17,463329.3
2015-10-18,619881.0
2015-10-19,651764.4
2015-10-20,672773.2
2015-10-21,651308.4
2015-10-22,630432.1
2015-10-23,555590.6
2015-10-24,529381.0
2015-10-25,619465.4
2015-10-26,646480.3
2015-10-27,692835.4
2015-10-28,653068.9
2015-10-29,623760.1
2015-10-30,572257.8
2015-10-31,545659.9
2015-11-01,634843.7
2015-11-02,660727.5
2015-11-03,632818.6
2015-11-04,646927.3
2015-11-05,636633.4
2015-11-06,564620.1
2015-11-07,516280.1
2015-11-08,620328.5
2015-11-09,644402.7
2015-11-10,639857.7
2015-11-11,641489.1
2015-11-12,637479.1
2015-11-13,558274.9
2015-11-14,511156.5
2015-11-15,623007.1
2015-11-16,655987.1
2015-11-17,651465.8
2015-11-18,653778.5
2015-11-19,664397.7
2015-11-20,689732.0
2015-11-21,563591.1
2015-11-22,691003.4
2015-11-23,726857.9
2015-11-24,755846.9
2015-11-25,768110.6
2015-11-26,715490.1
2015-11-27,617604.5
2015-11-28,544912.3
2015-11-29,652367.5
2015-11-30,681630.7
2015-12-01,705135.8
2015-12-02,715400.1
2015-12-03,700899.4
2015-12-04,644089.7
2015-12-05,576980.8
2015-12-06,626213.9
2015-12-07,581506.2
2015-12-08,693639.7
2015-12-09,706656.1
2015-12-10,707279.7
2015-12-11,613734.0
2015-12-12,551452.2
2015-12-13,697795.7
2015-12-14,698693.1
2015-12-15,702063.2
2015-12-16,685888.8
2015-12-17,685772.0
2015-12-18,599901.9
2015-12-19,588710.8
2015-12-20,676398.3
2015-12-21,682859.5
2015-12-22,646312.3
2015-12-23,580837.5
2015-12-24,483142.4
2015-12-25,531015.7
2015-12-26,554799.5
2015-12-27,639066.5
2015-12-28,613120.8
2015-12-29,604071.7
2015-12-30,558936.1
2015-12-31,529570.7
2016-01-01,589562.5
2016-01-02,613893.7
2016-01-03,642263.4
2016-01-04,689559.8
2016-01-05,691250.3
2016-01-06,696543.2
2016-01-07,664262.6
2016-01-08,662128.6
2016-01-09,671160.8
2016-01-10,736498.0
2016-01-11,715363.0
2016-01-12,680245.4
2016-01-13,734363.8
2016-01-14,718012.3
2016-01-15,673000.4
2016-01-16,595506.7
2016-01-17,762855.9
2016-01-18,744356.7
2016-01-19,742322.7
2016-01-20,768971.6
2016-01-21,699594.4
2016-01-22,586095.2
2016-01-23,546786.6
2016-01-24,664650.8
2016-01-25,689301.8
2016-01-26,687843.0
2016-01-27,656522.8
2016-01-28,650741.2
2016-01-29,610841.5
2016-01-30,587193.2
2016-01-31,683580.0
2016-02-01,663947.7
2016-02-02,646203.4
2016-02-03,656759.0
2016-02-04,668727.5
2016-02-05,595722.2
2016-02-06,627351.6
2016-02-07,672728.5
2016-02-08,720734.6
2016-02-09,715482.4
2016-02-10,678862.7
2016-02-11,758441.9
2016-02-12,697132.7
2016-02-13,658734.8
2016-02-14,757056.2
2016-02-15,740948.3
2016-02-16,719025.2
2016-02-17,708074.1
2016-02-18,670465.3
2016-02-19,575286.2
2016-02-20,578512.0
2016-02-21,637509.0
2016-02-22,693434.7
2016-02-23,669372.3
2016-02-24,732063.0
2016-02-25,713729.1
2016-02-26,734413.4
2016-02-27,684097.0
2016-02-28,783916.2
2016-02-29,731326.9
2016-03-01,751161.0
2016-03-02,738523.6
2016-03-03,745362.8
2016-03-04,708104.9
2016-03-05,656113.0
2016-03-06,716709.5
2016-03-07,719865.3
2016-03-08,742819.3
2016-03-09,761836.0
2016-03-10,707092.6
2016-03-11,628514.1
2016-03-12,608679.3
2016-03-13,658264.5
2016-03-14,666779.1
2016-03-15,713807.9
2016-03-16,679038.6
2016-03-17,659877.0
2016-03-18,601149.4
2016-03-19,549743.9
2016-03-20,654035.7
2016-03-21,675665.0
2016-03-22,719480.8
2016-03-23,632451.7
2016-03-24,579178.5
2016-03-25,597163.7
2016-03-26,562896.4
2016-03-27,620551.6
2016-03-28,619116.7
2016-03-29,642937.3
2016-03-30,726882.5
2016-03-31,685935.3
2016-04-01,613589.5
2016-04-02,667280.6
2016-04-03,650568.7
2016-04-04,737299.5
2016-04-05,697341.8
2016-04-06,722517.7
2016-04-07,730726.2
2016-04-08,645916.5
2016-04-09,658768.5
2016-04-10,714012.4
2016-04-11,706495.9
2016-04-12,720858.4
2016-04-13,683611.7
2016-04-14,642700.9
2016-04-15,640785.5
2016-04-16,579585.7
2016-04-17,658426.2
2016-04-18,700541.9
2016-04-19,626094.1
2016-04-20,625223.0
2016-04-21,595181.2
2016-04-22,603641.6
2016-04-23,678815.8
2016-04-24,660164.1
2016-04-25,631061.6
2016-04-26,648559.2
2016-04-27,678521.5
2016-04-28,603655.2
2016-04-29,604593.7
2016-04-30,631204.7
2016-05-01,611125.0
2016-05-02,650953.8
2016-05-03,591686.0
2016-05-04,596695.4
2016-05-05,595085.2
2016-05-06,542620.4
2016-05-07,565958.8
2016-05-08,614270.6
2016-05-09,599265.9
2016-05-10,609066.1
2016-05-11,647391.3
2016-05-12,669443.6
2016-05-13,626597.2
2016-05-14,578845.9
2016-05-15,593645.4
2016-05-16,562008.7
2016-05-17,594034.9
2016-05-18,628970.5
2016-05-19,579305.6
2016-05-20,626628.7
2016-05-21,601703.1
2016-05-22,585020.7
2016-05-23,609586.9
2016-05-24,572074.2
2016-05-25,560261.0
2016-05-26,566677.0
2016-05-27,579090.9
2016-05-28,598992.5
2016-05-29,566124.3
2016-05-30,581175.8
2016-05-31,611012.6
2016-06-01,594991.9
2016-06-02,586910.0
2016-06-03,503423.1
2016-06-04,463110.4
2016-06-05,606462.0
2016-06-06,644894.5
2016-06-07,638906.7
2016-06-08,633771.3
2016-06-09,621292.1
2016-06-10,557287.5
2016-06-11,543462.6
2016-06-12,665096.2
2016-06-13,661957.8
2016-06-14,668328.5
2016-06-15,647862.4
2016-06-16,612077.0
2016-06-17,547572.6
2016-06-18,537951.8
2016-06-19,611351.2
2016-06-20,645264.9
2016-06-21,654140.6
2016-06-22,653445.9
2016-06-23,600133.7
2016-06-24,599935.5
2016-06-25,614299.3
2016-06-26,663604.5
2016-06-27,669467.0
2016-06-28,663980.9
2016-06-29,665674.6
2016-06-30,670554.3
2016-07-01,596872.1
2016-07-02,593309.4
2016-07-03,691174.6
2016-07-04,702316.3
2016-07-05,693735.2
2016-07-06,680936.1
2016-07-07,668718.1
2016-07-08,608689.1
2016-07-09,550441.0
2016-07-10,686385.5
2016-07-11,696676.8
2016-07-12,715123.3
2016-07-13,712046.8
2016-07-14,676672.4
2016-07-15,595357.5
2016-07-16,546784.5
2016-07-17,700741.4
2016-07-18,744298.9
2016-07-19,717536.6
2016-07-20,708218.9
2016-07-21,683908.6
2016-07-22,607747.7
2016-07-23,584398.0
2016-07-24,668014.5
2016-07-25,712141.2
2016-07-26,710084.1
2016-07-27,721400.7
2016-07-28,717839.9
2016-07-29,623620.2
2016-07-30,564854.2
2016-07-31,665105.6
2016-08-01,678300.3
2016-08-02,675743.1
2016-08-03,691472.3
2016-08-04,692322.1
2016-08-05,610138.5
2016-08-06,579106.8
2016-08-07,650865.8
2016-08-08,667560.3
2016-08-09,696840.0
2016-08-10,665196.5
2016-08-11,627243.1
2016-08-12,575962.2
2016-08-13,520191.1
2016-08-14,521927.8
2016-08-15,615266.0
2016-08-16,643865.1
2016-08-17,645581.6
2016-08-18,657136.2
2016-08-19,571496.0
2016-08-20,551322.3
2016-08-21,633431.1
2016-08-22,674698.1
2016-08-23,675017.5
2016-08-24,670198.9
2016-08-25,671989.6
2016-08-26,605531.0
2016-08-27,539446.7
2016-08-28,685864.8
2016-08-29,685962.7
2016-08-30,687437.8
2016-08-31,684848.0
2016-09-01,681208.1
2016-09-02,610081.4
2016-09-03,587640.2
2016-09-04,689259.4
2016-09-05,707934.3
2016-09-06,721683.2
2016-09-07,691682.2
2016-09-08,676015.8
2016-09-09,596767.7
2016-09-10,557674.4
2016-09-11,686601.1
2016-09-12,694244.7
2016-09-13,702939.3
2016-09-14,669676.6
2016-09-15,653860.5
2016-09-16,571041.0
2016-09-17,535131.4
2016-09-18,636711.0
2016-09-19,652850.3
2016-09-20,642650.5
2016-09-21,632426.2
2016-09-22,633648.2
2016-09-23,560740.9
2016-09-24,506648.5
2016-09-25,599097.1
2016-09-26,641505.4
2016-09-27,676472.6
2016-09-28,640962.9
2016-09-29,639736.3
2016-09-30,556523.5
2016-10-01,501041.3
2016-10-02,635482.6
2016-10-03,658303.3
2016-10-04,655669.9
2016-10-05,679635.7
2016-10-06,677632.1
2016-10-07,572673.6
2016-10-08,554019.9
2016-10-09,694940.5
2016-10-10,709989.7
2016-10-11,631378.2
2016-10-12,682105.7
2016-10-13,699758.4
2016-10-14,584561.4
2016-10-15,535034.1
2016-10-16,642413.3
2016-10-17,686123.4
2016-10-18,690487.5
2016-10-19,707816.6
2016-10-20,691626.2
2016-10-21,591050.8
2016-10-22,612020.0
2016-10-23,664185.5
2016-10-24,665931.1
2016-10-25,671051.8
2016-10-26,680639.9
2016-10-27,645172.7
2016-10-28,550476.0
2016-10-29,528017.7
2016-10-30,562343.6
2016-10-31,528215.6
2016-11-01,648723.1
2016-11-02,658332.6
2016-11-03,680997.5
2016-11-04,604471.4
2016-11-05,569082.2
2016-11-06,688586.7
2016-11-07,745218.5
2016-11-08,745562.9
2016-11-09,715672.6
2016-11-10,690033.2
2016-11-11,603718.5
2016-11-12,569718.5
2016-11-13,729290.9
2016-11-14,735640.9
2016-11-15,707408.0
2016-11-16,684191.5
2016-11-17,692849.5
2016-11-18,590671.2
2016-11-19,578088.6
2016-11-20,679496.4
2016-11-21,649197.9
2016-11-22,687122.9
2016-11-23,668457.4
2016-11-24,621312.8
2016-11-25,573138.4
2016-11-26,537358.8
2016-11-27,643136.7
2016-11-28,707379.7
2016-11-29,736810.2
2016-11-30,745172.5
2016-12-01,743238.5
2016-12-02,599770.4
2016-12-03,562192.7
2016-12-04,667581.6
2016-12-05,609856.7
2016-12-06,632973.0
2016-12-07,567808.6
2016-12-08,609423.1
2016-12-09,566417.3
2016-12-10,549904.2
2016-12-11,722757.7
2016-12-12,745709.0
2016-12-13,765569.4
2016-12-14,755710.8
2016-12-15,720388.5
2016-12-16,598902.2
2016-12-17,576870.5
2016-12-18,751182.6
2016-12-19,786109.5
2016-12-20,760687.5
2016-12-21,713189.8
2016-12-22,677236.3
2016-12-23,564021.4
2016-12-24,516628.2
2016-12-25,576252.1
2016-12-26,623138.8
2016-12-27,617355.0
2016-12-28,610072.9
2016-12-29,610346.0
2016-12-30,553306.3
2016-12-31,522901.9
2017-01-01,634171.0
2017-01-02,704804.2
2017-01-03,738091.5
2017-01-04,733931.7
2017-01-05,671017.9
2017-01-06,633545.7
2017-01-07,629922.8
2017-01-08,739391.3
2017-01-09,801115.9
2017-01-10,803454.1
2017-01-11,756255.5
2017-01-12,829652.0
2017-01-13,739651.1
2017-01-14,740963.2
2017-01-15,840323.6
2017-01-16,875595.1
2017-01-17,851623.6
2017-01-18,831729.3
2017-01-19,814082.8
2017-01-20,675759.6
2017-01-21,687874.2
2017-01-22,817710.3
2017-01-23,856891.2
2017-01-24,858133.5
2017-01-25,832203.3
2017-01-26,802322.2
2017-01-27,702135.2
2017-01-28,620079.3
2017-01-29,709902.5
2017-01-30,760473.3
2017-01-31,715654.1
2017-02-01,740439.6
2017-02-02,732462.1
2017-02-03,703715.6
2017-02-04,713500.6
2017-02-05,789744.7
2017-02-06,753506.8
2017-02-07,813572.9
2017-02-08,751620.5
2017-02-09,762350.3
2017-02-10,675347.2
2017-02-11,661713.9
2017-02-12,715817.0
2017-02-13,665136.8
2017-02-14,663709.4
2017-02-15,670559.3
2017-02-16,655764.2
2017-02-17,584978.6
2017-02-18,588426.7
2017-02-19,692476.8
2017-02-20,688725.0
2017-02-21,649025.5
2017-02-22,628717.4
2017-02-23,684249.0
2017-02-24,583422.3
2017-02-25,551052.6
2017-02-26,648162.4
2017-02-27,716367.6
2017-02-28,661512.9
2017-03-01,653557.4
2017-03-02,660520.1
2017-03-03,657512.4
2017-03-04,611949.8
2017-03-05,684356.2
2017-03-06,663967.2
2017-03-07,625258.7
2017-03-08,616483.8
2017-03-09,587198.2
2017-03-10,519314.1
