,time,type,rate,votes
118,96 min,movie,6.5,"147,640"
119,60 min,movie,N/A,N/A
120,,,,
121,,,,
122,,,,
123,98 min,movie,6.1,"3,819"
124,,,,
125,99 min,movie,6.4,"16,220"
126,,,,
127,104 min,movie,5.4,"3,114"
128,96 min,movie,7.5,"3,193"
129,94 min,movie,2.8,"1,520"
130,88 min,movie,5.4,145
131,,,,
132,,,,
133,,,,
134,90 min,movie,4.7,112
135,,,,
136,108 min,movie,7.2,"2,235"
137,93 min,movie,3.2,301
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,129 min,movie,7.8,"330,089"
144,,,,
145,108 min,movie,6.9,"3,275"
146,,,,
147,,,,
148,119 min,movie,6.7,"82,857"
149,,,,
150,97 min,movie,5.2,696
151,81 min,movie,3.5,282
152,97 min,movie,7.7,"30,926"
153,,,,
154,,,,
155,92 min,movie,6.1,"2,531"
156,108 min,movie,7.5,"26,134"
157,,,,
158,110 min,movie,5.0,695
159,88 min,movie,8.5,"9,944"
160,232 min,series,7.4,"2,763"
161,110 min,movie,7.9,"17,730"
162,,,,
163,,,,
164,101 min,movie,5.5,"1,348"
165,82 min,movie,7.7,"3,592"
166,134 min,movie,6.6,"19,268"
167,97 min,movie,7.9,"55,075"
168,85 min,movie,3.5,"7,765"
169,,,,
170,103 min,movie,7.5,"1,033"
171,103 min,movie,7.0,"25,242"
172,120 min,movie,5.7,15
173,130 min,movie,6.8,"4,719"
174,,,,
175,99 min,movie,8.3,"878,211"
176,,,,
177,90 min,movie,5.9,913
178,102 min,movie,6.8,"1,367"
179,,,,
180,5 min,movie,N/A,N/A
181,93 min,movie,5.6,"4,042"
182,166 min,movie,8.1,240
183,,,,
184,,,,
185,,,,
186,96 min,movie,7.3,"6,675"
187,109 min,movie,6.4,"37,944"
188,27 min,movie,6.5,21
189,85 min,movie,6.2,"46,946"
190,113 min,movie,4.7,916
191,134 min,movie,7.4,"498,172"
192,,,,
193,86 min,movie,6.2,9
194,,,,
195,120 min,movie,6.7,362
196,,,,
197,103 min,movie,6.2,"77,511"
198,173 min,movie,7.4,"4,076"
199,183 min,movie,8.1,"296,382"
200,188 min,movie,6.7,"7,768"
201,66 min,movie,7.1,697
202,95 min,movie,5.7,276
203,,,,
204,102 min,movie,4.9,398
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,112 min,movie,6.3,"1,215"
211,,,,
212,108 min,movie,6.8,"5,357"
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,91 min,movie,6.2,718
220,,,,
221,,,,
222,13 min,movie,6.5,33
223,,,,
224,,,,
225,97 min,movie,3.7,"2,661"
226,,,,
227,,,,
228,115 min,movie,5.7,"1,187"
229,133 min,movie,8.7,343
230,,,,
231,108 min,movie,7.4,"1,182"
232,109 min,movie,6.2,"3,424"
233,,,,
234,,,,
235,103 min,movie,6.5,"1,990"
236,,,,
237,,,,
238,,,,
239,,,,
240,114 min,movie,7.2,"8,611"
241,136 min,movie,8.3,"284,137"
242,,,,
243,91 min,movie,7.1,"1,156"
244,,,,
245,91 min,movie,5.7,235
246,116 min,movie,7.1,"7,802"
247,89 min,movie,6.7,"2,823"
248,,,,
249,108 min,movie,6.5,"1,216"
250,146 min,movie,6.3,"2,634"
251,,,,
252,77 min,movie,5.4,"47,854"
253,96 min,movie,7.9,"29,530"
254,105 min,movie,4.6,282
255,,,,
256,,,,
257,94 min,movie,6.9,"16,136"
258,160 min,movie,6.2,"4,554"
259,90 min,movie,6.4,8
260,116 min,movie,7.6,"2,107"
261,95 min,movie,7.7,"7,235"
262,88 min,movie,5.7,"7,035"
263,,,,
264,,,,
265,,,,
266,92 min,movie,6.6,38
267,,,,
268,103 min,movie,6.7,"20,293"
269,124 min,movie,7.0,"42,884"
270,,,,
271,,,,
272,,,,
273,97 min,movie,4.5,"39,019"
274,113 min,movie,5.9,942
275,94 min,movie,7.0,"6,165"
276,,,,
277,,,,
278,,,,
279,,,,
280,75 min,movie,7.9,85
281,100 min,movie,7.2,"7,137"
282,,,,
283,97 min,movie,7.0,"3,850"
284,88 min,movie,3.4,427
285,111 min,movie,6.2,"56,342"
286,93 min,movie,6.5,"1,931"
287,,,,
288,,,,
289,89 min,movie,3.8,"39,906"
290,,,,
291,,,,
292,92 min,movie,7.5,97
293,100 min,movie,7.9,136
294,133 min,movie,7.9,"7,612"
295,90 min,movie,6.4,"195,499"
296,85 min,movie,6.0,550
297,85 min,movie,6.1,"4,554"
298,,,,
299,97 min,movie,6.7,"216,856"
300,,,,
301,93 min,movie,5.8,365
302,,,,
303,106 min,movie,6.9,"1,123"
304,,,,
305,113 min,movie,5.8,"54,474"
306,,,,
307,75 min,movie,6.2,12
308,,,,
309,144 min,movie,7.1,"4,823"
310,,,,
311,127 min,movie,7.8,"160,637"
312,113 min,movie,7.5,"163,542"
313,123 min,movie,7.2,"109,812"
314,,,,
315,,,,
316,,,,
317,114 min,movie,7.1,506
318,98 min,movie,6.0,89
319,86 min,movie,5.8,"2,096"
320,94 min,movie,5.7,282
321,76 min,movie,5.3,396
322,78 min,movie,4.7,"3,742"
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,130 min,movie,7.3,"203,453"
330,108 min,movie,6.5,"103,976"
331,113 min,movie,7.2,"129,304"
332,,,,
333,,,,
334,95 min,movie,5.6,"84,551"
335,99 min,movie,4.5,"1,063"
336,91 min,movie,7.2,"13,202"
337,103 min,movie,6.7,"5,520"
338,,,,
339,,,,
340,,,,
341,101 min,movie,5.3,"11,123"
342,25 min,series,7.2,"1,790"
343,,,,
344,122 min,movie,7.2,"7,014"
345,,,,
346,,,,
347,114 min,movie,6.6,669
348,164 min,movie,7.6,"49,143"
349,116 min,movie,4.5,"6,457"
350,60 min,series,6.7,"9,535"
351,105 min,movie,5.7,"2,239"
352,,,,
353,103 min,movie,5.8,"22,541"
354,,,,
355,,,,
356,N/A,movie,6.7,6
357,126 min,movie,7.5,"63,402"
358,122 min,movie,6.8,"4,335"
359,,,,
360,112 min,movie,5.6,"1,274"
361,,,,
362,90 min,movie,3.6,"20,546"
363,101 min,movie,6.4,"4,678"
364,,,,
365,,,,
366,110 min,movie,7.3,311
367,,,,
368,,,,
369,97 min,movie,5.9,766
370,,,,
371,112 min,movie,7.4,"4,141"
372,175 min,movie,6.4,"2,901"
373,,,,
374,91 min,movie,7.1,"11,926"
375,,,,
376,,,,
377,,,,
378,98 min,movie,6.3,"14,588"
379,90 min,movie,4.3,763
380,85 min,movie,5.6,"3,106"
381,91 min,movie,6.1,"20,520"
382,90 min,movie,5.1,56
383,94 min,movie,5.7,209
384,99 min,movie,7.1,"13,561"
385,104 min,movie,5.6,"47,866"
386,97 min,movie,6.0,"2,331"
387,,,,
388,84 min,movie,4.3,363
389,83 min,movie,5.5,"5,649"
390,95 min,movie,5.7,"1,783"
391,,,,
392,,,,
393,87 min,movie,6.2,"26,184"
394,N/A,movie,N/A,N/A
395,119 min,movie,7.7,"12,210"
396,,,,
397,85 min,movie,7.0,"5,680"
398,109 min,movie,6.6,"17,167"
399,N/A,movie,5.4,42
400,114 min,movie,6.8,"9,904"
401,96 min,movie,5.2,"32,866"
402,147 min,movie,6.0,"2,839"
403,,,,
404,111 min,movie,4.5,"3,941"
405,128 min,movie,8.0,"60,903"
406,113 min,movie,6.6,"104,690"
407,90 min,movie,5.0,369
408,102 min,movie,6.6,"18,634"
409,,,,
410,146 min,movie,7.8,597
411,117 min,movie,6.1,949
412,,,,
413,98 min,movie,6.9,"31,449"
414,127 min,movie,7.3,"156,317"
415,90 min,movie,2.5,357
416,81 min,movie,7.2,"83,195"
417,,,,
418,10 min,movie,4.7,6
419,,,,
420,,,,
421,,,,
422,128 min,movie,6.8,"3,243"
423,,,,
424,134 min,movie,7.7,"64,414"
425,417 min,series,8.3,"17,071"
426,82 min,movie,6.6,"9,032"
427,89 min,movie,4.9,"9,352"
428,,,,
429,98 min,movie,5.3,"2,766"
430,30 min,series,7.4,"3,983"
431,,,,
432,,,,
433,102 min,movie,6.8,"12,280"
434,,,,
435,117 min,movie,6.7,"1,493"
436,90 min,movie,6.0,"9,370"
437,,,,
438,,,,
439,105 min,movie,7.2,"1,530"
440,,,,
441,,,,
442,128 min,movie,7.8,"82,884"
443,94 min,movie,7.4,"26,640"
444,97 min,movie,7.6,110
445,133 min,movie,7.2,"28,503"
446,99 min,movie,6.1,"3,029"
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,105 min,movie,7.2,"3,802"
454,,,,
455,80 min,movie,7.4,"1,336"
456,,,,
457,137 min,movie,8.0,"650,899"
458,N/A,movie,N/A,N/A
459,107 min,movie,6.9,"18,783"
460,65 min,movie,6.7,"1,020"
461,,,,
462,,,,
463,,,,
464,,,,
465,143 min,movie,6.2,"2,227"
466,,,,
467,88 min,movie,6.9,"2,471"
468,129 min,movie,6.8,"432,603"
469,,,,
470,96 min,movie,3.2,"1,095"
471,87 min,movie,8.5,"157,742"
472,,,,
473,134 min,movie,8.4,"319,539"
474,169 min,movie,8.1,"55,231"
475,87 min,movie,5.1,"7,388"
476,,,,
477,,,,
478,25 min,series,7.1,"7,299"
479,61 min,movie,8.2,"1,771"
480,,,,
481,58 min,movie,7.2,148
482,123 min,movie,7.4,"77,825"
483,90 min,movie,6.6,"193,437"
484,,,,
485,,,,
486,129 min,movie,7.0,"14,743"
487,,,,
488,106 min,movie,7.4,"8,075"
489,111 min,movie,6.9,"13,310"
490,104 min,movie,5.9,"1,420"
491,128 min,movie,6.7,"23,432"
492,110 min,movie,6.3,"2,736"
493,,,,
494,,,,
495,154 min,movie,6.8,"5,837"
496,155 min,movie,8.5,15
497,,,,
498,,,,
499,110 min,movie,6.5,"21,451"
500,,,,
501,117 min,movie,7.4,"44,883"
502,N/A,movie,8.6,37
503,,,,
504,,,,
505,105 min,movie,6.1,"4,943"
506,,,,
507,128 min,movie,6.9,"7,113"
508,112 min,movie,7.0,"1,338"
509,,,,
510,,,,
511,97 min,movie,5.2,"8,383"
512,,,,
513,88 min,movie,6.3,"1,824"
514,88 min,movie,8.0,169
515,83 min,movie,2.1,57
516,114 min,movie,7.3,"22,662"
517,90 min,movie,6.2,"6,002"
518,116 min,movie,7.6,"8,097"
519,84 min,movie,7.7,387
520,,,,
521,,,,
522,101 min,movie,6.2,166
523,100 min,movie,6.6,930
524,112 min,movie,6.8,"8,660"
525,96 min,movie,4.4,381
526,107 min,movie,5.4,"1,991"
527,72 min,movie,4.1,"1,846"
528,109 min,movie,6.8,"182,275"
529,101 min,movie,6.3,475
530,95 min,movie,4.3,"2,708"
531,,,,
532,91 min,movie,5.2,"8,195"
533,103 min,movie,5.9,"25,852"
534,117 min,movie,7.1,"9,271"
535,162 min,movie,6.9,"13,797"
536,,,,
537,180 min,movie,7.2,109
538,N/A,movie,5.2,233
539,,,,
540,,,,
541,,,,
542,98 min,movie,5.5,"2,221"
543,,,,
544,,,,
545,,,,
546,72 min,movie,5.5,75
547,102 min,movie,5.9,"9,393"
548,100 min,movie,5.8,"50,021"
549,87 min,movie,6.0,927
550,134 min,movie,6.0,"65,313"
551,97 min,movie,6.5,"90,967"
552,108 min,movie,6.3,"3,226"
553,142 min,movie,7.5,"8,539"
554,167 min,movie,8.1,"74,798"
555,,,,
556,97 min,movie,7.0,"1,640"
557,112 min,movie,6.0,"1,421"
558,90 min,movie,3.8,"4,698"
559,,,,
560,,,,
561,143 min,movie,8.5,"27,508"
562,94 min,movie,4.4,"1,068"
563,82 min,movie,6.0,"29,332"
564,108 min,movie,6.3,"140,253"
565,,,,
566,96 min,movie,6.5,"7,583"
567,89 min,movie,6.8,157
568,,,,
569,103 min,movie,7.3,"7,201"
570,107 min,movie,6.6,194
571,122 min,movie,8.3,"1,032,166"
572,,,,
573,108 min,movie,6.7,"4,078"
574,117 min,movie,7.1,"1,728"
575,,,,
576,,,,
577,,,,
578,81 min,movie,5.0,"6,528"
579,,,,
580,,,,
581,,,,
582,97 min,movie,6.4,"1,449"
583,107 min,movie,7.2,758
584,90 min,movie,7.9,37
585,128 min,movie,7.3,"3,559"
586,108 min,movie,7.1,"4,949"
587,143 min,movie,7.6,"2,446"
588,,,,
589,,,,
590,N/A,movie,N/A,N/A
591,101 min,movie,6.9,553
592,102 min,movie,5.9,"1,271"
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,113 min,movie,6.8,"36,166"
600,80 min,movie,5.9,"8,830"
601,50 min,movie,7.9,196
602,118 min,movie,5.9,"2,243"
603,,,,
604,,,,
605,,,,
606,,,,
607,116 min,movie,7.2,"314,911"
608,90 min,movie,6.0,924
609,,,,
610,,,,
611,,,,
612,106 min,movie,6.6,"2,290"
613,,,,
614,114 min,movie,7.4,"11,850"
615,97 min,movie,6.8,"14,797"
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,117 min,movie,4.7,249
622,89 min,movie,5.1,"6,975"
623,,,,
624,,,,
625,88 min,movie,2.2,"2,398"
626,140 min,movie,7.2,"5,467"
627,103 min,movie,6.9,"1,793"
628,N/A,movie,6.4,90
629,114 min,movie,6.1,"28,106"
630,89 min,movie,4.3,"4,035"
631,103 min,movie,7.0,"96,220"
632,104 min,movie,6.0,"2,500"
633,175 min,movie,7.7,"24,566"
634,,,,
635,,,,
636,111 min,movie,6.8,"23,915"
637,,,,
638,109 min,movie,6.9,"12,396"
639,140 min,movie,5.3,286
640,182 min,movie,7.4,"2,107"
641,103 min,movie,7.0,"5,931"
642,,,,
643,88 min,movie,5.9,"6,512"
644,90 min,movie,6.8,381
645,105 min,movie,7.7,"20,641"
646,135 min,movie,7.9,"6,984"
647,91 min,movie,6.0,"2,832"
648,159 min,movie,7.6,22
649,,,,
650,,,,
651,,,,
652,98 min,movie,6.7,"24,389"
653,170 min,movie,5.4,197
654,,,,
655,,,,
656,,,,
657,,,,
658,143 min,movie,6.9,"171,825"
659,84 min,movie,6.0,"30,956"
660,93 min,movie,6.9,"17,094"
661,,,,
662,139 min,movie,6.9,"39,446"
663,,,,
664,82 min,movie,5.1,"1,832"
665,89 min,movie,5.3,"1,812"
666,176 min,movie,7.8,295
667,,,,
668,,,,
669,N/A,movie,5.0,8
670,92 min,movie,7.2,"17,910"
671,,,,
672,115 min,movie,5.6,"5,836"
673,,,,
674,97 min,movie,6.5,"39,586"
675,,,,
676,87 min,movie,5.6,"14,201"
677,,,,
678,88 min,movie,7.6,"6,876"
679,32 min,movie,7.1,26
680,95 min,movie,6.3,"2,082"
681,83 min,movie,5.4,"40,882"
682,100 min,movie,7.3,"12,004"
683,,,,
684,98 min,movie,5.1,388
685,93 min,movie,7.4,"5,142"
686,93 min,movie,6.0,"93,523"
687,,,,
688,240 min,movie,N/A,N/A
689,127 min,movie,7.0,"10,880"
690,33 min,movie,6.7,31
691,99 min,movie,6.2,"1,228"
692,110 min,movie,6.6,"35,842"
693,95 min,movie,5.6,"23,326"
694,,,,
695,88 min,movie,6.1,"1,643"
696,101 min,movie,6.4,"51,694"
697,,,,
698,180 min,movie,5.9,862
699,,,,
700,30 min,series,8.1,"7,189"
701,85 min,movie,2.3,"3,217"
702,,,,
703,N/A,series,7.6,167
704,102 min,movie,6.2,225
705,107 min,movie,7.2,"59,141"
706,104 min,movie,6.0,"8,117"
707,110 min,movie,8.0,"39,649"
708,130 min,movie,6.4,"151,545"
709,360 min,series,7.4,62
710,,,,
711,,,,
712,,,,
713,,,,
714,93 min,movie,5.3,125
715,,,,
716,98 min,movie,7.0,"4,443"
717,92 min,movie,4.6,441
718,103 min,movie,6.4,"4,974"
719,97 min,movie,6.1,"5,509"
720,91 min,movie,7.4,"25,162"
721,103 min,movie,5.6,"1,914"
722,,,,
723,101 min,movie,5.9,"19,548"
724,24 min,series,8.4,"10,571"
725,94 min,movie,6.6,873
726,82 min,movie,4.2,633
727,,,,
728,,,,
729,12 min,movie,7.0,47
730,,,,
731,87 min,movie,4.0,"13,831"
732,,,,
733,116 min,movie,7.3,"38,326"
734,159 min,movie,7.1,"8,915"
735,,,,
736,24 min,movie,6.9,8
737,,,,
738,109 min,movie,6.2,"1,004"
739,94 min,movie,5.7,389
740,,,,
741,,,,
742,,,,
743,101 min,movie,6.7,"1,495"
744,,,,
745,,,,
746,89 min,movie,5.6,"23,849"
747,30 min,series,7.5,271
748,141 min,movie,4.5,"1,083"
749,81 min,movie,5.4,"8,627"
750,92 min,movie,6.3,"17,797"
751,,,,
752,,,,
753,,,,
754,90 min,movie,6.3,"6,340"
755,124 min,movie,7.4,"6,445"
756,,,,
757,24 min,series,7.5,"1,043"
758,97 min,movie,7.0,"315,328"
759,,,,
760,68 min,movie,6.4,"6,031"
761,87 min,movie,5.8,"2,793"
762,,,,
763,117 min,movie,7.1,"39,212"
764,,,,
765,18 min,movie,5.2,12
766,120 min,movie,6.3,"2,201"
767,95 min,movie,6.8,"3,304"
768,113 min,movie,7.4,"4,629"
769,84 min,movie,5.0,"3,277"
770,105 min,movie,7.2,255
771,,,,
772,70 min,movie,7.1,16
773,107 min,movie,7.1,"3,220"
774,,,,
775,,,,
776,,,,
777,,,,
778,,,,
779,,,,
780,188 min,series,8.0,87
781,80 min,movie,3.9,220
782,,,,
783,,,,
784,,,,
785,96 min,movie,7.3,"4,096"
786,82 min,movie,7.2,"6,985"
787,90 min,movie,N/A,N/A
788,92 min,movie,7.7,"206,842"
789,112 min,movie,7.7,"118,502"
790,,,,
791,105 min,movie,8.3,74
792,,,,
793,,,,
794,110 min,movie,5.6,"3,321"
795,118 min,movie,7.1,7
796,86 min,movie,6.5,66
797,98 min,movie,7.2,"2,782"
798,124 min,movie,8.0,"527,339"
799,,,,
800,,,,
801,,,,
802,90 min,movie,7.6,"2,907"
803,96 min,movie,4.6,991
804,,,,
805,,,,
806,90 min,movie,7.7,"24,713"
807,83 min,movie,7.0,"7,781"
808,96 min,movie,6.1,"13,148"
809,94 min,movie,5.1,"3,567"
810,103 min,movie,7.0,900
811,108 min,movie,5.5,"32,765"
812,,,,
813,,,,
814,,,,
815,105 min,movie,7.5,"2,150"
816,100 min,movie,8.1,280
817,102 min,movie,7.1,"8,257"
818,119 min,movie,6.8,"49,859"
819,104 min,movie,6.5,"106,897"
820,73 min,movie,2.3,406
821,92 min,movie,6.0,774
822,,,,
823,80 min,movie,5.7,"9,629"
824,135 min,movie,6.5,"1,001"
825,105 min,movie,8.2,"3,371"
826,,,,
827,,,,
828,78 min,movie,6.7,"1,718"
829,,,,
830,103 min,movie,5.9,262
831,90 min,movie,5.9,"27,893"
832,112 min,movie,7.9,"8,796"
833,129 min,movie,6.6,"20,443"
834,,,,
835,,,,
836,,,,
837,,,,
838,94 min,movie,2.4,958
839,,,,
840,94 min,movie,7.8,"17,523"
841,99 min,movie,6.4,904
842,123 min,movie,6.7,"2,733"
843,112 min,movie,7.1,"20,830"
844,103 min,movie,7.1,"5,040"
845,,,,
846,100 min,movie,6.4,"9,703"
847,81 min,movie,6.6,19
848,88 min,movie,7.0,898
849,126 min,movie,6.6,"2,636"
850,82 min,movie,7.2,965
851,118 min,movie,7.4,"382,589"
852,98 min,movie,6.4,"2,061"
853,,,,
854,,,,
855,,,,
856,92 min,movie,4.4,"1,171"
857,94 min,movie,6.6,588
858,,,,
859,120 min,movie,6.9,"40,145"
860,,,,
861,,,,
862,90 min,movie,6.6,"20,533"
863,,,,
864,,,,
865,90 min,movie,8.2,252
866,,,,
867,,,,
868,,,,
869,,,,
870,,,,
871,778 min,series,8.3,"1,820"
872,207 min,movie,8.6,"301,458"
873,83 min,movie,6.1,192
874,,,,
875,125 min,movie,7.9,"2,644"
876,25 min,series,7.6,71
877,98 min,movie,6.9,298
878,,,,
879,119 min,movie,7.4,"3,051"
880,,,,
881,88 min,movie,6.4,"5,920"
882,,,,
883,107 min,movie,6.9,"8,392"
884,,,,
885,99 min,movie,6.6,394
886,152 min,movie,7.7,"132,655"
887,,,,
888,,,,
889,,,,
890,,,,
891,,,,
892,102 min,movie,7.4,"4,409"
893,,,,
894,97 min,movie,5.7,"10,126"
895,142 min,movie,8.3,"22,325"
896,99 min,movie,6.5,"46,409"
897,N/A,movie,6.3,25
898,N/A,series,7.4,5
899,,,,
900,124 min,movie,7.8,"17,392"
901,,,,
902,95 min,movie,3.7,"1,299"
903,112 min,movie,5.9,"8,898"
904,,,,
905,82 min,movie,4.5,220
906,,,,
907,97 min,movie,7.6,"12,701"
908,174 min,series,6.8,796
909,92 min,movie,5.9,"3,531"
910,110 min,movie,6.3,"2,901"
911,237 min,movie,6.9,722
912,52 min,movie,N/A,N/A
913,,,,
914,,,,
915,180 min,movie,6.3,401
916,,,,
917,N/A,movie,8.3,9
918,,,,
919,82 min,movie,6.9,"6,280"
920,,,,
921,76 min,movie,6.9,"5,672"
922,,,,
923,,,,
924,,,,
925,101 min,movie,7.8,"7,592"
926,,,,
927,,,,
928,95 min,movie,4.6,133
929,79 min,movie,6.9,596
930,92 min,movie,5.9,"2,621"
931,101 min,movie,6.5,"8,075"
932,,,,
933,,,,
934,91 min,movie,6.6,"10,002"
935,,,,
936,,,,
937,124 min,movie,7.0,"71,448"
938,86 min,movie,3.5,"1,085"
939,,,,
940,93 min,movie,7.3,"193,350"
941,,,,
942,80 min,movie,6.1,"20,206"
943,60 min,movie,8.5,"7,345"
944,91 min,movie,6.1,"5,973"
945,77 min,movie,6.4,"1,232"
946,91 min,movie,4.2,616
947,102 min,movie,7.3,"14,507"
948,180 min,movie,3.1,"2,170"
949,137 min,movie,7.3,"6,592"
950,90 min,movie,6.9,15
951,,,,
952,88 min,movie,7.4,"8,607"
953,112 min,movie,7.2,"39,615"
954,113 min,movie,6.9,"6,720"
955,90 min,movie,7.5,690
956,92 min,movie,5.0,"8,850"
957,,,,
958,,,,
959,,,,
960,125 min,movie,6.7,"6,921"
961,130 min,movie,7.2,"12,857"
962,97 min,movie,5.4,"47,700"
963,122 min,movie,8.0,"95,352"
964,,,,
965,,,,
966,101 min,movie,6.8,801
967,,,,
968,30 min,movie,7.2,798
969,74 min,movie,4.7,207
970,99 min,movie,6.2,774
971,50 min,movie,7.8,584
972,,,,
973,52 min,movie,7.4,56
974,107 min,movie,7.7,"4,143"
975,97 min,movie,3.4,337
976,46 min,movie,7.4,13
977,101 min,movie,6.8,"3,691"
978,173 min,movie,8.1,"18,584"
979,87 min,movie,7.5,833
980,90 min,movie,6.4,"21,657"
981,86 min,movie,5.8,"2,005"
982,183 min,movie,8.1,"63,268"
983,93 min,movie,5.1,"1,186"
984,167 min,movie,7.2,"6,984"
985,124 min,movie,7.0,"377,377"
986,95 min,movie,7.1,"3,595"
987,95 min,movie,5.4,"1,524"
988,111 min,movie,6.7,"3,025"
989,111 min,movie,6.6,"14,925"
990,122 min,movie,7.7,"11,442"
991,,,,
992,134 min,movie,7.4,"12,551"
993,108 min,movie,6.1,"22,512"
994,92 min,movie,5.7,"45,188"
995,88 min,movie,3.5,403
996,110 min,movie,8.2,"103,394"
997,93 min,movie,6.6,531
998,,,,
999,97 min,movie,5.2,"2,458"
1000,60 min,movie,7.3,240
1001,94 min,movie,6.2,"7,624"
1002,N/A,series,7.4,156
1003,54 min,movie,7.2,66
1004,88 min,movie,6.0,"2,033"
1005,,,,
1006,,,,
1007,87 min,movie,6.3,329
1008,,,,
1009,167 min,movie,6.1,"1,981"
1010,,,,
1011,91 min,movie,5.9,"15,007"
1012,85 min,movie,6.1,"4,969"
1013,77 min,movie,5.9,296
1014,86 min,movie,5.7,483
1015,,,,
1016,99 min,movie,6.1,306
1017,,,,
1018,,,,
1019,170 min,series,4.9,306
1020,,,,
1021,101 min,movie,6.6,"6,467"
1022,91 min,movie,7.2,"4,888"
1023,,,,
1024,129 min,movie,6.1,"1,614"
1025,95 min,movie,5.7,"4,555"
1026,95 min,movie,6.4,"22,716"
1027,129 min,movie,6.2,"40,802"
1028,,,,
1029,,,,
1030,50 min,movie,8.2,54
1031,,,,
1032,128 min,movie,7.8,"45,038"
1033,,,,
1034,,,,
1035,128 min,movie,6.1,"44,586"
1036,82 min,movie,6.4,51
1037,83 min,movie,4.6,"11,973"
1038,24 min,series,7.4,728
1039,101 min,movie,7.6,"6,905"
1040,,,,
1041,,,,
1042,,,,
1043,99 min,movie,6.2,"7,059"
1044,99 min,movie,7.6,"36,174"
1045,90 min,movie,6.0,"4,124"
1046,92 min,movie,6.1,"33,794"
1047,,,,
1048,,,,
1049,103 min,movie,5.6,"1,814"
1050,,,,
1051,108 min,movie,6.2,"11,525"
1052,,,,
1053,,,,
1054,,,,
1055,100 min,movie,7.4,"18,571"
1056,105 min,movie,6.6,"1,586"
1057,,,,
1058,85 min,movie,7.6,"23,819"
1059,,,,
1060,95 min,movie,4.4,"3,513"
1061,,,,
1062,108 min,movie,7.2,"4,776"
1063,73 min,movie,7.0,114
1064,,,,
1065,97 min,movie,5.7,521
1066,,,,
1067,83 min,movie,6.4,"6,666"
