,time,type,rate,votes
12489,104 min,movie,6.2,"6,985"
12490,103 min,movie,6.3,"23,011"
12491,91 min,movie,7.0,"1,012"
12492,,,,
12493,126 min,movie,7.1,"140,341"
12494,106 min,movie,6.4,"96,702"
12495,101 min,movie,5.9,"2,165"
12496,72 min,movie,5.0,252
12497,98 min,movie,6.0,"83,833"
12498,,,,
12499,91 min,movie,5.8,"1,704"
12500,118 min,movie,7.5,"89,487"
12501,102 min,movie,7.4,"125,783"
12502,,,,
12503,103 min,movie,6.8,"2,868"
12504,,,,
12505,,,,
12506,84 min,movie,6.4,"5,251"
12507,,,,
12508,144 min,movie,6.9,"39,075"
12509,114 min,movie,7.6,"5,143"
12510,,,,
12511,,,,
12512,108 min,movie,6.7,"4,196"
12513,103 min,movie,6.4,"68,147"
12514,96 min,movie,5.9,"1,202"
12515,,,,
12516,95 min,movie,5.0,697
12517,121 min,movie,2.5,"45,294"
12518,110 min,movie,6.6,"1,401"
12519,,,,
12520,110 min,movie,5.9,660
12521,100 min,movie,7.1,"3,448"
12522,93 min,movie,6.2,"1,516"
12523,128 min,movie,7.5,"9,553"
12524,,,,
12525,,,,
12526,80 min,movie,6.9,"1,628"
12527,,,,
12528,111 min,movie,5.9,"1,217"
12529,N/A,movie,N/A,N/A
12530,,,,
12531,30 min,series,8.2,"4,708"
12532,,,,
12533,118 min,movie,6.7,651
12534,,,,
12535,,,,
12536,90 min,movie,6.2,"4,830"
12537,108 min,movie,6.0,347
12538,80 min,movie,6.4,"29,395"
12539,,,,
12540,94 min,movie,5.8,"20,365"
12541,104 min,movie,6.5,"16,588"
12542,94 min,movie,6.7,"36,199"
12543,,,,
12544,,,,
12545,,,,
12546,103 min,movie,7.6,"445,122"
12547,60 min,movie,7.3,330
12548,137 min,movie,7.3,675
12549,97 min,movie,6.6,"31,311"
12550,176 min,movie,7.9,"12,946"
12551,93 min,movie,5.1,193
12552,,,,
12553,,,,
12554,77 min,movie,5.7,248
12555,,,,
12556,74 min,movie,7.0,557
12557,91 min,movie,5.7,"8,582"
12558,,,,
12559,90 min,movie,3.5,845
12560,93 min,movie,7.2,"59,350"
12561,95 min,movie,7.4,"6,527"
12562,111 min,movie,6.2,"19,019"
12563,,,,
12564,90 min,movie,8.4,560
12565,93 min,movie,4.4,861
12566,96 min,movie,5.9,"11,521"
12567,,,,
12568,84 min,movie,6.3,"1,567"
12569,116 min,movie,6.7,"26,449"
12570,127 min,movie,6.8,"94,616"
12571,,,,
12572,,,,
12573,54 min,movie,3.0,257
12574,,,,
12575,127 min,movie,6.9,336
12576,,,,
12577,,,,
12578,158 min,movie,8.1,"29,206"
12579,77 min,movie,5.2,"1,054"
12580,,,,
12581,95 min,movie,7.5,"1,033"
12582,138 min,movie,7.9,"402,901"
12583,114 min,movie,6.6,"3,053"
12584,97 min,movie,6.6,"5,264"
12585,93 min,movie,7.4,"5,395"
12586,60 min,series,8.3,"2,437"
12587,,,,
12588,89 min,movie,6.0,"2,058"
12589,,,,
12590,110 min,movie,5.8,356
12591,112 min,movie,7.1,"30,433"
12592,,,,
