Date, Close/Last, Volume, Open, High, Low
06/21/2018, $201.5, 18906350, $202.76, $203.39, $200.09
06/20/2018, $202, 28175590, $199.1, $203.55, $198.805
06/19/2018, $197.49, 19968690, $196.235, $197.96, $193.79
06/18/2018, $198.31, 16470990, $194.8, $199.58, $194.13
06/15/2018, $195.85, 21833150, $195.79, $197.07, $194.64
06/14/2018, $196.81, 19096760, $193.1, $197.28, $192.91
06/13/2018, $192.41, 15121450, $192.74, $194.5, $191.91
06/12/2018, $192.4, 11217070, $192.17, $193.28, $191.56
06/11/2018, $191.54, 12885730, $188.81, $192.6, $188.8
06/08/2018, $189.1, 12503130, $187.53, $189.4754, $186.43
06/07/2018, $188.18, 21451790, $190.75, $190.97, $186.77
06/06/2018, $191.34, 22500160, $191.025, $192.53, $189.11
06/05/2018, $192.94, 15059480, $194.3, $195, $192.62
06/04/2018, $193.28, 18881330, $191.84, $193.98, $191.47
06/01/2018, $193.99, 17278520, $193.065, $194.5492, $192.07
05/31/2018, $191.78, 30727790, $187.87, $192.72, $187.48
05/30/2018, $187.67, 13636820, $186.54, $188, $185.25
05/29/2018, $185.74, 16348650, $184.34, $186.81, $183.71
05/25/2018, $184.92, 10730560, $186.02, $186.33, $184.45
05/24/2018, $185.93, 11628050, $185.88, $186.8, $185.03
05/23/2018, $186.9, 16594310, $182.5, $186.91, $182.18
05/22/2018, $183.8, 12267860, $184.93, $185.42, $183.43
05/21/2018, $184.49, 13078810, $183.77, $185.3, $183.13
05/18/2018, $182.68, 13066220, $183.49, $184.19, $182.61
05/17/2018, $183.76, 14695830, $182.68, $184.06, $182.22
05/16/2018, $183.2, 16842080, $183.695, $184.32, $182.66
05/15/2018, $184.32, 15409930, $184.88, $185.29, $183.2
05/14/2018, $186.64, 15480030, $187.71, $187.86, $186.2
05/11/2018, $186.99, 21197800, $184.85, $188.32, $184.18
05/10/2018, $185.53, 20931530, $183.15, $186.1292, $182.5
05/09/2018, $182.66, 23266280, $179.67, $183.01, $178.7807
05/08/2018, $178.92, 15482580, $178.25, $179.04, $177.11
05/07/2018, $177.97, 18302910, $177.35, $179.5, $177.17
05/04/2018, $176.61, 17668270, $173.08, $176.98, $173.06
05/03/2018, $174.02, 23908500, $175.13, $176.12, $172.12
05/02/2018, $176.07, 29812020, $174.246, $178.08, $174.2
05/01/2018, $173.86, 26001150, $172, $174.02, $170.23
04/30/2018, $172, 20662060, $173.79, $175.72, $171.71
04/27/2018, $173.59, 29773640, $176.81, $177.1, $172.6
04/26/2018, $174.16, 77391810, $173.22, $176.27, $170.8
04/25/2018, $159.69, 38451590, $160.145, $161.06, $156.19
04/24/2018, $159.69, 34981150, $165.43, $166.1, $158.19
04/23/2018, $165.84, 22894510, $167.27, $168.45, $165.09
04/20/2018, $166.28, 18917050, $167.79, $168.43, $165.81
04/19/2018, $168.1, 21921120, $166.2, $168.33, $165.2
04/18/2018, $166.36, 20248580, $166.88, $168.12, $165.77
04/17/2018, $168.66, 21986820, $165.83, $169, $165.66
04/16/2018, $164.83, 17951530, $165.725, $165.78, $163.39
04/13/2018, $164.52, 19450140, $164.58, $165.7036, $163.77
04/12/2018, $163.87, 38195140, $166.98, $167.45, $163.1
04/11/2018, $166.32, 56011860, $165.36, $168.65, $163.25
04/10/2018, $165.04, 58051080, $157.93, $165.98, $157.01
04/09/2018, $157.93, 34671420, $157.82, $160.53, $156.04
04/06/2018, $157.2, 41397190, $157.73, $161.42, $156.81
04/05/2018, $159.34, 41138460, $161.56, $161.575, $156.65
04/04/2018, $155.1, 49542320, $152.025, $155.56, $150.51
04/03/2018, $156.11, 42518400, $156.55, $157.39, $150.81
04/02/2018, $155.39, 36715460, $157.81, $159.2, $154.111
03/29/2018, $159.79, 59266330, $155.15, $161.42, $154.14
03/28/2018, $153.03, 59803800, $151.65, $155.88, $150.8
03/27/2018, $152.22, 77468330, $156.31, $162.85, $150.75
03/26/2018, $160.06, 125971800, $160.82, $161.1, $149.02
03/23/2018, $159.39, 53478870, $165.44, $167.1, $159.02
03/22/2018, $164.89, 73554350, $166.13, $170.27, $163.72
03/21/2018, $169.39, 106166700, $164.8, $173.4, $163.3
03/20/2018, $168.15, 129654100, $167.47, $170.2, $161.95
03/19/2018, $172.56, 87171850, $177.01, $177.17, $170.06
03/16/2018, $185.09, 23699600, $184.49, $185.33, $183.41
03/15/2018, $183.86, 15638830, $183.24, $184, $182.19
03/14/2018, $184.19, 16814350, $182.6, $184.25, $181.85
03/13/2018, $181.88, 17873720, $185.61, $185.99, $181.11
03/12/2018, $184.76, 15194040, $185.23, $186.1, $184.22
03/09/2018, $185.23, 18187880, $183.91, $185.51, $183.21
03/08/2018, $182.34, 16920570, $183.56, $184.4, $181.45
03/07/2018, $183.71, 19007100, $178.74, $183.82, $178.07
03/06/2018, $179.78, 14868900, $181.78, $182.38, $179.11
03/05/2018, $180.4, 16098150, $176.2, $181.1475, $175.89
03/02/2018, $176.62, 19835420, $173.29, $177.11, $172.99
03/01/2018, $175.94, 23161610, $179.01, $180.12, $174.41
02/28/2018, $178.32, 18613520, $182.3, $182.88, $178.14
02/27/2018, $181.46, 15768550, $184.45, $184.7, $181.46
02/26/2018, $184.93, 17583030, $184.58, $185.66, $183.2228
02/23/2018, $183.29, 18811750, $179.9, $183.39, $179.51
02/22/2018, $178.99, 17766680, $178.7, $180.21, $177.41
02/21/2018, $177.91, 23166300, $176.71, $181.27, $176.4
02/20/2018, $176.01, 21037920, $175.77, $177.95, $175.11
02/16/2018, $177.36, 20815180, $178.99, $179.88, $176.3
02/15/2018, $179.96, 20697440, $180.5, $180.5, $176.84
02/14/2018, $179.52, 28852470, $173.45, $179.81, $173.2119
02/13/2018, $173.15, 21431580, $175.62, $175.97, $173.1
02/12/2018, $176.41, 32005590, $177.06, $177.545, $171.84
02/09/2018, $176.11, 39826840, $174.76, $176.9, $167.18
02/08/2018, $171.58, 38167570, $181.01, $181.84, $171.4815
02/07/2018, $180.18, 27130700, $184.15, $185.0817, $179.95
02/06/2018, $185.31, 37640430, $178.57, $185.77, $177.74
02/05/2018, $181.26, 32772080, $186.93, $190.61, $180.61
02/02/2018, $190.28, 25954720, $192.04, $194.21, $189.98
02/01/2018, $193.09, 53938680, $188.22, $195.32, $187.89
01/31/2018, $186.89, 36542750, $188.37, $189.83, $185.22
01/30/2018, $187.12, 20724760, $183.01, $188.18, $181.84
01/29/2018, $185.98, 20297330, $188.75, $188.84, $185.6301
01/26/2018, $190, 17423300, $187.75, $190, $186.81
01/25/2018, $187.48, 17329360, $187.95, $188.62, $186.6
01/24/2018, $186.55, 23423200, $189.89, $190.66, $186.52
01/23/2018, $189.35, 25535950, $186.05, $189.55, $185.55
01/22/2018, $185.37, 21005910, $180.8, $185.39, $180.41
01/19/2018, $181.29, 26592440, $180.85, $182.37, $180.1702
01/18/2018, $179.8, 23244010, $178.13, $180.98, $177.08
01/17/2018, $177.6, 27781620, $179.26, $179.32, $175.8
