Date,Open,High,Low,Close
2016-03-16,268.702,269.319,267.679,268.355
2016-03-17,268.355,271.64,267.919,268.981
2016-03-18,268.981,270.176,268.343,268.747
2016-03-21,268.976,270.223,268.449,268.524
2016-03-22,268.527,271.539,268.079,269.626
2016-03-23,269.624,270.673,268.853,270.571
2016-03-24,270.57,270.827,268.935,269.327
2016-03-28,268.288,268.455,266.569,266.774
2016-03-29,266.778,267.218,265.791,266.74
2016-03-30,266.742,267.957,266.289,267.246
2016-03-31,267.248,268.301,266.67,266.942
2016-04-01,266.942,270.41,266.849,270.272
2016-04-04,270.515,271.23,269.858,270.721
2016-04-05,270.716,274.985,270.675,274.12
2016-04-06,274.123,276.737,273.441,275.942
2016-04-07,275.937,281.592,275.406,280.472
2016-04-08,280.459,280.482,277.513,279.875
2016-04-11,280.037,281.213,278.009,279.315
2016-04-12,279.282,279.55,277.004,277.455
2016-04-13,277.441,277.677,276.167,276.924
2016-04-14,276.926,278.531,276.571,277.157
2016-04-15,277.158,278.588,276.344,278.406
2016-04-18,279.798,281.084,276.685,277.12
2016-04-19,277.122,277.198,274.13,274.764
2016-04-20,274.761,276.304,273.872,274.519
2016-04-21,274.52,275.64,273.24,275.558
2016-04-22,275.551,275.855,269.089,269.547
2016-04-25,268.727,270.784,268.622,269.62
2016-04-26,269.647,270.808,267.923,268.508
2016-04-27,268.511,269.098,267.814,268.365
2016-04-28,268.357,276.679,267.463,275.774
2016-04-29,275.77,280.004,275.563,279.542
2016-05-02,279.996,280.195,277.87,278.81
2016-05-03,278.813,280.684,277.444,278.76
2016-05-04,278.848,280.467,277.916,278.944
2016-05-05,278.98,279.684,278.122,278.955
2016-05-06,278.953,281.523,278.578,279.923
2016-05-09,279.843,279.975,276.403,276.68
2016-05-10,276.686,277.161,274.218,274.283
2016-05-11,274.293,276.504,274.293,276.255
2016-05-12,276.251,276.903,273.839,274.966
2016-05-13,274.967,277.165,274.733,276.981
2016-05-16,277.105,277.598,275.529,275.55
2016-05-17,275.549,275.787,273.312,274.973
2016-05-18,274.973,276.166,271.445,271.545
2016-05-19,271.551,272.726,270.835,272.179
2016-05-20,272.207,272.812,271.196,272.671
2016-05-23,272.597,275.259,272.406,275.013
2016-05-24,275.032,275.177,271.843,272.177
2016-05-25,272.193,272.551,270.265,270.873
2016-05-26,270.885,272.633,270.796,272.113
2016-05-27,272.113,273.23,271.292,271.356
2016-05-30,271.373,271.401,268.857,269.305
2016-05-31,269.325,272.38,267.951,271.636
2016-06-01,271.647,276.125,271.344,275.145
2016-06-02,275.176,277.522,274.888,276.857
2016-06-03,276.855,280.825,276.241,280.63
2016-06-06,281.289,282.584,278.413,278.751
2016-06-07,278.749,279.535,276.308,278.368
2016-06-08,278.365,279.975,278.26,279.555
2016-06-09,279.473,281.836,279.311,280.216
2016-06-10,280.206,283.735,279.564,282.889
2016-06-13,283.006,286.717,282.959,284.966
2016-06-14,284.97,287.309,284.163,286.581
2016-06-15,286.577,286.939,284.586,285.498
2016-06-16,285.513,294.18,285.506,290.143
2016-06-17,290.125,290.324,287.837,288.701
2016-06-20,286.267,287.026,284.181,286.168
2016-06-21,286.154,287.252,283.381,284.336
2016-06-22,284.336,285.469,281.746,282.507
2016-06-23,282.507,284.944,275.525,275.91
2016-06-24,275.932,314.068,275.932,302.922
2016-06-27,306.832,311.528,304.755,309.05
2016-06-28,309.019,310.138,304.744,305.265
2016-06-29,305.265,307.3,302.657,303.088
2016-06-30,303.09,306.411,302.474,303.834
2016-07-01,303.869,306.597,303.546,305.935
2016-07-04,305.627,306.326,305.004,305.893
2016-07-05,305.889,312.681,305.741,311.902
2016-07-06,311.924,318.243,311.869,314.018
2016-07-07,314.017,317.26,313.298,316.285
2016-07-08,316.283,317.494,314.983,317
2016-07-11,316.527,316.724,308.845,309.216
2016-07-12,309.216,310.324,299.242,300.445
2016-07-13,300.439,303.405,299.358,302.686
2016-07-14,302.733,303.928,295.309,297.514
2016-07-15,297.467,300.285,293.146,298.57
2016-07-18,298.851,299.264,295.549,296.353
2016-07-19,296.404,299.332,295.628,298.321
2016-07-20,298.334,299.53,293.144,293.855
2016-07-21,293.878,299.312,293.163,296.812
2016-07-22,296.826,299.548,296.046,298.5
2016-07-25,298.149,299.288,296.672,298.883
2016-07-26,298.883,304.826,298.761,302.173
2016-07-27,302.141,302.363,297.094,299.319
2016-07-28,299.319,301.789,299.22,299.757
2016-07-29,299.752,308.012,298.653,307.696
2016-08-01,307.203,308.252,305.466,307.485
2016-08-02,307.485,310.392,306.078,309.545
2016-08-03,309.542,310.502,308.24,309.314
2016-08-04,309.32,312.46,308.325,312.193
2016-08-05,312.193,312.667,310.815,311.127
2016-08-08,310.58,310.801,308.807,309.595
2016-08-09,309.607,312.133,309.51,311.732
2016-08-10,311.731,313.615,311.272,313.221
2016-08-11,313.219,314.175,311.385,311.755
2016-08-12,311.76,315.282,310.743,314.327
2016-08-15,314.225,315.502,313.51,314.568
2016-08-16,314.571,317.889,314.504,315.075
2016-08-17,315.068,315.936,312.54,315.171
2016-08-18,315.176,316.766,312.801,314.214
2016-08-19,314.214,315.71,312.92,314.71
2016-08-22,313.311,314.392,312.616,313.544
2016-08-23,313.566,314.295,313.015,313.242
2016-08-24,313.241,313.602,311.691,312.286
2016-08-25,312.291,312.891,311.723,312.522
2016-08-26,312.518,313.145,309.454,309.739
2016-08-29,309.707,310.045,308.173,309.931
2016-08-30,309.929,310.359,306.872,307.26
2016-08-31,307.26,307.454,305.095,305.359
2016-09-01,305.36,306.226,302.136,303.887
2016-09-02,303.9,304.161,300.625,301.506
2016-09-05,301.35,303.675,301.289,303.114
2016-09-06,303.11,305.556,302.058,305.136
2016-09-07,305.134,307.994,305.015,307.358
2016-09-08,307.353,308.111,305.192,305.715
2016-09-09,305.694,306.686,303.809,305.379
2016-09-12,305.679,307.975,305.37,306.783
2016-09-13,306.76,308.336,306.122,306.862
2016-09-14,306.841,307.13,304.043,306.579
2016-09-15,306.54,307.928,305.54,307.472
2016-09-16,307.472,310.057,307.253,310.032
2016-09-19,310.25,311.662,309.612,311.047
2016-09-20,311.04,312.67,310.34,312.086
2016-09-21,312.087,315.887,309.302,315.194
2016-09-22,315.194,316.126,312.571,313.402
2016-09-23,313.409,315.062,312.293,314.02
2016-09-26,314.039,316.52,313.652,316.063
2016-09-27,316.059,317.049,313.766,315.307
2016-09-28,315.362,315.861,314.093,314.356
2016-09-29,314.4,314.709,311.176,313.73
2016-09-30,313.752,315.274,311.74,312.902
2016-10-03,313.33,314.748,312.579,313.814
2016-10-04,313.826,313.893,311.314,311.611
2016-10-05,311.573,312.276,308.788,309.346
2016-10-06,309.356,310.352,309.03,310.004
2016-10-07,310.006,320.551,309.966,315.314
2016-10-10,314.782,316.156,313.644,314.416
2016-10-11,314.446,319.856,313.738,318.534
2016-10-12,318.542,318.655,314.479,315.568
2016-10-13,315.571,318.204,314.628,316.318
2016-10-14,316.329,316.691,314.312,316.07
2016-10-17,315.741,317.135,315.674,316.768
2016-10-18,316.752,317.089,314.429,315.316
2016-10-19,315.278,317.703,315.104,316.986
2016-10-20,316.986,317.348,315.629,315.989
2016-10-21,315.932,318.459,315.293,316.994
2016-10-24,316.939,317.39,315.587,315.802
2016-10-25,315.804,316.751,314.579,316.364
2016-10-26,316.361,317.023,314.406,314.711
2016-10-27,314.71,315.538,313.055,313.446
2016-10-28,313.489,314.813,312.769,314.238
2016-10-31,314.535,314.612,312.782,313.28
2016-11-01,313.302,315.6,311.949,315.21
2016-11-02,315.205,317.018,314.735,316.143
2016-11-03,316.143,317.986,314.128,315.142
2016-11-04,315.275,315.299,313.218,313.678
2016-11-07,312.384,312.394,310.557,311.537
2016-11-08,311.521,312.253,309.789,310.33
2016-11-09,310.363,318.815,307.567,308.592
2016-11-10,308.569,310.45,303.233,303.851
2016-11-11,303.773,305.06,303.028,303.395
2016-11-14,303.593,303.747,300.432,300.923
2016-11-15,300.917,302.454,298.574,299.641
2016-11-16,299.672,300.447,297.825,300.296
2016-11-17,300.298,301.215,296.996,297.336
2016-11-18,297.36,299.321,296.001,296.67
2016-11-21,296.539,297.487,293.92,294.9
2016-11-22,294.882,295.998,294.044,294.915
2016-11-23,294.916,296.042,290.699,291.756
2016-11-24,291.609,291.835,288.902,289.255
2016-11-25,289.255,291.085,287.924,289.512
2016-11-28,289.929,293.262,289.726,293.237
2016-11-29,293.293,293.821,288.898,290.37
2016-11-30,290.372,291.46,285.436,285.678
2016-12-01,285.678,286.657,283.24,284.862
2016-12-02,284.862,286.318,284.384,284.813
2016-12-05,287.835,288.031,281.625,283.731
2016-12-06,283.731,284.585,282.572,283.995
2016-12-07,283.98,286.159,283.354,285.396
2016-12-08,285.398,286.26,283.931,285.45
2016-12-09,285.453,285.631,282.725,282.931
2016-12-12,282.259,282.978,280.432,282.299
2016-12-13,282.298,282.433,280.602,281.624
2016-12-14,281.609,282.618,278.398,278.714
2016-12-15,278.721,279.302,276.244,278.226
2016-12-16,278.284,279.159,277.567,278.231
2016-12-19,278.246,282.087,278.134,281.407
2016-12-20,281.409,281.652,278.904,279.836
2016-12-21,279.806,281.405,279.624,280.802
2016-12-22,280.809,281.53,280.04,281.395
2016-12-23,281.394,282.674,281.229,281.93
2016-12-27,282.485,282.541,281.558,281.742
2016-12-28,281.769,283.938,280.798,283.456
2016-12-29,283.454,284.946,283.204,283.879
2016-12-30,283.867,284.124,281.395,282.109
2017-01-02,281.904,281.97,280.483,281.933
2017-01-03,281.941,282.664,279.76,281.717
2017-01-04,281.716,282.505,280.402,281.353
2017-01-05,281.356,284.934,281.03,284.071
2017-01-06,284.07,284.788,281.933,282.243
2017-01-09,282.251,286.75,281.652,285.985
2017-01-10,285.971,287.603,285.29,286.322
2017-01-11,286.351,288.975,285.292,286.857
2017-01-12,286.863,290.305,286.841,289.067
2017-01-13,288.942,289.608,287.263,288.93
2017-01-16,291.139,293.463,290.961,292.44
2017-01-17,292.441,293.38,289.314,290.368
2017-01-18,290.287,290.922,287.524,287.95
2017-01-19,287.95,288.091,285.123,285.705
2017-01-20,285.719,286.963,285.322,286.577
2017-01-23,286.57,289.164,286.431,288.953
2017-01-24,288.954,289.073,285.981,285.996
2017-01-25,285.992,287.344,284.946,285.968
2017-01-26,285.969,286.53,283.185,283.699
2017-01-27,283.725,283.978,282.318,282.633
2017-01-30,282.979,287.448,282.801,286.72
2017-01-31,286.719,289.959,286.093,287.931
2017-02-01,287.927,287.927,284.182,285.623
2017-02-02,285.644,289.484,285.401,288.237
2017-02-03,288.207,289.845,287.248,289.191
2017-02-06,289.536,292.145,289.104,291.709
2017-02-07,291.738,292.743,290.034,290.3
2017-02-08,290.298,291.577,290.045,291.042
2017-02-09,291.033,291.077,287.859,288.033
2017-02-10,288.103,289.224,286.65,288.153
2017-02-13,287.403,287.468,286.19,286.841
2017-02-14,286.853,288.845,285.942,286.155
2017-02-15,286.155,287.36,285.576,286.264
2017-02-16,286.28,288.504,286.27,288.15
2017-02-17,288.115,290.906,287.352,290.321
2017-02-20,290.069,290.348,288.683,289.016
2017-02-21,289.02,289.121,287.893,287.897
2017-02-22,287.892,290.364,287.717,289.052
2017-02-23,289.047,290.08,288.794,289.214
2017-02-24,289.24,292.5,288.818,292.143
2017-02-27,291.816,292.981,290.371,290.589
2017-02-28,290.589,293.138,290.469,291.107
2017-03-01,291.107,291.107,289.019,289.809
2017-03-02,289.802,289.856,288.418,288.89
2017-03-03,288.895,289.775,288.238,289.23
2017-03-06,288.886,290.549,288.771,290.043
2017-03-07,290.082,290.947,289.763,290.447
2017-03-08,290.451,291.406,289.043,289.895
2017-03-09,289.894,290.168,288.185,288.272
2017-03-10,288.278,288.702,287.052,288.486
2017-03-13,288.272,288.664,287.48,287.541
2017-03-14,287.546,289.334,287.512,289.116
2017-03-15,289.113,290.561,287.72,289.923
2017-03-16,289.938,291.507,289.081,289.155
2017-03-17,289.162,291.25,288.737,290.555
2017-03-20,290.474,291.583,289.716,291.403
2017-03-21,291.403,292.345,289.484,292.242
2017-03-22,292.226,294.434,291.545,292.829
2017-03-23,292.833,294.271,292.055,293.091
2017-03-24,293.078,294.131,292.447,292.696
2017-03-27,293.336,294.752,292.967,293.167
2017-03-28,293.167,294.584,292.621,293.597
2017-03-29,293.558,295.091,293.248,294.201
2017-03-30,294.201,294.654,291.825,292.05
2017-03-31,292.033,292.872,290.947,292.763
2017-04-03,292.439,294.622,291.992,294.542
2017-04-04,294.543,296.806,294.385,295.382
2017-04-05,295.398,295.858,293.206,295.434
2017-04-06,295.43,295.989,293.986,294.895
2017-04-07,294.901,296.959,294.596,295.387
2017-04-10,295.771,295.854,294.459,295.759
2017-04-11,295.751,298.333,295.69,298.186
2017-04-12,298.157,299.05,297.454,298.839
2017-04-13,298.835,299.508,298.14,299.144
2017-04-14,299.14,300.508,298.875,300.373
2017-04-17,299.959,301.446,298.432,298.62
2017-04-18,298.619,299.944,295.576,296.331
2017-04-19,296.306,296.569,294.555,296.041
2017-04-20,296.06,296.195,293.812,294.537
2017-04-21,294.558,295.905,294.238,295.189
2017-04-24,290.877,293.244,290.77,292.804
2017-04-25,292.809,293.435,288.431,288.621
2017-04-26,288.62,289.014,287.021,288.528
2017-04-27,288.511,288.61,286.675,287.541
2017-04-28,287.551,288.072,286.048,286.387
2017-05-01,286.656,287.247,285.68,286.198
2017-05-02,286.234,286.234,284.619,285.003
2017-05-03,284.997,285.282,284.027,284.343
2017-05-04,284.345,284.617,282.939,283.579
2017-05-05,283.57,284.647,282.573,282.958
2017-05-08,281.911,283.712,281.841,281.946
2017-05-09,281.94,282.192,279.756,280.524
2017-05-10,280.541,281.225,279.668,279.88
2017-05-11,279.88,282.415,279.727,281.543
2017-05-12,281.543,282.763,281.299,282.626
2017-05-15,282.57,282.749,280.901,281.361
2017-05-16,281.375,282.268,280.568,281.842
2017-05-17,281.849,287.275,281.801,286.794
2017-05-18,286.779,287.578,285.022,285.352
2017-05-19,285.277,286.357,283.767,284.537
2017-05-22,284.91,285.716,284.112,284.703
2017-05-23,284.712,286.054,283.887,284.03
2017-05-24,284.03,284.726,283.298,284.433
2017-05-25,284.433,284.463,283.298,284.128
2017-05-26,284.13,287.665,284.069,287.191
2017-05-29,287.155,287.389,286.388,287.022
2017-05-30,287.022,288.727,286.794,288.384
2017-05-31,288.39,288.919,287.09,287.161
2017-06-01,287.182,287.527,285.518,285.859
2017-06-02,285.866,288.216,285.039,287.967
2017-06-05,288.038,288.407,286.976,287.65
2017-06-06,287.651,291.126,287.624,290.447
2017-06-07,290.466,291.233,288.626,288.829
2017-06-08,288.825,292.109,287.962,291.413
2017-06-09,291.581,292.002,289.261,290.64
2017-06-12,290.131,293.194,289.954,292.142
2017-06-13,292.132,292.459,290.676,290.761
2017-06-14,290.777,293.253,290.036,291.902
2017-06-15,291.908,292.875,288.714,288.957
2017-06-16,288.964,289.066,287.34,288.515
2017-06-19,288.746,288.855,287.328,287.38
2017-06-20,287.381,289.301,286.706,289.055
2017-06-21,289.049,290.433,287.725,288.419
2017-06-22,288.37,289.758,288.364,288.72
2017-06-23,288.726,288.888,287.72,288.052
2017-06-26,287.819,288.065,286.512,286.653
2017-06-27,286.651,287.413,283.353,283.773
2017-06-28,283.786,284.779,281.986,282.3
2017-06-29,282.27,282.324,280.027,281.542
2017-06-30,281.535,282.749,280.348,280.581
2017-07-03,281.255,281.494,279.282,279.515
2017-07-04,279.514,280.994,279.364,279.988
2017-07-05,279.984,280.858,279.353,280.083
2017-07-06,280.087,280.859,278.976,279.446
2017-07-07,279.445,279.662,277.912,278.772
2017-07-10,278.438,278.695,277.672,278.454
2017-07-11,278.46,279.28,277.353,278.81
2017-07-12,278.82,280.933,278.82,280.428
2017-07-13,280.43,281.057,279.242,279.692
