"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
5/8/2014;402.98;399.28;403.17;398.36
5/9/2014;401.93;401.92;402.38;400.88
5/12/2014;403.78;402.40;404.34;401.51
5/13/2014;404.65;405.28;405.40;404.06
5/14/2014;403.33;404.46;404.46;402.75
5/15/2014;400.25;403.03;404.89;399.07
5/16/2014;399.56;400.26;400.93;397.71
5/19/2014;401.04;399.37;401.28;397.94
5/20/2014;400.80;401.11;402.05;399.57
5/21/2014;402.90;400.04;403.27;398.90
5/22/2014;404.14;405.21;405.21;403.03
5/23/2014;405.14;404.22;405.59;403.54
5/26/2014;406.88;406.10;407.10;405.82
5/27/2014;406.81;406.70;407.76;406.43
5/28/2014;405.94;405.95;406.15;404.61
5/29/2014;407.44;405.39;407.74;405.39
5/30/2014;407.21;407.51;408.34;406.59
6/2/2014;408.77;408.60;409.29;407.80
6/3/2014;408.61;408.88;408.95;407.36
6/4/2014;408.07;407.75;408.85;406.50
6/5/2014;410.97;408.06;413.29;406.59
6/6/2014;413.26;411.46;413.49;411.04
6/9/2014;415.46;413.81;415.46;413.77
6/10/2014;415.86;414.94;415.86;414.59
6/11/2014;414.45;415.13;415.52;412.69
6/12/2014;414.74;414.90;415.91;414.04
6/13/2014;414.05;414.77;414.96;412.25
6/16/2014;412.54;413.18;414.11;412.24
6/17/2014;414.58;414.35;414.83;412.88
6/18/2014;415.48;415.22;416.77;414.93
6/19/2014;417.98;418.55;419.04;417.45
6/20/2014;417.90;417.65;419.57;417.14
6/23/2014;415.59;418.30;418.30;414.87
6/24/2014;415.78;416.83;416.97;414.74
6/25/2014;411.93;413.97;413.97;410.54
6/26/2014;410.81;412.70;412.74;408.60
6/27/2014;410.86;411.33;411.83;410.03
6/30/2014;413.15;411.35;413.94;411.15
7/1/2014;415.48;413.80;415.69;413.44
7/2/2014;415.85;415.58;417.20;415.25
7/3/2014;419.53;416.73;419.85;415.95
7/4/2014;418.70;419.29;419.94;418.70
7/7/2014;414.12;418.30;418.47;414.12
7/8/2014;409.76;414.11;414.86;409.76
7/9/2014;410.49;410.54;411.15;408.80
7/10/2014;403.39;409.89;410.07;402.15
7/11/2014;403.61;404.22;405.04;402.31
7/14/2014;406.55;404.16;407.10;403.78
7/15/2014;404.01;405.48;406.78;404.01
7/16/2014;408.78;404.41;408.78;404.41
7/17/2014;404.84;407.09;408.51;404.60
7/18/2014;404.40;403.40;404.49;401.56
7/21/2014;403.71;404.48;404.60;401.90
7/22/2014;407.95;405.82;408.26;405.45
7/23/2014;408.53;407.20;409.92;406.46
7/24/2014;409.98;407.93;410.30;405.81
7/25/2014;404.84;408.96;409.83;403.73
7/28/2014;404.68;405.82;406.22;401.88
7/29/2014;407.31;405.89;408.63;403.87
7/30/2014;407.96;407.24;410.40;405.77
7/31/2014;404.29;408.70;409.39;403.42
8/1/2014;398.56;403.35;404.62;397.25
8/4/2014;395.95;400.48;400.48;394.74
8/5/2014;398.38;397.04;399.13;396.54
8/6/2014;397.21;396.23;398.10;393.35
8/7/2014;394.20;396.98;398.66;394.04
8/8/2014;390.25;390.58;391.78;388.14
8/11/2014;396.65;393.39;397.31;392.84
8/12/2014;394.22;396.34;396.90;393.66
8/13/2014;395.27;395.19;396.39;393.93
8/14/2014;395.84;394.04;396.80;393.79
8/15/2014;395.35;396.87;400.53;395.24
8/18/2014;399.91;398.53;400.20;398.53
8/19/2014;403.31;401.13;403.68;400.83
8/20/2014;403.32;403.81;404.81;402.17
8/21/2014;405.77;403.37;405.77;402.68
8/22/2014;404.48;406.39;406.41;402.54
8/25/2014;409.32;407.25;409.47;406.35
8/26/2014;412.93;409.12;413.02;408.42
8/27/2014;413.19;412.37;413.60;412.03
8/28/2014;412.14;412.28;412.72;410.62
8/29/2014;413.13;412.78;413.34;410.08
9/1/2014;414.23;413.40;414.23;413.13
9/2/2014;415.00;415.00;416.19;413.88
9/3/2014;417.21;416.28;418.88;415.89
9/4/2014;421.59;416.64;422.77;416.35
9/5/2014;421.11;421.11;421.77;419.61
9/8/2014;420.60;421.29;421.29;418.41
9/9/2014;418.40;419.97;420.60;418.06
9/10/2014;418.95;417.22;419.36;416.46
9/11/2014;418.01;420.24;420.46;416.17
9/12/2014;417.80;418.65;419.14;417.07
9/15/2014;417.65;416.71;418.43;415.71
9/16/2014;417.40;417.81;417.99;415.87
9/17/2014;417.84;418.94;419.97;417.79
9/18/2014;422.05;418.54;422.18;418.18
9/19/2014;425.74;424.77;425.74;422.79
9/22/2014;422.05;422.93;423.52;421.65
9/23/2014;418.83;421.88;422.33;417.05
9/24/2014;421.42;418.89;421.48;417.23
9/25/2014;417.25;421.83;422.84;416.57
9/26/2014;418.49;417.65;419.41;415.22
9/29/2014;418.18;418.63;419.45;415.70
9/30/2014;421.14;419.26;421.95;418.60
10/1/2014;416.80;419.68;421.48;415.93
10/2/2014;406.22;415.31;415.67;406.22
10/3/2014;411.19;409.86;412.51;408.85
10/6/2014;412.24;413.26;414.40;410.98
10/7/2014;406.51;411.08;411.08;406.51
10/8/2014;403.46;404.01;405.40;402.32
10/9/2014;402.66;407.99;408.20;401.19
10/10/2014;395.68;399.10;400.31;394.28
10/13/2014;394.33;391.96;396.51;390.60
10/14/2014;393.30;391.29;393.97;386.40
10/15/2014;379.69;393.24;394.28;379.53
10/16/2014;376.27;381.95;383.89;366.84
10/17/2014;387.06;378.47;387.66;376.18
10/20/2014;384.40;386.31;387.16;380.86
10/21/2014;394.49;383.61;394.49;381.56
10/22/2014;396.01;395.51;396.17;392.45
10/23/2014;396.89;392.37;397.39;389.42
10/24/2014;396.12;395.84;396.49;393.45
10/27/2014;395.05;400.21;400.68;392.69
10/28/2014;401.26;397.33;401.98;397.33
10/29/2014;401.10;403.28;403.50;400.40
10/30/2014;403.71;404.34;405.01;396.30
10/31/2014;411.32;408.73;411.81;407.25
11/3/2014;409.04;411.28;412.81;408.34
11/4/2014;403.78;408.49;410.31;403.15
11/5/2014;410.66;407.31;411.16;406.04
11/6/2014;413.15;409.14;415.74;408.76
11/7/2014;411.43;414.73;414.97;409.46
11/10/2014;414.96;410.77;415.02;410.77
11/11/2014;415.18;416.11;417.41;414.05
11/12/2014;411.93;413.93;415.62;411.14
11/13/2014;411.41;412.77;413.83;408.87
11/14/2014;411.97;412.56;412.56;408.99
11/17/2014;414.07;408.83;414.80;408.61
11/18/2014;417.16;414.39;417.81;413.81
11/19/2014;417.79;416.98;419.44;416.13
11/20/2014;416.81;417.99;418.33;414.37
11/21/2014;423.46;417.89;424.73;417.30
11/24/2014;422.91;423.61;425.84;422.32
