,metascore,name,console,userscore,date,genre,brand
126,9.2,SoulCalibur II,XBOX,8.9,2003-08-27,Fighting,Microsoft
127,9.2,SoulCalibur II,PS2,8.8,2003-08-27,Fighting,Sony
128,9.2,Rayman Legends,WIIU,8.7,2013-09-03,Platform,Nintendo
129,9.2,Fire Emblem: Awakening,3DS,9.1,2013-02-04,Role-Playing,Nintendo
130,9.2,SSX Tricky,PS2,8.9,2001-11-05,Sports,Sony
131,9.2,SSX 3,XBOX,8.8,2003-10-20,Sports,Microsoft
132,9.2,SSX 3,GC,8.8,2003-10-20,Sports,Nintendo
133,9.2,Rayman Origins,WII,8.5,2011-11-15,Platform,Nintendo
134,9.2,Madden NFL 2003,GC,8.5,2002-08-12,Sports,Nintendo
135,9.2,The ICO & Shadow of the Colossus Collection,PS3,8.6,2011-09-27,Action-Adventure,Sony
136,9.2,Uncharted 3: Drake's Deception,PS3,8.4,2011-11-01,Action-Adventure,Sony
137,9.2,Bloodborne,PS4,8.9,2015-03-24,Role-Playing,Sony
138,9.2,Madden NFL 2004,XBOX,8.3,2003-08-12,Sports,Microsoft
139,9.2,Final Fantasy VI Advance,GBA,9.3,2007-02-05,Role-Playing,Nintendo
140,9.2,Bayonetta 2,Switch,8.4,2018-02-16,Action-Adventure,Nintendo
141,9.2,The Elder Scrolls V: Skyrim,PS3,6.5,2011-11-11,Role-Playing,Sony
142,9.2,NFL 2K3,GC,8.3,2002-08-21,Sports,Nintendo
143,9.2,Super Smash Bros. for Wii U,WIIU,9.0,2014-11-21,Fighting,Nintendo
144,9.2,ESPN NFL 2K5,XBOX,8.9,2004-07-20,Sports,Microsoft
145,9.2,Final Fantasy X,PS2,8.9,2001-12-17,Role-Playing,Sony
146,9.2,Eternal Darkness: Sanity's Requiem,GC,8.8,2002-06-23,Action-Adventure,Nintendo
147,9.2,Super Mario World: Super Mario Advance 2,GBA,8.9,2002-02-09,Platform,Nintendo
148,9.2,Super Mario Sunshine,GC,8.6,2002-08-25,Platform,Nintendo
149,9.2,Super Street Fighter IV,PS3,7.8,2010-04-27,Fighting,Sony
150,9.2,God of War III,PS3,8.8,2010-03-16,Action-Adventure,Sony
151,9.2,Metroid Fusion,GBA,9.0,2002-11-17,Action-Adventure,Nintendo
152,9.2,What Remains of Edith Finch,XONE,7.4,2017-07-19,Action-Adventure,Microsoft
153,9.2,Undertale,PS4,6.5,2017-08-15,Role-Playing,Sony
154,9.2,Forza Horizon 4,XONE,7.7,2018-09-28,Racing,Microsoft
155,9.2,Celeste,Switch,8.3,2018-01-25,Platform,Nintendo
156,9.2,Advance Wars,GBA,9.0,2001-09-09,Strategy,Nintendo
157,9.2,Super Smash Bros. Melee,GC,9.1,2001-12-02,Fighting,Nintendo
158,9.2,Metroid Prime 2: Echoes,GC,8.8,2004-11-15,Shooter,Nintendo
159,9.2,The Walking Dead: A Telltale Games Series,X360,8.6,2012-04-27,Action-Adventure,Microsoft
160,9.2,Batman: Arkham Asylum,X360,8.7,2009-08-25,Action-Adventure,Microsoft
161,9.2,Final Fantasy XII,PS2,7.9,2006-10-31,Role-Playing,Sony
162,9.2,Forza Motorsport 3,X360,8.1,2009-10-27,Racing,Microsoft
163,9.2,Journey,PS3,8.8,2012-03-13,Action-Adventure,Sony
164,9.2,Journey,PS4,8.4,2015-07-21,Action-Adventure,Sony
165,9.2,Xenoblade Chronicles,WII,9.2,2012-04-06,Role-Playing,Nintendo
166,9.2,Prince of Persia: The Sands of Time,GC,8.2,2003-11-18,Action-Adventure,Nintendo
167,9.2,Prince of Persia: The Sands of Time,PS2,8.7,2003-11-06,Action-Adventure,Sony
168,9.2,Prince of Persia: The Sands of Time,XBOX,7.7,2003-11-12,Action-Adventure,Microsoft
169,9.2,NHL 2002,PS2,8.5,2001-09-24,Sports,Sony
170,9.2,Forza Motorsport,XBOX,7.6,2005-05-03,Racing,Microsoft
171,9.2,Chrono Trigger,DS,9.2,2008-11-25,Role-Playing,Nintendo
172,9.2,Vagrant Story,PS,9.0,2000-05-15,Role-Playing,Sony
173,9.2,Mario Kart 8 Deluxe,Switch,8.6,2017-04-28,Racing,Nintendo
174,9.1,NCAA Football 2003,PS2,8.4,2002-07-20,Sports,Sony
175,9.1,NCAA Football 2003,GC,8.1,2002-07-20,Sports,Nintendo
176,9.1,Ratchet & Clank: Up Your Arsenal,PS2,9.1,2004-11-03,Platform,Sony
177,9.1,Metal Gear Solid 3: Snake Eater,PS2,9.0,2004-11-17,Action-Adventure,Sony
178,9.1,SteamWorld Heist: Ultimate Edition,Switch,8.4,2017-12-28,Action-Adventure,Nintendo
179,9.1,Shovel Knight: Treasure Trove,Switch,8.2,2017-03-03,Platform,Nintendo
180,9.1,Yoshi's Island: Super Mario Advance 3,GBA,8.9,2002-09-24,Platform,Nintendo
181,9.1,Far Cry 3,X360,8.6,2012-12-04,Shooter,Microsoft
182,9.1,The Witcher 3: Wild Hunt,XONE,9.2,2015-05-19,Role-Playing,Microsoft
183,9.1,Resident Evil,GC,9.3,2002-04-30,Action-Adventure,Nintendo
184,9.1,Borderlands 2,PS3,8.2,2012-09-18,Shooter,Sony
185,9.1,Madden NFL 2005,XBOX,7.7,2004-08-09,Sports,Microsoft
186,9.1,Mario Kart DS,DS,8.6,2005-11-14,Racing,Nintendo
187,9.1,Ninja Gaiden,XBOX,8.9,2004-03-02,Action-Adventure,Microsoft
188,9.1,Mass Effect,X360,8.7,2007-11-20,Role-Playing,Microsoft
189,9.1,Madden NFL 2001,PS2,7.8,2000-10-23,Sports,Sony
190,9.1,World Soccer Winning Eleven 8 International,PS2,8.4,2005-02-01,Sports,Sony
191,9.1,Killzone 2,PS3,8.1,2009-02-27,Shooter,Sony
192,9.1,Tony Hawk's Pro Skater 3,GC,8.8,2001-11-13,Sports,Nintendo
193,9.1,God of War Collection,PS3,8.7,2009-11-17,Action-Adventure,Sony
194,9.1,Castlevania: Aria of Sorrow,GBA,8.8,2003-05-06,Platform,Nintendo
195,9.1,Peggle,PS3,7.3,2009-11-19,Puzzle,Sony
196,9.1,Assassin's Creed II,PS3,8.6,2009-11-17,Action-Adventure,Sony
197,9.1,FIFA Soccer 10,PS3,7.5,2009-10-20,Sports,Sony
198,9.1,Batman: Arkham Asylum,PS3,8.8,2009-08-25,Action-Adventure,Sony
199,9.1,The Legend of Zelda: Ocarina of Time / Master Quest,GC,9.0,2003-02-28,Action-Adventure,Nintendo
200,9.1,ESPN NFL Football,XBOX,8.7,2003-09-03,Sports,Microsoft
201,9.1,ESPN NFL Football,PS2,8.5,2003-09-03,Sports,Sony
202,9.1,Mario Tennis,N64,8.9,2000-08-28,Sports,Nintendo
203,9.1,Halo: Reach,X360,8.1,2010-09-14,Shooter,Microsoft
204,9.1,MLB 10: The Show,PS3,8.2,2010-03-02,Sports,Sony
205,9.1,Super Street Fighter IV,X360,7.6,2010-04-27,Fighting,Microsoft
206,9.1,Pac-Man Championship Edition DX,PS3,7.7,2010-11-23,Puzzle,Sony
207,9.1,Castlevania: Circle of the Moon,GBA,8.5,2001-06-10,Platform,Nintendo
208,9.1,Golden Sun,GBA,9.0,2001-11-11,Role-Playing,Nintendo
209,9.1,Twisted Metal: Black,PS2,8.6,2001-06-18,Racing,Sony
210,9.1,Klonoa 2: Lunatea's Veil,PS2,9.0,2001-07-25,Platform,Sony
211,9.1,God of War: Chains of Olympus,PSP,8.6,2008-03-04,Action-Adventure,Sony
212,9.1,Tony Hawk's Pro Skater 4,GC,8.5,2002-10-23,Sports,Nintendo
213,9.1,Resident Evil 4: Wii Edition,WII,9.0,2007-06-19,Action-Adventure,Nintendo
214,9.1,Madden NFL 2005,PS2,7.9,2004-08-09,Sports,Sony
215,9.1,Spyro: Year of the Dragon,PS,8.9,2000-10-23,Platform,Sony
216,9.1,Celeste,PS4,6.5,2018-01-25,Platform,Sony
217,9.1,Dark Souls II,X360,7.9,2014-03-11,Role-Playing,Microsoft
218,9.1,Shadow of the Colossus,PS4,8.5,2018-02-06,Action-Adventure,Sony
219,9.1,Dead Cells,XONE,8.0,2018-08-07,Action-Adventure,Microsoft
220,9.1,flower,PS4,7.2,2013-11-15,Action-Adventure,Sony
221,9.1,The Legend of Zelda: A Link Between Worlds,3DS,9.0,2013-11-22,Action-Adventure,Nintendo
222,9.1,INSIDE,PS4,8.2,2016-08-23,Action-Adventure,Sony
223,9.1,Bayonetta 2,WIIU,9.0,2014-09-20,Action-Adventure,Nintendo
224,9.1,Gears of War 3,X360,7.9,2011-09-20,Shooter,Microsoft
225,9.1,Forza Motorsport 4,X360,8.2,2011-10-11,Racing,Microsoft
226,9.1,LittleBigPlanet 2,PS3,8.4,2011-01-18,Platform,Sony
227,9.1,Dark Souls II,PS3,8.1,2014-03-11,Role-Playing,Sony
228,9.1,Forza Horizon 3,XONE,8.0,2016-09-23,Racing,Microsoft
229,9.1,INSIDE,Switch,8.2,2018-06-28,Action-Adventure,Nintendo
230,9.1,Overwatch,XONE,5.8,2016-05-23,Shooter,Microsoft
231,9.1,Rayman Legends,PS3,8.7,2013-09-03,Platform,Sony
232,9.1,Shadow of the Colossus,PS2,9.1,2005-10-18,Action-Adventure,Sony
233,9.0,World Soccer Winning Eleven 8 International,XBOX,8.4,2005-02-02,Sports,Microsoft
234,9.0,Velocity 2X,VITA,7.2,2014-09-02,Action-Adventure,Sony
235,9.0,Metroid Prime 3: Corruption,WII,8.9,2007-08-27,Shooter,Nintendo
236,9.0,NCAA Football 2003,XBOX,7.9,2002-07-20,Sports,Microsoft
237,9.0,Shovel Knight,PS4,7.6,2015-04-21,Platform,Sony
238,9.0,NBA 2K2,XBOX,7.6,2002-02-27,Sports,Microsoft
239,9.0,Shovel Knight,3DS,8.3,2014-06-26,Platform,Nintendo
240,9.0,NBA 2K2,GC,8.0,2002-03-20,Sports,Nintendo
241,9.0,Fez,PS4,6.3,2014-03-25,Platform,Sony
242,9.0,Madden NFL 2002,XBOX,8.4,2001-10-29,Sports,Microsoft
243,9.0,Mario & Luigi: Superstar Saga,GBA,9.0,2003-11-17,Role-Playing,Nintendo
244,9.0,Tony Hawk's Pro Skater 3,GBA,8.0,2002-03-04,Sports,Nintendo
245,9.0,Forza Motorsport 2,X360,8.3,2007-05-29,Racing,Microsoft
246,9.0,MLB 09: The Show,PS3,8.1,2009-03-03,Sports,Sony
247,9.0,Diablo III: Ultimate Evil Edition,PS4,8.0,2014-08-19,Role-Playing,Sony
248,9.0,Marvel vs. Capcom 2,DC,8.8,2000-06-29,Fighting,Sega
249,9.0,Advance Wars: Dual Strike,DS,8.9,2005-08-22,Strategy,Nintendo
250,9.0,Half-Life 2,XBOX,8.4,2005-11-15,Shooter,Microsoft
251,9.0,The Legend of Zelda: Phantom Hourglass,DS,8.0,2007-10-01,Action-Adventure,Nintendo
252,9.0,Burnout Revenge,PS2,8.8,2005-09-13,Racing,Sony
253,9.0,Tony Hawk's Underground,PS2,8.7,2003-10-27,Sports,Sony
254,9.0,TimeSplitters 2,PS2,8.9,2002-10-09,Shooter,Sony
255,9.0,Tom Clancy's Ghost Recon Advanced Warfighter,X360,7.9,2006-03-09,Shooter,Microsoft
256,9.0,FIFA Soccer 13,X360,6.2,2012-09-25,Sports,Microsoft
257,9.0,NBA 2K13,PS3,8.0,2012-10-02,Sports,Sony
258,9.0,Bayonetta,X360,8.1,2010-01-05,Action-Adventure,Microsoft
259,9.0,NFL 2K2,DC,7.9,2001-09-19,Sports,Sega
260,9.0,XCOM: Enemy Unknown,X360,8.3,2012-10-09,Strategy,Microsoft
261,9.0,Mark of the Ninja,X360,7.4,2012-09-07,Action-Adventure,Microsoft
262,9.0,Trials Evolution,X360,8.0,2012-04-18,Racing,Microsoft
263,9.0,Far Cry 3,PS3,8.5,2012-12-04,Shooter,Sony
264,9.0,Unreal Tournament,DC,8.8,2001-03-13,Shooter,Sega
265,9.0,Tiger Woods PGA Tour 2003,GC,8.0,2002-10-27,Sports,Nintendo
266,9.0,NCAA Football 2002,PS2,8.5,2001-07-23,Sports,Sony
267,9.0,Star Wars Rogue Leader: Rogue Squadron II,GC,8.5,2001-11-09,Simulation,Nintendo
268,9.0,ESPN NHL Hockey,PS2,7.0,2003-09-09,Sports,Sony
269,9.0,Panzer Dragoon Orta,XBOX,8.6,2003-01-12,Shooter,Microsoft
270,9.0,Jak and Daxter: The Precursor Legacy,PS2,8.8,2001-12-03,Platform,Sony
271,9.0,Dance Dance Revolution,PS,8.8,2001-05-09,Simulation,Sony
272,9.0,Tennis 2K2,DC,8.2,2001-10-24,Sports,Sega
273,9.0,NBA Street Vol. 2,PS2,8.6,2003-04-28,Sports,Sony
274,9.0,Ratchet & Clank: Going Commando,PS2,9.0,2003-11-11,Platform,Sony
275,9.0,ICO,PS2,8.8,2001-09-24,Action-Adventure,Sony
276,9.0,NBA 2K12,PS3,6.7,2011-10-04,Sports,Sony
277,9.0,NBA 2K12,X360,7.7,2011-10-04,Sports,Microsoft
278,9.0,Grand Theft Auto IV: The Lost and Damned,X360,8.0,2009-02-17,Action-Adventure,Microsoft
279,9.0,FIFA Soccer 12,X360,6.8,2011-09-27,Sports,Microsoft
280,9.0,FIFA Soccer 12,PS3,7.2,2011-09-27,Sports,Sony
281,9.0,MLB 11: The Show,PS3,7.8,2011-03-08,Sports,Sony
282,9.0,Mario & Luigi: Bowser's Inside Story,DS,8.7,2009-09-14,Role-Playing,Nintendo
283,9.0,WWF SmackDown! 2: Know Your Role,PS,8.7,2000-11-21,Fighting,Sony
284,9.0,Into the Breach,Switch,7.5,2018-08-28,Strategy,Nintendo
285,9.0,Monster Hunter: World,XONE,7.2,2018-01-26,Action-Adventure,Microsoft
286,9.0,Grand Theft Auto: Chinatown Wars,PSP,7.4,2009-10-20,Action-Adventure,Sony
287,9.0,Monster Hunter: World,PS4,7.8,2018-01-26,Action-Adventure,Sony
288,9.0,Hollow Knight,Switch,8.8,2018-06-12,Action-Adventure,Nintendo
289,9.0,Viewtiful Joe,PS2,8.3,2004-08-24,Action-Adventure,Sony
290,9.0,Banjo-Tooie,N64,9.0,2000-11-19,Platform,Nintendo
291,9.0,Grandia II,DC,8.6,2000-12-06,Role-Playing,Sega
292,9.0,Rayman Legends,PS4,8.5,2014-02-18,Platform,Sony
293,9.0,NBA 2K17,XONE,6.0,2016-09-16,Sports,Microsoft
294,9.0,Assassin's Creed: Brotherhood,PS3,8.2,2010-11-16,Action-Adventure,Sony
295,9.0,ESPN NFL 2K5,PS2,8.3,2004-07-20,Sports,Sony
296,9.0,Rayman Legends,X360,8.2,2013-09-03,Platform,Microsoft
297,9.0,LIMBO,X360,8.4,2010-07-21,Platform,Microsoft
298,9.0,LIMBO,PS3,7.8,2011-07-19,Platform,Sony
299,9.0,Madden NFL 2001,PS,6.8,2000-08-22,Sports,Sony
300,9.0,Super Meat Boy,X360,8.0,2010-10-20,Platform,Microsoft
301,9.0,Metal Gear Solid HD Collection,X360,8.7,2011-11-08,Action-Adventure,Microsoft
302,9.0,Pushmo,3DS,8.3,2011-12-08,Puzzle,Nintendo
303,9.0,Super Mario 3D Land,3DS,8.4,2011-11-13,Platform,Nintendo
304,9.0,Okami HD,PS3,8.9,2012-10-30,Action-Adventure,Sony
305,9.0,Dead Space 2,X360,8.6,2011-01-25,Shooter,Microsoft
306,9.0,Tony Hawk's Pro Skater 4,XBOX,8.5,2002-10-23,Sports,Microsoft
307,9.0,Colin McRae Rally 2.0,PS,8.2,2000-12-05,Racing,Sony
308,9.0,Okami,WII,8.9,2008-04-15,Action-Adventure,Nintendo
309,9.0,FIFA Soccer 10,X360,7.5,2009-10-20,Sports,Microsoft
310,9.0,Overwatch,PS4,6.3,2016-05-23,Shooter,Sony
311,9.0,Madden NFL 2005,GC,0.0,2004-08-09,Sports,Nintendo
312,9.0,Portal: Still Alive,X360,8.5,2008-10-22,Shooter,Microsoft
313,9.0,MVP Baseball 2004,PS2,8.6,2004-03-09,Sports,Sony
314,9.0,Shin Megami Tensei: Persona 4,PS2,8.5,2008-12-08,Role-Playing,Sony
315,9.0,Geometry Wars: Retro Evolved 2,X360,8.3,2008-07-30,Shooter,Microsoft
316,9.0,Assassin's Creed II,X360,8.8,2009-11-17,Action-Adventure,Microsoft
317,9.0,Fallout 3,PS3,8.0,2008-10-28,Role-Playing,Sony
318,9.0,MVP Baseball 2004,XBOX,8.5,2004-03-09,Sports,Microsoft
319,9.0,Pikmin 2,GC,9.0,2004-08-30,Strategy,Nintendo
320,9.0,Dead Cells,Switch,8.5,2018-08-07,Action-Adventure,Nintendo
321,8.9,Max Payne,XBOX,8.2,2001-12-12,Shooter,Microsoft
322,8.9,NHL 2K3,GC,8.0,2002-12-11,Sports,Nintendo
323,8.9,NHL 2K3,XBOX,7.1,2002-11-19,Sports,Microsoft
324,8.9,Phantasy Star Online,DC,8.4,2001-01-29,Role-Playing,Sega
