,metascore,name,console,playerscore,date,genre,brand
7038,5.9,Way of the Samurai 2,PS2,8.7,2004-07-07,Action-Adventure,Sony
7039,5.9,Lost in Blue 3,DS,0.0,2008-03-18,Action-Adventure,Nintendo
7040,5.9,Amazing Island,GC,6.6,2004-08-25,Strategy,Nintendo
7041,5.9,Samurai Jack: The Shadow of Aku,PS2,8.8,2004-03-24,Action-Adventure,Sony
7042,5.9,Robotech: Invasion,XBOX,0.0,2004-10-05,Shooter,Microsoft
7043,5.9,Samurai Jack: The Shadow of Aku,GC,6.2,2004-03-24,Action-Adventure,Nintendo
7044,5.9,NASCAR 08,X360,5.2,2007-07-23,Racing,Microsoft
7045,5.9,Pokemon Rumble,WII,8.3,2009-11-16,Action-Adventure,Nintendo
7046,5.9,Nucleus,PS3,8.0,2007-07-31,Shooter,Sony
7047,5.9,The Inpatient,PS4,6.1,2018-01-23,Action-Adventure,Sony
7048,5.9,NBA 08,PS2,0.0,2007-09-26,Sports,Sony
7049,5.9,Lunar: Dragon Song,DS,6.2,2005-09-27,Role-Playing,Nintendo
7050,5.9,Coded Arms,PSP,6.5,2005-07-06,Shooter,Sony
7051,5.9,Evasive Space,WII,0.0,2009-02-16,Action-Adventure,Nintendo
7052,5.9,Bleach: The 3rd Phantom,DS,7.4,2009-09-15,Role-Playing,Nintendo
7053,5.9,Victorious Boxers: Revolution,WII,5.4,2007-10-23,Fighting,Nintendo
7054,5.9,FIFA Street,PS2,7.9,2005-02-22,Sports,Sony
7055,5.9,Arkadian Warriors,X360,5.9,2007-12-12,Action-Adventure,Microsoft
7056,5.9,I Am Bread,XONE,4.8,2017-01-20,Simulation,Microsoft
7057,5.9,Line Rider 2: Unbound,DS,5.6,2008-09-16,Puzzle,Nintendo
7058,5.9,SBK Superbike World Championship,PS3,6.1,2009-03-10,Racing,Sony
7059,5.9,Bolt,PS3,6.8,2008-11-18,Action-Adventure,Sony
7060,5.9,Speed Kings,GC,0.0,2003-05-28,Racing,Nintendo
7061,5.9,Pac-Man and the Ghostly Adventures 2,PS3,6.3,2014-10-14,Platform,Sony
7062,5.9,The Hobbit,PS2,8.6,2003-11-11,Action-Adventure,Sony
7063,5.9,Monster House,PS2,6.4,2006-07-18,Action-Adventure,Sony
7064,5.9,Driver: Parallel Lines,WII,6.0,2007-06-26,Racing,Nintendo
