,ID,Year,per_capita,thousand_tons
366,184,1985,1.2,22
367,184,1995,2.2,40
368,184,2005,3.2,62
369,184,2010,3.5,70
370,184,2012,3.4,70
371,184,2013,3.4,70
372,184,2014,3.4,70
373,188,1975,1.0,2039
374,188,1985,0.8,2266
375,188,1995,1.4,4866
376,188,2005,1.6,6868
377,188,2010,1.7,7569
378,188,2012,1.7,7767
379,188,2013,1.6,7598
380,188,2014,1.6,7759
389,191,1995,3.6,16986
390,191,2005,5.1,22592
391,191,2010,4.7,20172
392,191,2012,4.2,17994
393,191,2013,4.1,17550
394,191,2014,4.0,16843
395,192,1975,2.9,27066
396,192,1985,3.2,32578
397,192,1995,2.3,25709
398,192,2005,2.3,26006
399,192,2010,3.4,38375
400,192,2012,3.2,36157
401,192,2013,3.1,34800
402,192,2014,3.0,34837
406,196,1975,3.0,1980
407,196,1985,4.4,3102
408,196,1995,6.3,5383
409,196,2005,7.3,7503
410,196,2010,7.0,7708
411,196,2012,6.1,6920
412,196,2013,5.2,5948
413,196,2014,5.2,6062
414,203,1995,12.0,123831
415,203,2005,11.7,120109
416,203,2010,10.6,111579
417,203,2012,9.6,101030
418,203,2013,9.4,98675
419,203,2014,9.2,96475
420,408,1975,6.7,107740
421,408,1985,7.7,144898
422,408,1995,3.8,82911
423,408,2005,3.2,75573
424,408,2010,2.7,66453
425,408,2012,2.0,49057
426,408,2013,1.4,36010
427,408,2014,1.6,40528
428,180,1975,0.1,3238
429,180,1985,0.1,3641
430,180,1995,0.0,2123
431,180,2005,0.0,1500
432,180,2010,0.0,2021
433,180,2012,0.0,2402
434,180,2013,0.0,3590
435,180,2014,0.1,4672
436,208,1975,11.0,55779
437,208,1985,11.7,60073
438,208,1995,10.9,57172
439,208,2005,8.7,47095
440,208,2010,8.4,46641
441,208,2012,6.5,36428
442,208,2013,6.9,38533
443,208,2014,5.9,33498
444,262,1975,0.9,198
445,262,1985,0.9,359
446,262,1995,0.5,304
447,262,2005,0.5,414
448,262,2010,0.6,517
449,262,2012,0.6,517
450,262,2013,0.7,609
451,262,2014,0.8,722
452,212,1975,0.4,29
453,212,1985,0.7,48
454,212,1995,1.1,81
