,ID,Year,Real growth rate,Per capita,In millions
495,344,2010,6.8,32545.0,228639.0
496,344,2015,2.4,42699.0,309386.0
497,344,2016,2.1,43938.0,320874.0
498,344,2017,3.8,46390.0,341659.0
499,446,1985,0.7,4756.0,1349.0
500,446,1995,3.3,18139.0,6996.0
501,446,2005,8.1,25059.0,12092.0
502,446,2010,25.3,52375.0,28124.0
503,446,2015,-21.6,75485.0,45362.0
504,446,2016,-0.9,74018.0,45311.0
505,446,2017,9.1,80893.0,50361.0
506,170,1985,3.1,1590.0,49322.0
507,170,1995,5.2,2946.0,110292.0
508,170,2005,4.7,3386.0,146566.0
509,170,2010,4.0,6251.0,287018.0
510,170,2015,3.1,6045.0,291520.0
511,170,2016,2.0,5757.0,280091.0
512,170,2017,1.8,6302.0,309191.0
513,174,1985,2.0,675.0,240.0
514,174,1995,3.6,1016.0,483.0
515,174,2005,2.8,1287.0,787.0
516,174,2010,4.8,1315.0,907.0
517,174,2015,2.0,1271.0,988.0
518,174,2016,4.1,1283.0,1021.0
519,174,2017,3.4,1330.0,1082.0
520,178,1985,-1.2,1099.0,2339.0
521,178,1995,4.0,789.0,2207.0
522,178,2005,7.6,1708.0,6350.0
523,178,2010,15.0,3118.0,13678.0
524,178,2015,-13.2,2220.0,11092.0
525,178,2016,-2.8,1970.0,10100.0
526,178,2017,-3.1,2147.0,11292.0
527,184,1985,8.8,1591.0,28.0
528,184,1995,-4.4,5588.0,106.0
529,184,2005,-1.1,9262.0,183.0
530,184,2010,-3.0,13758.0,255.0
531,184,2015,3.8,16350.0,285.0
532,184,2016,5.9,16572.0,288.0
533,184,2017,1.9,17798.0,309.0
534,188,1985,0.7,1827.0,4989.0
535,188,1995,4.1,3278.0,11507.0
536,188,2005,3.9,4697.0,19952.0
537,188,2010,5.0,8199.0,37269.0
538,188,2015,3.6,11393.0,54776.0
539,188,2016,4.2,11733.0,56989.0
540,188,2017,3.2,11734.0,57565.0
548,191,1995,6.8,4849.0,22388.0
549,191,2005,4.1,10358.0,45347.0
550,191,2010,-1.5,13832.0,59866.0
551,191,2015,2.4,11690.0,49519.0
552,191,2016,3.5,12253.0,51624.0
553,191,2017,2.9,13177.0,55201.0
554,192,1985,1.6,2273.0,22921.0
555,192,1995,2.5,2790.0,30428.0
556,192,2005,11.2,3779.0,42644.0
557,192,2010,2.4,5676.0,64328.0
558,192,2015,4.4,7609.0,87206.0
559,192,2016,0.5,7962.0,91370.0
560,192,2017,1.8,8433.0,96851.0
564,196,1985,4.7,4957.0,2682.0
565,196,1995,9.9,15102.0,9827.0
566,196,2005,4.9,25682.0,18967.0
567,196,2010,1.3,30817.0,25561.0
568,196,2015,2.0,23236.0,19681.0
569,196,2016,4.8,24110.0,20453.0
570,196,2017,4.2,25790.0,22054.0
571,203,1995,6.2,5771.0,59774.0
572,203,2005,6.5,13285.0,136281.0
573,203,2010,2.3,19692.0,207478.0
574,203,2015,5.3,17619.0,186830.0
575,203,2016,2.5,18386.0,195090.0
576,203,2017,4.3,20326.0,215825.0
577,408,1985,3.7,722.0,12075.0
578,408,1995,-4.4,222.0,4849.0
579,408,2005,3.8,548.0,13031.0
580,408,2010,-0.5,570.0,13945.0
581,408,2015,-1.1,648.0,16283.0
582,408,2016,3.9,665.0,16789.0
583,408,2017,-3.5,685.0,17365.0
584,180,1985,0.5,252.0,7524.0
585,180,1995,0.7,215.0,8947.0
586,180,2005,6.1,219.0,11965.0
587,180,2010,7.1,334.0,21566.0
588,180,2015,6.9,498.0,37918.0
589,180,2016,2.4,512.0,40338.0
590,180,2017,3.7,463.0,37642.0
591,208,1985,4.0,12252.0,62659.0
592,208,1995,3.0,35356.0,185008.0
593,208,2005,2.3,48779.0,264467.0
594,208,2010,1.9,57967.0,321995.0
595,208,2015,2.3,53206.0,302673.0
596,208,2016,2.4,54621.0,311988.0
597,208,2017,2.3,57533.0,329866.0
598,262,1985,-0.2,846.0,360.0
599,262,1995,5.6,788.0,497.0
600,262,2005,3.2,861.0,674.0
601,262,2010,3.5,1192.0,1015.0
602,262,2015,9.7,1762.0,1634.0
603,262,2016,8.7,1872.0,1764.0
604,262,2017,4.1,1928.0,1845.0
605,212,1985,1.3,1586.0,117.0
606,212,1995,2.0,3639.0,260.0
607,212,2005,-0.3,5245.0,370.0
608,212,2010,1.2,6912.0,494.0
609,212,2015,-2.6,7392.0,541.0
610,212,2016,2.5,7825.0,575.0
611,212,2017,-9.5,6719.0,497.0
612,214,1985,-2.1,866.0,5618.0
613,214,1995,5.5,1995.0,15747.0
614,214,2005,9.3,3844.0,35510.0
615,214,2010,8.3,5371.0,53160.0
616,214,2015,7.0,6535.0,68802.0
617,214,2016,6.6,6794.0,72343.0
618,214,2017,4.6,7052.0,75932.0
619,218,1985,3.9,1895.0,17141.0
620,218,1995,2.3,2135.0,24421.0
621,218,2005,5.3,3022.0,41507.0
622,218,2010,3.5,4657.0,69555.0
623,218,2015,0.1,6150.0,99290.0
624,218,2016,-1.6,6019.0,98614.0
625,218,2017,3.0,6273.0,104296.0
626,818,1985,6.8,474.0,23801.0
627,818,1995,4.6,1032.0,65758.0
628,818,2005,4.5,1230.0,94456.0
629,818,2010,5.1,2552.0,214630.0
630,818,2015,4.4,3388.0,317745.0
