YearMonthDay,usertype,tripduration
2015-03-26,1066,432.2308677777777
2015-03-27,868,290.76496500000076
2015-03-28,612,295.1317883333335
2015-03-29,526,268.2144788888888
2015-03-30,812,265.95148444444465
2015-03-31,564,120.07479333333328
2015-04-01,750,190.47937166666676
2015-04-02,730,210.48497666666677
2015-04-03,640,169.30148111111112
2015-04-04,832,426.5490083333339
2015-04-05,608,299.3075855555558
2015-04-06,698,191.64307555555553
2015-04-07,800,172.29823611111098
2015-04-08,838,260.03969388888913
2015-04-09,912,284.90792444444406
2015-04-10,782,214.58923666666675
2015-04-11,392,218.3505383333333
2015-04-12,510,277.8006538888888
2015-04-13,442,78.30620555555552
2015-04-14,642,117.09877555555546
2015-04-15,714,170.73664277777792
2015-04-16,936,258.6965088888885
2015-04-17,887,327.9869713888887
